level,group,optimal_delta,composite,bias_beta,bias_gamma,bias_eta,sd_beta,sd_gamma,sd_eta
L0,global,0.02,0.4900560739999999,-0.05625375118518524,0.011262612518518511,-0.021022576074074074,1.2366236649846079,0.32890308228751713,0.37846395348174505
L1,n=10,0.02,0.4845960308888888,-0.04820323822222218,0.005294531555555533,-0.013350849555555523,1.268676986235437,0.3423146113098975,0.3947551164633238
L1,n=20,0.02,0.3401005351111111,0.030541779777777684,-0.006727247333333323,-0.0004852915555555888,1.027861978451511,0.2612787768443517,0.3008388990486159
L1,n=7,0.02,0.6454716559999998,-0.15109979511111118,0.03522055333333332,-0.049231587111111114,1.4133320302668764,0.3831158587083021,0.43979784493329555
L2,beta=2.0,0.06,0.17430481599999992,-0.003627612888888928,0.021958455111111115,-0.030460548888888914,0.7759417472947553,0.25392508176763806,0.3274932616107962
L2,beta=2.5,0.04,0.25161041599999995,-0.08735437755555558,0.03770755955555551,-0.05268541311111107,0.9883835555728103,0.29157214099014184,0.3410403830542789
L2,beta=4.0,0.02,0.6712320548888889,-0.4834347673333334,0.08838298177777773,-0.09941430577777777,1.5667608877387116,0.36366955617018076,0.3869586907675703
L3,beta=2.0_n=10,0.06,0.13586960333333323,-0.016055978000000207,0.022747993999999997,-0.0268114020000001,0.7890013110499586,0.2643829959146089,0.33924860486362496
L3,beta=2.0_n=20,0.1,0.11910392199999982,-0.0320087886666666,0.024933143999999966,-0.036086556,0.5411855756486544,0.1642758440093153,0.22358721534061485
L3,beta=2.0_n=7,0.06,0.22248823133333326,-0.046017535999999935,0.04181114400000003,-0.05376061266666663,0.9254704166255996,0.31526724124735234,0.4010126951712132
L3,beta=2.5_n=10,0.04,0.18446308399999992,-0.06502758466666662,0.0287274733333333,-0.04506290733333326,1.029251639266808,0.3037125453997764,0.3606713196141886
L3,beta=2.5_n=20,0.06,0.16797073466666626,-0.0874173939999997,0.03538214333333327,-0.0451711973333333,0.7402169332561588,0.21006560948246955,0.2481476362434797
L3,beta=2.5_n=7,0.04,0.37112556400000013,-0.2047918326666669,0.07321852933333327,-0.09311520199999994,1.118825244865192,0.34411787777617203,0.3967183382777642
L3,beta=4.0_n=10,0.02,0.6640610246666666,-0.4860013806666667,0.08431295599999993,-0.09374668799999997,1.6079153295109456,0.3776111649339818,0.4023566857325178
L3,beta=4.0_n=20,0.02,0.329933528666667,-0.23968412200000025,0.041612543333333266,-0.0486368633333334,1.3958441196265863,0.3135996243241233,0.3325289315551282
L3,beta=4.0_n=7,0.02,1.0197016113333333,-0.7246187993333333,0.13922344599999995,-0.15585936599999992,1.6965232140786028,0.3997978792524373,0.42599045501506483
L4,beta=2.0_n=10_g=0.1,0.0,0.0811840059999997,-0.0057951979999999,0.0364732119999999,-0.0389155959999999,0.7238373569060997,0.1850793278052758,0.2645141450997517
L4,beta=2.0_n=10_g=0.5,0.06,0.039646963999999896,0.0341951439999999,-0.001715544,-0.003736276,0.8168749414431334,0.2860384562205616,0.3654411922814559
L4,beta=2.0_n=10_g=1.0,0.06,0.06947065599999949,0.0629370159999997,-0.003611922,0.0029217179999998,0.9064109451883524,0.3183253008841331,0.3902451627888276
L4,beta=2.0_n=20_g=0.1,0.0,0.06969166399999979,-0.0105463759999999,0.021213176,-0.0379321119999999,0.5200319953175522,0.1410231079835631,0.1983157726074485
L4,beta=2.0_n=20_g=0.5,0.1,0.049123099999999705,-0.0084204679999997,0.016248284,-0.024454348,0.5672402359523905,0.176946539428605,0.2418610496622769
L4,beta=2.0_n=20_g=1.0,0.12,0.0480257659999999,-0.002557726,0.0195402899999999,-0.02592775,0.5501719919857481,0.1659860473732871,0.2230834724510382
