level,group,optimal_delta,jparam
L0,global,0.1,0.6137424542672192
L1,n=10,0.12,0.6326647694663963
L1,n=20,0.1,0.4569338072685838
L1,n=7,0.1,0.7302645721290943
L2,beta=1.5,0.4,0.44343356152615143
L2,beta=2.0,0.2,0.49088722982558763
L2,beta=2.5,0.12,0.5325178983961365
L2,beta=4.0,0.04,0.6522151542786608
L2,beta=5.0,0.04,0.7132409826720666
L3,beta=1.5_n=10,0.42,0.4553621737546269
L3,beta=1.5_n=20,0.5,0.31480128140186503
L3,beta=1.5_n=7,0.3,0.549179849962901
L3,beta=2.0_n=10,0.2,0.49258212673255386
L3,beta=2.0_n=20,0.28,0.3503179970056353
L3,beta=2.0_n=7,0.14,0.6193625096985469
L3,beta=2.5_n=10,0.14,0.5465251304482925
L3,beta=2.5_n=20,0.16,0.4036624369057225
L3,beta=2.5_n=7,0.12,0.6424821376161622
L3,beta=4.0_n=10,0.04,0.6702420746117411
L3,beta=4.0_n=20,0.06,0.5314879651829382
L3,beta=4.0_n=7,0.04,0.7503461102003662
L3,beta=5.0_n=10,0.04,0.7226072015225218
L3,beta=5.0_n=20,0.0,0.5059070371535979
L3,beta=5.0_n=7,0.02,0.8101565904967648
L4,beta=1.5_n=10_g=0.1,0.36,0.44833529563621866
L4,beta=1.5_n=10_g=0.5,0.48,0.4716659904050834
L4,beta=1.5_n=10_g=1.0,0.42,0.4427666013321159
L4,beta=1.5_n=20_g=0.1,0.5,0.3139057839333526
L4,beta=1.5_n=20_g=0.5,0.5,0.3101163628510136
L4,beta=1.5_n=20_g=1.0,0.5,0.32038169742122874
L4,beta=1.5_n=7_g=0.1,0.24,0.5148398255185913
L4,beta=1.5_n=7_g=0.5,0.32,0.5432308833631984
L4,beta=1.5_n=7_g=1.0,0.28,0.5775422583112753
L4,beta=2.0_n=10_g=0.1,0.1,0.47243543958586137
L4,beta=2.0_n=10_g=0.5,0.22,0.4893290582740407
L4,beta=2.0_n=10_g=1.0,0.2,0.5053630497604831
L4,beta=2.0_n=20_g=0.1,0.08,0.3532804000116968
L4,beta=2.0_n=20_g=0.5,0.3,0.35086532924479513
L4,beta=2.0_n=20_g=1.0,0.3,0.341186215410143
L4,beta=2.0_n=7_g=0.1,0.1,0.5916093291337232
L4,beta=2.0_n=7_g=0.5,0.12,0.6054785226509368
L4,beta=2.0_n=7_g=1.0,0.2,0.6290203823475791
L4,beta=2.5_n=10_g=0.1,0.02,0.49909464702228373
L4,beta=2.5_n=10_g=0.5,0.14,0.5614710236296773
L4,beta=2.5_n=10_g=1.0,0.16,0.5584999793288016
L4,beta=2.5_n=20_g=0.1,0.02,0.391600869872554
L4,beta=2.5_n=20_g=0.5,0.18,0.4075194019650262
L4,beta=2.5_n=20_g=1.0,0.16,0.3905931497395925
L4,beta=2.5_n=7_g=0.1,0.04,0.5977029806999554
L4,beta=2.5_n=7_g=0.5,0.12,0.6556383539920324
L4,beta=2.5_n=7_g=1.0,0.14,0.6514631775150007
L4,beta=4.0_n=10_g=0.1,0.0,0.6051443414323256
L4,beta=4.0_n=10_g=0.5,0.06,0.6738086067914005
L4,beta=4.0_n=10_g=1.0,0.06,0.6759752249928651
L4,beta=4.0_n=20_g=0.1,0.0,0.4509265371350446
L4,beta=4.0_n=20_g=0.5,0.06,0.5350625075057629
L4,beta=4.0_n=20_g=1.0,0.06,0.5530979124494604
L4,beta=4.0_n=7_g=0.1,0.02,0.7068004908072646
L4,beta=4.0_n=7_g=0.5,0.04,0.7514703586529079
L4,beta=4.0_n=7_g=1.0,0.06,0.7604353474317269
L4,beta=5.0_n=10_g=0.1,0.0,0.6552144697797795
L4,beta=5.0_n=10_g=0.5,0.04,0.7319295228341679
L4,beta=5.0_n=10_g=1.0,0.04,0.7114672262459959
L4,beta=5.0_n=20_g=0.1,0.0,0.5059070371535979
L4,beta=5.0_n=20_g=0.5,0.04,0.607188069793137
L4,beta=5.0_n=20_g=1.0,0.04,0.5875631320218979
L4,beta=5.0_n=7_g=0.1,0.0,0.7173288554429025
L4,beta=5.0_n=7_g=0.5,0.02,0.8196004970405765
L4,beta=5.0_n=7_g=1.0,0.04,0.8470684166147505
