beta,n,gamma_eta,delta,jparam,n_valid
1.5,7,0.1,0.0,0.5776199024034653,500
1.5,7,0.1,0.02,0.5654398596255052,500
1.5,7,0.1,0.04,0.5526644759689575,500
1.5,7,0.1,0.06,0.543134533022227,500
1.5,7,0.1,0.08,0.5356432582921937,500
1.5,7,0.1,0.1,0.5304929148162668,500
1.5,7,0.1,0.12,0.5261475723609077,500
1.5,7,0.1,0.14,0.5228769278685492,500
1.5,7,0.1,0.16,0.5205544340022492,500
1.5,7,0.1,0.18,0.5188391443343399,500
1.5,7,0.1,0.2,0.5172886068166938,500
1.5,7,0.1,0.22,0.5160019362621643,500
1.5,7,0.1,0.24,0.5148398255185913,500
1.5,7,0.1,0.26,0.5229113921022254,500
1.5,7,0.1,0.28,0.5221864027224938,500
1.5,7,0.1,0.3,0.5215434338076784,500
1.5,7,0.1,0.32,0.5317714319151401,500
1.5,7,0.1,0.34,0.5318568938154494,500
1.5,7,0.1,0.36,0.5320644826561142,500
1.5,7,0.1,0.38,0.5323077220395791,500
1.5,7,0.1,0.4,0.5342894146816571,500
1.5,7,0.1,0.42,0.536193697857173,500
1.5,7,0.1,0.44,0.538955052921291,500
1.5,7,0.1,0.46,0.5399215457850607,500
1.5,7,0.1,0.48,0.5423130943235444,500
1.5,7,0.1,0.5,0.544876441583277,500
1.5,7,0.5,0.0,1.0547814972762513,500
1.5,7,0.5,0.02,0.8831321851132306,500
1.5,7,0.5,0.04,0.8012721098350224,500
1.5,7,0.5,0.06,0.7404176716001599,500
1.5,7,0.5,0.08,0.6946390911654738,500
1.5,7,0.5,0.1,0.6628934195696716,500
1.5,7,0.5,0.12,0.6358723102339595,500
1.5,7,0.5,0.14,0.6137561049960358,500
1.5,7,0.5,0.16,0.5959734635111437,500
1.5,7,0.5,0.18,0.5813048011229393,500
1.5,7,0.5,0.2,0.5697733759913006,500
1.5,7,0.5,0.22,0.5607199768249468,500
1.5,7,0.5,0.24,0.5537901109606922,500
1.5,7,0.5,0.26,0.5532358172414489,500
1.5,7,0.5,0.28,0.5491094531024889,500
1.5,7,0.5,0.3,0.5457484471195302,500
1.5,7,0.5,0.32,0.5432308833631984,500
1.5,7,0.5,0.34,0.5490824408422449,500
1.5,7,0.5,0.36,0.5527706870359934,500
1.5,7,0.5,0.38,0.5520490885870621,500
1.5,7,0.5,0.4,0.5533606264595666,500
1.5,7,0.5,0.42,0.553370346398012,500
1.5,7,0.5,0.44,0.5549728334259804,500
1.5,7,0.5,0.46,0.5591144540162283,500
1.5,7,0.5,0.48,0.5625515621938694,500
1.5,7,0.5,0.5,0.5642434945146146,500
1.5,7,1.0,0.0,1.4991156369773218,500
1.5,7,1.0,0.02,1.195975875609103,500
1.5,7,1.0,0.04,1.0052655735019043,500
1.5,7,1.0,0.06,0.8856336590312107,500
1.5,7,1.0,0.08,0.7977289696289914,500
1.5,7,1.0,0.1,0.7371663805391738,500
1.5,7,1.0,0.12,0.6931785061885976,500
1.5,7,1.0,0.14,0.6589561788313848,500
1.5,7,1.0,0.16,0.632676881688604,500
1.5,7,1.0,0.18,0.612364982523701,500
1.5,7,1.0,0.2,0.5964420160218052,500
1.5,7,1.0,0.22,0.583850480833902,500
1.5,7,1.0,0.24,0.5842597537702836,500
1.5,7,1.0,0.26,0.5829444752178966,500
1.5,7,1.0,0.28,0.5775422583112753,500
1.5,7,1.0,0.3,0.5802476689614946,500
1.5,7,1.0,0.32,0.5792018764007368,500
1.5,7,1.0,0.34,0.5805564499394235,500
1.5,7,1.0,0.36,0.5789657540249021,500
1.5,7,1.0,0.38,0.577853415823038,500
1.5,7,1.0,0.4,0.5783695606248793,500
1.5,7,1.0,0.42,0.5836513636442565,500
1.5,7,1.0,0.44,0.5870922304784726,500
1.5,7,1.0,0.46,0.5897630771479704,500
1.5,7,1.0,0.48,0.5901048931247529,500
1.5,7,1.0,0.5,0.591169032755912,500
1.5,10,0.1,0.0,0.4995451358461473,500
1.5,10,0.1,0.02,0.4920654403351482,500
1.5,10,0.1,0.04,0.4860152700717613,500
1.5,10,0.1,0.06,0.4818655544833895,500
1.5,10,0.1,0.08,0.47763560917329856,500
1.5,10,0.1,0.1,0.4728240165004791,500
1.5,10,0.1,0.12,0.46875477077936817,500
1.5,10,0.1,0.14,0.46488209405772485,500
1.5,10,0.1,0.16,0.4619207493112344,500
1.5,10,0.1,0.18,0.45971386796295705,500
1.5,10,0.1,0.2,0.45787724823816556,500
1.5,10,0.1,0.22,0.4563882275506803,500
1.5,10,0.1,0.24,0.4548324413920506,500
1.5,10,0.1,0.26,0.45347318051558316,500
1.5,10,0.1,0.28,0.4522708482205058,500
1.5,10,0.1,0.3,0.4510101892762493,500
1.5,10,0.1,0.32,0.4499766071137802,500
1.5,10,0.1,0.34,0.4490387895143393,500
1.5,10,0.1,0.36,0.44833529563621866,500
1.5,10,0.1,0.38,0.450052205409311,500
1.5,10,0.1,0.4,0.45106479939486793,500
1.5,10,0.1,0.42,0.45099786186578533,500
1.5,10,0.1,0.44,0.45185499165360365,500
1.5,10,0.1,0.46,0.4548915158760644,500
1.5,10,0.1,0.48,0.45534152986848647,500
1.5,10,0.1,0.5,0.45697091303094967,500
1.5,10,0.5,0.0,0.8929154701808085,500
1.5,10,0.5,0.02,0.8217709667751096,500
1.5,10,0.5,0.04,0.7675244026050686,500
1.5,10,0.5,0.06,0.7195756725434749,500
1.5,10,0.5,0.08,0.675991439038569,500
1.5,10,0.5,0.1,0.6387149084066405,500
1.5,10,0.5,0.12,0.6076610576311383,500
1.5,10,0.5,0.14,0.5817594692993608,500
1.5,10,0.5,0.16,0.5591022277895052,500
1.5,10,0.5,0.18,0.5404090495163081,500
1.5,10,0.5,0.2,0.5248617194445673,500
1.5,10,0.5,0.22,0.5121071508400283,500
1.5,10,0.5,0.24,0.5017759052099335,500
1.5,10,0.5,0.26,0.4953704919885771,500
1.5,10,0.5,0.28,0.488391000438553,500
1.5,10,0.5,0.3,0.48286464643154703,500
1.5,10,0.5,0.32,0.4812463091871472,500
1.5,10,0.5,0.34,0.4785528383585442,500
1.5,10,0.5,0.36,0.47552283659692396,500
1.5,10,0.5,0.38,0.4737217822693564,500
1.5,10,0.5,0.4,0.4721033960893026,500
1.5,10,0.5,0.42,0.47232205806597943,500
1.5,10,0.5,0.44,0.47299443765892196,500
1.5,10,0.5,0.46,0.4721194664010736,500
1.5,10,0.5,0.48,0.4716659904050834,500
1.5,10,0.5,0.5,0.47271107934334056,500
1.5,10,1.0,0.0,1.2881235887798301,500
1.5,10,1.0,0.02,0.9821069009728087,500
1.5,10,1.0,0.04,0.821494380609027,500
1.5,10,1.0,0.06,0.712381914365722,500
1.5,10,1.0,0.08,0.6399909126486686,500
1.5,10,1.0,0.1,0.5905891498589948,500
1.5,10,1.0,0.12,0.5552627903558044,500
1.5,10,1.0,0.14,0.5289063556856604,500
1.5,10,1.0,0.16,0.5086781023804314,500
1.5,10,1.0,0.18,0.4928509023861032,500
1.5,10,1.0,0.2,0.48030855316310506,500
1.5,10,1.0,0.22,0.47030001944512423,500
1.5,10,1.0,0.24,0.46231759527271676,500
1.5,10,1.0,0.26,0.45607696185743357,500
1.5,10,1.0,0.28,0.45401939719924156,500
1.5,10,1.0,0.3,0.44983240372153394,500
1.5,10,1.0,0.32,0.44648078476026465,500
1.5,10,1.0,0.34,0.4438470794971867,500
1.5,10,1.0,0.36,0.4443754676064428,500
1.5,10,1.0,0.38,0.44283419024310516,500
1.5,10,1.0,0.4,0.4435026486184904,500
1.5,10,1.0,0.42,0.442766601332116,500
1.5,10,1.0,0.44,0.44479408012939103,500
1.5,10,1.0,0.46,0.44587755159809017,500
1.5,10,1.0,0.48,0.44636056568181637,500
1.5,10,1.0,0.5,0.4490448435427674,500
1.5,20,0.1,0.0,0.3682831973989365,500
1.5,20,0.1,0.02,0.3617587824829237,500
1.5,20,0.1,0.04,0.35585112036841726,500
1.5,20,0.1,0.06,0.35170546332328767,500
1.5,20,0.1,0.08,0.34864281751338544,500
1.5,20,0.1,0.1,0.3453779994882592,500
1.5,20,0.1,0.12,0.3424037669116604,500
1.5,20,0.1,0.14,0.33951369249223545,500
1.5,20,0.1,0.16,0.33691607002696283,500
1.5,20,0.1,0.18,0.3343020675674136,500
1.5,20,0.1,0.2,0.3318349298604865,500
1.5,20,0.1,0.22,0.32968133893040613,500
1.5,20,0.1,0.24,0.3277965814742592,500
1.5,20,0.1,0.26,0.3258760143503821,500
1.5,20,0.1,0.28,0.32408367158716145,500
1.5,20,0.1,0.3,0.3225770512906604,500
1.5,20,0.1,0.32,0.321138502674057,500
1.5,20,0.1,0.34,0.3198515467788612,500
1.5,20,0.1,0.36,0.31869341340764834,500
1.5,20,0.1,0.38,0.31769414008613694,500
1.5,20,0.1,0.4,0.3168698146051333,500
1.5,20,0.1,0.42,0.31612336957093223,500
1.5,20,0.1,0.44,0.31549265553689304,500
1.5,20,0.1,0.46,0.31489127010909124,500
1.5,20,0.1,0.48,0.31437693270596684,500
1.5,20,0.1,0.5,0.31390578393335267,500
1.5,20,0.5,0.0,0.5759615266682239,500
1.5,20,0.5,0.02,0.5236058334909345,500
1.5,20,0.5,0.04,0.4828882803568748,500
1.5,20,0.5,0.06,0.4524968978846622,500
1.5,20,0.5,0.08,0.4291095665575736,500
1.5,20,0.5,0.1,0.4102948000885523,500
1.5,20,0.5,0.12,0.3939595398291956,500
1.5,20,0.5,0.14,0.38079603324006117,500
1.5,20,0.5,0.16,0.3699533721433229,500
1.5,20,0.5,0.18,0.36087607783616527,500
1.5,20,0.5,0.2,0.35318545143767777,500
1.5,20,0.5,0.22,0.34661134686055634,500
1.5,20,0.5,0.24,0.34095429625787255,500
1.5,20,0.5,0.26,0.3360626771671621,500
