beta,n,gamma_eta,jparam_default,jparam_iterate,final_delta,n_iterations,improvement
2.0,7,0.1,0.5916093291337232,0.5932575407973716,0.14,2,-0.27859798391986124
2.0,7,0.5,0.624827529274818,0.6152940087666915,0.14,2,1.5257843263070077
2.0,7,1.0,0.6811054023159466,0.6495359795315776,0.14,2,4.635027512191837
2.0,10,0.1,0.47243543958586137,0.4801848000166316,0.2,2,-1.6403004053979
2.0,10,0.5,0.5520964371009516,0.49219853042054684,0.2,2,10.849174646901826
2.0,10,1.0,0.5722231591973995,0.5053630497604831,0.2,2,11.684271837353537
2.0,20,0.1,0.35342141336531235,0.3585647021604651,0.28,2,-1.4552849942446495
2.0,20,0.5,0.4132631969904313,0.35108985293415057,0.28,2,15.04449089806569
2.0,20,1.0,0.4135279762212546,0.34129943592229023,0.28,2,17.46642173015136
2.5,7,0.1,0.6126911057843097,0.6864099271080479,0.14,2,-12.03197184156448
2.5,7,0.5,0.6612695628481403,0.6587211293631563,0.14,2,0.3853849667611661
2.5,7,1.0,0.6585225666660945,0.6514631775150007,0.14,2,1.0720041359908796
2.5,10,0.1,0.5094666824941335,0.5384772437618445,0.2,2,-5.694299993414194
2.5,10,0.5,0.5738855020449353,0.5727909586904477,0.2,2,0.19072504020180858
2.5,10,1.0,0.5757093491077006,0.5634434435130719,0.2,2,2.130572590776889
2.5,20,0.1,0.40180851188184713,0.4382095669519411,0.28,2,-9.059304119669264
2.5,20,0.5,0.4323193496078374,0.4221957463089477,0.28,3,2.3416956257158006
2.5,20,1.0,0.4087546037600952,0.40902698815502325,0.28,3,-0.0666376335391481
4.0,7,0.1,0.8167309259799641,0.8593470659721208,0.14,2,-5.2178922869883095
4.0,7,0.5,0.7983974249876358,0.8378923627876412,0.14,3,-4.946776700916476
4.0,7,1.0,0.8024535155181233,0.8394104441388981,0.14,3,-4.60549152145127
4.0,10,0.1,0.7088711808469422,0.7456832185388365,0.14,2,-5.19305039992063
4.0,10,0.5,0.6955197206775154,0.7315851662658672,0.14,2,-5.185395110467886
4.0,10,1.0,0.7086357424849811,0.7428701384231478,0.14,2,-4.831028677457976
4.0,20,0.1,0.5474361375934923,0.6002086192286703,0.16,2,-9.63993386829809
4.0,20,0.5,0.5519097748860375,0.5997480382444965,0.16,2,-8.667768815715753
4.0,20,1.0,0.5747112069160291,0.6213274703033037,0.16,2,-8.111250107236161
