beta,n,gamma_eta,method,jparam,n_valid
2.0,7,0.1,Default(δ=0.1),0.5916093291337232,500
2.0,7,0.1,MLE,0.5296168322756682,218
2.0,7,0.1,LSE,0.6232714824396124,500
2.0,7,0.5,Default(δ=0.1),0.624827529274818,500
2.0,7,0.5,MLE,0.7977910876295977,232
2.0,7,0.5,LSE,0.710865899785028,500
2.0,7,1.0,Default(δ=0.1),0.6811054023159466,500
2.0,7,1.0,MLE,1.1817168894632664,227
2.0,7,1.0,LSE,0.9303567332438093,500
2.0,10,0.1,Default(δ=0.1),0.47243543958586137,500
2.0,10,0.1,MLE,0.3885846744122566,302
2.0,10,0.1,LSE,0.4977218219396589,500
2.0,10,0.5,Default(δ=0.1),0.5520964371009516,500
2.0,10,0.5,MLE,0.6459383694661119,299
2.0,10,0.5,LSE,0.6223410988600756,500
2.0,10,1.0,Default(δ=0.1),0.5722231591973995,500
2.0,10,1.0,MLE,0.846235146702504,288
2.0,10,1.0,LSE,0.7844957497623022,500
2.0,20,0.1,Default(δ=0.1),0.35342141336531235,500
2.0,20,0.1,MLE,0.3294350125404625,440
2.0,20,0.1,LSE,0.3703011363791246,500
2.0,20,0.5,Default(δ=0.1),0.4132631969904313,500
2.0,20,0.5,MLE,0.41715473256877916,456
2.0,20,0.5,LSE,0.4544821096826205,500
2.0,20,1.0,Default(δ=0.1),0.4135279762212546,500
2.0,20,1.0,MLE,0.45526501201968167,453
2.0,20,1.0,LSE,0.48241776805837544,500
2.5,7,0.1,Default(δ=0.1),0.6126911057843097,500
2.5,7,0.1,MLE,0.43147744389446546,261
2.5,7,0.1,LSE,0.6937373991432589,500
2.5,7,0.5,Default(δ=0.1),0.6612695628481403,500
2.5,7,0.5,MLE,0.6789160234375157,275
2.5,7,0.5,LSE,0.7489281052671941,500
2.5,7,1.0,Default(δ=0.1),0.6585225666660945,500
2.5,7,1.0,MLE,0.8265166319847495,258
2.5,7,1.0,LSE,0.834177575658255,500
2.5,10,0.1,Default(δ=0.1),0.5094666824941335,500
2.5,10,0.1,MLE,0.4228768481320195,359
2.5,10,0.1,LSE,0.5499200153927577,500
2.5,10,0.5,Default(δ=0.1),0.5738855020449353,500
2.5,10,0.5,MLE,0.6288521530135865,342
2.5,10,0.5,LSE,0.6823005049091954,500
2.5,10,1.0,Default(δ=0.1),0.5757093491077006,500
2.5,10,1.0,MLE,0.7635541991473946,349
2.5,10,1.0,LSE,0.7782604678167601,500
2.5,20,0.1,Default(δ=0.1),0.40180851188184713,500
2.5,20,0.1,MLE,0.40996234679504717,469
2.5,20,0.1,LSE,0.4363223427835272,500
2.5,20,0.5,Default(δ=0.1),0.4323193496078374,500
2.5,20,0.5,MLE,0.4966594536984805,476
2.5,20,0.5,LSE,0.5222452382403753,500
2.5,20,1.0,Default(δ=0.1),0.4087546037600952,500
2.5,20,1.0,MLE,0.4722413049945007,477
2.5,20,1.0,LSE,0.5017283560161264,500
4.0,7,0.1,Default(δ=0.1),0.8167309259799641,500
4.0,7,0.1,MLE,0.5422597355694155,328
4.0,7,0.1,LSE,0.8000587039410408,500
4.0,7,0.5,Default(δ=0.1),0.7983974249876358,500
4.0,7,0.5,MLE,0.5959235771654776,321
4.0,7,0.5,LSE,0.8001920011782466,500
4.0,7,1.0,Default(δ=0.1),0.8024535155181233,500
4.0,7,1.0,MLE,0.6244840540022597,338
4.0,7,1.0,LSE,0.8163933797270578,500
4.0,10,0.1,Default(δ=0.1),0.7088711808469422,500
4.0,10,0.1,MLE,0.5816558796737531,413
4.0,10,0.1,LSE,0.6996512445256711,500
4.0,10,0.5,Default(δ=0.1),0.6955197206775154,500
4.0,10,0.5,MLE,0.6587627588526759,414
4.0,10,0.5,LSE,0.7442198156395071,500
4.0,10,1.0,Default(δ=0.1),0.7086357424849811,500
4.0,10,1.0,MLE,0.6581076816887752,416
4.0,10,1.0,LSE,0.7468578734239862,500
4.0,20,0.1,Default(δ=0.1),0.5474361375934923,500
4.0,20,0.1,MLE,0.5512316633720302,491
4.0,20,0.1,LSE,0.5556062125934015,500
4.0,20,0.5,Default(δ=0.1),0.5519097748860375,500
4.0,20,0.5,MLE,0.5768092308302013,493
4.0,20,0.5,LSE,0.5809254898236628,500
4.0,20,1.0,Default(δ=0.1),0.5747112069160291,500
4.0,20,1.0,MLE,0.6041243634999824,491
4.0,20,1.0,LSE,0.6065890258201241,500
