beta,n,gamma_eta,method,jparam,n_valid
2.0,7,0.1,oracle,0.5932575407973716,500
2.0,7,0.1,lmom,0.6325526333634619,209
2.0,7,0.1,wmle,0.6090365684490485,500
2.0,7,0.1,mdm0,0.6218781694169075,500
2.0,7,0.1,dual,0.6190149601754573,500
2.0,7,0.5,oracle,0.6152940087666915,500
2.0,7,0.5,lmom,0.7232459227946223,78
2.0,7,0.5,wmle,0.6625473785612471,500
2.0,7,0.5,mdm0,0.723699612517523,500
2.0,7,0.5,dual,0.701455509192283,500
2.0,7,1.0,oracle,0.6495359795315776,500
2.0,7,1.0,lmom,0.7355686438787743,11
2.0,7,1.0,wmle,0.7794419190348987,500
2.0,7,1.0,mdm0,0.9391811229368862,500
2.0,7,1.0,dual,0.8775696028695704,500
2.0,10,0.1,oracle,0.4801848000166316,500
2.0,10,0.1,lmom,0.5226137161041213,264
2.0,10,0.1,wmle,0.48822269530903417,500
2.0,10,0.1,mdm0,0.49282558031764445,500
2.0,10,0.1,dual,0.4940841965161839,500
2.0,10,0.5,oracle,0.49219853042054684,500
2.0,10,0.5,lmom,0.56404526783013,111
2.0,10,0.5,wmle,0.5644283787927787,500
2.0,10,0.5,mdm0,0.6309720081382735,500
2.0,10,0.5,dual,0.5919135341864544,500
2.0,10,1.0,oracle,0.5053630497604831,500
2.0,10,1.0,lmom,0.6229103532356973,26
2.0,10,1.0,wmle,0.6629393541915973,500
2.0,10,1.0,mdm0,0.7886369185400507,500
2.0,10,1.0,dual,0.7362583700363677,500
2.0,20,0.1,oracle,0.3585647021604651,500
2.0,20,0.1,lmom,0.3675680473486114,383
2.0,20,0.1,wmle,0.3653151646813454,500
2.0,20,0.1,mdm0,0.3693467707278101,500
2.0,20,0.1,dual,0.37109870830237407,500
2.0,20,0.5,oracle,0.35108985293415057,500
2.0,20,0.5,lmom,0.384328421582482,250
2.0,20,0.5,wmle,0.4070639060701305,500
2.0,20,0.5,mdm0,0.45119515443554464,500
2.0,20,0.5,dual,0.4268412374059388,500
2.0,20,1.0,oracle,0.34129943592229023,500
2.0,20,1.0,lmom,0.4101380230459666,79
2.0,20,1.0,wmle,0.4347942453225157,500
2.0,20,1.0,mdm0,0.49090229559749615,500
2.0,20,1.0,dual,0.46024446641441,500
2.5,7,0.1,oracle,0.6197196467155868,500
2.5,7,0.1,lmom,0.7422612251703893,137
2.5,7,0.1,wmle,0.6521349793884272,500
2.5,7,0.1,mdm0,0.6257373133073395,500
2.5,7,0.1,dual,0.6322662559526124,500
