beta,n,gamma_eta,method,mean_loss,n_valid,J_param
1.5,7,0.1,dual,0.2963846986763596,500,0.544412250667047
1.5,7,0.1,lmom,0.2544592775162937,342,0.5044395677544474
1.5,7,0.1,mdm0,0.3004094151880151,500,0.5480961733017438
1.5,7,0.1,oracle,0.2720075533479042,500,0.5215434338076784
1.5,7,0.1,wmle,0.2763182201212347,500,0.5256597950397526
1.5,7,0.5,dual,0.5166948647023853,500,0.71881490294956
1.5,7,0.5,lmom,0.31660047983767237,214,0.5626726222570922
1.5,7,0.5,mdm0,0.5984405406262076,500,0.7735893876121929
1.5,7,0.5,oracle,0.2978413675333787,500,0.5457484471195302
1.5,7,0.5,wmle,0.43250671467436713,500,0.6576524269508682
1.5,7,1.0,dual,0.7979290745157035,500,0.8932687582781027
1.5,7,1.0,lmom,0.3620138065041039,93,0.6016758317433931
1.5,7,1.0,mdm0,1.1280394881059346,500,1.062092033726802
1.5,7,1.0,oracle,0.33668735733524824,500,0.5802476689614946
1.5,7,1.0,wmle,0.6256561680539331,500,0.7909843032917487
1.5,10,0.1,dual,0.229478253980858,500,0.4790388856667671
1.5,10,0.1,lmom,0.20866930045168045,379,0.4568033498691537
1.5,10,0.1,mdm0,0.2302864548602398,500,0.47988170923701584
1.5,10,0.1,oracle,0.20339907140751,500,0.45099786186578533
1.5,10,0.1,wmle,0.21987548578785468,500,0.4689088246001078
1.5,10,0.5,dual,0.39895968772968865,500,0.6316325575282584
1.5,10,0.5,lmom,0.22765538042632508,269,0.47713245585091474
1.5,10,0.5,mdm0,0.4352197590976309,500,0.6597118758197633
1.5,10,0.5,oracle,0.22308812653568244,500,0.47232205806597943
1.5,10,0.5,wmle,0.35053844242286314,500,0.592062870329548
1.5,10,1.0,dual,0.42385679954240424,500,0.6510428553808145
1.5,10,1.0,lmom,0.2298367692272207,146,0.47941294228172515
1.5,10,1.0,mdm0,0.5596962482041353,500,0.7481284971207388
1.5,10,1.0,oracle,0.1960422632551929,500,0.4427666013321159
1.5,10,1.0,wmle,0.3892280592008029,500,0.6238814464309729
1.5,20,0.1,dual,0.11442967074524756,500,0.338274549360793
1.5,20,0.1,lmom,0.10355264729569556,473,0.32179597153428685
1.5,20,0.1,mdm0,0.11455469267623022,500,0.33845929249502105
1.5,20,0.1,oracle,0.09853684118681266,500,0.3139057839333526
1.5,20,0.1,wmle,0.10939219952860511,500,0.33074491610394424
1.5,20,0.5,dual,0.14681396499244778,500,0.3831631049467678
1.5,20,0.5,lmom,0.10401208060891058,415,0.322509039577049
1.5,20,0.5,mdm0,0.1602877524307258,500,0.40035952896206406
1.5,20,0.5,oracle,0.09617215850794156,500,0.3101163628510136
1.5,20,0.5,wmle,0.1315250777591389,500,0.3626638633213115
1.5,20,1.0,dual,0.16515302280134178,500,0.4063902346284194
1.5,20,1.0,lmom,0.11478927212937673,302,0.3388056553975697
1.5,20,1.0,mdm0,0.19871757141634733,500,0.4457774909260755
1.5,20,1.0,oracle,0.10264443204250777,500,0.32038169742122874
