rank,method,jparam,deployable,note
1,L5 Oracle (per-sample),0.3701515204362394,X,upper bound
2,"L4 by (b,n,g/eta)",0.5468471347178867,X,needs all true params
3,L3 Oracle (true beta),0.5563342764891066,X,needs true beta
4,L1 by n,0.5813015548964345,Y,n is known
5,Default delta=0.1,0.581985286935982,Y,"zero cost, RECOMMENDED"
6,Self-iterate,0.5890962446511359,N,"unstable, worsens"
7,WMLE + table,0.6257210258732568,N,+7.5% worse
8,MDM d=0 + table,0.6376147537132579,N,+9.6% worse
9,Dual-delta + table,0.6392276297716227,N,+9.8% worse
10,L-moments + table,0.6481412444364041,N,"+11.4%, 15.6% valid"
