delta,J_param
0.0,0.9773309347088658
0.02,0.7314025279936535
0.04,0.6665245105425124
0.06,0.6429756506690096
0.08,0.6355158629030045
0.1,0.6353299953337774
0.12,0.638757150078139
0.14,0.6455430721983341
0.16,0.6517230669662896
0.18,0.6580929393922649
0.2,0.6645517533107076
0.22,0.670968353213043
0.24,0.6772193326439627
0.26,0.6834738075417056
0.28,0.6893164694213298
0.3,0.6949741015012095
0.32,0.7004704631746647
0.34,0.7056917034601936
0.36,0.7107397291198174
0.38,0.7153829560335055
0.4,0.7197944528897997
0.42,0.7240623737029448
0.44,0.7281080888691468
0.46,0.731869275240656
0.48,0.7355047739632763
0.5,0.7389642976791543
