delta,RMSE_x95
0.0,0.17411331894872284
0.02,0.1746785046292808
0.04,0.17481325712920617
0.06,0.17501742426910824
0.08,0.17536683082075494
0.1,0.17574901171186005
0.12,0.17645259377975767
0.14,0.1773566128171507
0.16,0.1781531703784973
0.18,0.17905201088940628
0.2,0.18009115348943727
0.22,0.18112740020870888
0.24,0.18210175231455977
0.26,0.1834432918708386
0.28,0.18460215958713455
0.3,0.18595457469609045
0.32,0.1871921039252422
0.34,0.18835178542671374
0.36,0.18972240106450886
0.38,0.1908125000158481
0.4,0.1918121996675963
0.42,0.1930348026529057
0.44,0.1942771714389969
0.46,0.19531403760461935
0.48,0.19646715844539483
0.5,0.19749062669921652
