delta,RMSE_x95
0.0,0.12395440707582604
0.02,0.12418211800529909
0.04,0.12387360943883408
0.06,0.1238654905882306
0.08,0.12402869933047128
0.1,0.12429697054731113
0.12,0.12464014999203558
0.14,0.1249584898542915
0.16,0.12537618233789802
0.18,0.12609508480138665
0.2,0.12685150643669557
0.22,0.12758699197017717
0.24,0.1281172396413915
0.26,0.12893229397295786
0.28,0.12966933705060193
0.3,0.13063421119798097
0.32,0.13162103141311152
0.34,0.1324298948976338
0.36,0.13316444773853983
0.38,0.13396408371406074
0.4,0.13458711532055198
0.42,0.13530643585770125
0.44,0.13582511684921647
0.46,0.13661793131173924
0.48,0.13736689512938857
0.5,0.13789413832279745
