level,group,optimal_c,jparam
L0,global,0.18000000000000002,0.5597572851593408
L1,n=7,0.16,0.6739076934949764
L1,n=10,0.18,0.5721051346365709
L1,n=20,0.18,0.4318425143333699
L2,beta=2.0,0.22,0.48925596463688187
L2,beta=2.5,0.18,0.5316851575003488
L2,beta=4.0,0.12,0.6517677803412931
L3,beta=2.0_n=7,0.16,0.6193855829757716
L3,beta=2.0_n=10,0.22,0.49285735799800356
L3,beta=2.0_n=20,0.24,0.3503614515729923
L3,beta=2.5_n=7,0.18,0.6431827596189653
L3,beta=2.5_n=10,0.2,0.5468381847637117
L3,beta=2.5_n=20,0.2,0.40378174230199654
L3,beta=4.0_n=7,0.12,0.750509268891629
L3,beta=4.0_n=10,0.12,0.670276652535771
L3,beta=4.0_n=20,0.16,0.5327358565924548
L4,beta=2.0_n=7_g=0.1,0.12,0.5917189740284738
L4,beta=2.0_n=7_g=0.5,0.14,0.6062176287554532
L4,beta=2.0_n=7_g=1.0,0.24,0.6297392715160199
L4,beta=2.0_n=10_g=0.1,0.1,0.4725254906079381
L4,beta=2.0_n=10_g=0.5,0.24,0.49005885201113647
L4,beta=2.0_n=10_g=1.0,0.26,0.5062000269738387
L4,beta=2.0_n=20_g=0.1,0.06,0.3533410751972941
L4,beta=2.0_n=20_g=0.5,0.26,0.3508829768067785
L4,beta=2.0_n=20_g=1.0,0.26,0.34119511454239776
L4,beta=2.5_n=7_g=0.1,0.06,0.5977831734218813
L4,beta=2.5_n=7_g=0.5,0.2,0.6562641573923705
L4,beta=2.5_n=7_g=1.0,0.22,0.6515736564733914
L4,beta=2.5_n=10_g=0.1,0.04,0.4993581922369287
L4,beta=2.5_n=10_g=0.5,0.2,0.5624328381635207
L4,beta=2.5_n=10_g=1.0,0.24,0.5586633966438922
L4,beta=2.5_n=20_g=0.1,0.02,0.392307808129596
L4,beta=2.5_n=20_g=0.5,0.22,0.4078128037353897
L4,beta=2.5_n=20_g=1.0,0.22,0.39086233887309757
L4,beta=4.0_n=7_g=0.1,0.06,0.7068268657892051
L4,beta=4.0_n=7_g=0.5,0.12,0.7515697582722178
L4,beta=4.0_n=7_g=1.0,0.18,0.7604741191541022
L4,beta=4.0_n=10_g=0.1,0.0,0.6051443414323256
L4,beta=4.0_n=10_g=0.5,0.18,0.675115762898436
L4,beta=4.0_n=10_g=1.0,0.18,0.6779862701401085
L4,beta=4.0_n=20_g=0.1,0.0,0.4509265371350446
L4,beta=4.0_n=20_g=0.5,0.16,0.535521349982701
L4,beta=4.0_n=20_g=1.0,0.16,0.5539450664131805
