beta,n,gamma_eta,delta_type,delta,mean_loss,RMSE_x95
1.5,7,0.1,x95_opt,0.0,0.02392040115240907,0.1546622163051114
1.5,7,0.1,J_opt,0.24,0.028128997872237386,0.16771701724105811
1.5,7,0.5,x95_opt,0.0,0.03298515973368586,0.18161817016390697
1.5,7,0.5,J_opt,0.32,0.03708524343716052,0.19257529290425737
1.5,7,1.0,x95_opt,0.1,0.03585304153227692,0.18934899400914945
1.5,7,1.0,J_opt,0.28,0.0393750413373468,0.1984314524901403
1.5,10,0.1,x95_opt,0.0,0.019542780318525785,0.1397954946288534
1.5,10,0.1,J_opt,0.36,0.022982361628332806,0.1515993457384721
1.5,10,0.5,x95_opt,0.0,0.019684506650504363,0.14030148484782462
1.5,10,0.5,J_opt,0.48,0.024320265300204806,0.15594956011545785
1.5,10,1.0,x95_opt,0.08,0.01855786012999653,0.13622723710769638
1.5,10,1.0,J_opt,0.42,0.020989061001185274,0.14487601941379144
1.5,20,0.1,x95_opt,0.0,0.0070548486856977346,0.08399314665910389
1.5,20,0.1,J_opt,0.5,0.008348386906839068,0.09136950753308824
1.5,20,0.5,x95_opt,0.0,0.0063523710899051865,0.07970176340524208
1.5,20,0.5,J_opt,0.5,0.007205221845257615,0.084883578183637
1.5,20,1.0,x95_opt,0.04,0.007629765852791104,0.08734853091375439
1.5,20,1.0,J_opt,0.5,0.008397897896949223,0.09164004526924473
2.0,7,0.1,x95_opt,0.0,0.035556075851308176,0.1885631879538214
2.0,7,0.1,J_opt,0.1,0.0389642492107706,0.19739364024904804
2.0,7,0.5,x95_opt,0.0,0.03268592620730407,0.18079249488655239
2.0,7,0.5,J_opt,0.12,0.03416245774760726,0.18483088959264157
2.0,7,1.0,x95_opt,0.1,0.036169961461362685,0.19018401999474793
2.0,7,1.0,J_opt,0.2,0.037850275279271775,0.19455147205629614
2.0,10,0.1,x95_opt,0.0,0.019477797128352355,0.13956287876205606
2.0,10,0.1,J_opt,0.1,0.021242080848703382,0.14574663237517146
2.0,10,0.5,x95_opt,0.0,0.020504143873684426,0.14319268093615828
2.0,10,0.5,J_opt,0.22,0.021036050607215945,0.14503810053643126
2.0,10,1.0,x95_opt,0.08,0.0257848299793215,0.16057655488682493
2.0,10,1.0,J_opt,0.2,0.02629806860451512,0.16216679254556132
2.0,20,0.1,x95_opt,0.0,0.009044429826801472,0.09510220726566483
2.0,20,0.1,J_opt,0.08,0.009378535968837894,0.09684284159832307
2.0,20,0.5,x95_opt,0.02,0.008665015953726495,0.0930860674522589
2.0,20,0.5,J_opt,0.3,0.009224091629616012,0.09604213465774286
2.0,20,1.0,x95_opt,0.02,0.00876878338299791,0.09364178225022156
2.0,20,1.0,J_opt,0.3,0.009557234890347627,0.0977611113395691
2.5,7,0.1,x95_opt,0.0,0.028116286965891094,0.16767911905151187
2.5,7,0.1,J_opt,0.04,0.02961388768588735,0.17208686087522007
2.5,7,0.5,x95_opt,0.0,0.03842937821047217,0.19603412511721566
2.5,7,0.5,J_opt,0.12,0.040236222934713725,0.20058968800692054
2.5,7,1.0,x95_opt,0.08,0.036047401361796134,0.18986153207481535
2.5,7,1.0,J_opt,0.14,0.036232444016997295,0.19034821779306813
2.5,10,0.1,x95_opt,0.0,0.017370102468444344,0.13179568455926144
2.5,10,0.1,J_opt,0.02,0.017960995910547457,0.13401864016079054
2.5,10,0.5,x95_opt,0.0,0.022770642616021405,0.15089944538009875
2.5,10,0.5,J_opt,0.14,0.024032864426117666,0.15502536704074488
2.5,10,1.0,x95_opt,0.12,0.023198875701349958,0.15231177138143315
2.5,10,1.0,J_opt,0.16,0.023232232767539183,0.15242123463461113
2.5,20,0.1,x95_opt,0.0,0.010274386295694224,0.10136264743826606
2.5,20,0.1,J_opt,0.02,0.010441047838243052,0.10218144566526279
2.5,20,0.5,x95_opt,0.0,0.010579123216741272,0.10285486481805939
2.5,20,0.5,J_opt,0.18,0.0109622295493489,0.10470066642265893
2.5,20,1.0,x95_opt,0.06,0.010015072981220306,0.10007533652813917
2.5,20,1.0,J_opt,0.16,0.0101565138768669,0.10077953104111419
4.0,7,0.1,x95_opt,0.0,0.023875224263482243,0.15451609710150668
4.0,7,0.1,J_opt,0.02,0.025027004127337604,0.1581992545094243
4.0,7,0.5,x95_opt,0.1,0.028628691526059746,0.16920015226370141
4.0,7,0.5,J_opt,0.04,0.02916279493390304,0.1707711771169334
4.0,7,1.0,x95_opt,0.06,0.026384983832291185,0.16243455245818603
4.0,7,1.0,J_opt,0.06,0.026384983832291185,0.16243455245818603
4.0,10,0.1,x95_opt,0.0,0.016044084390094533,0.12666524539152219
4.0,10,0.1,J_opt,0.0,0.016044084390094533,0.12666524539152219
4.0,10,0.5,x95_opt,0.1,0.017996737125469526,0.13415191808345314
4.0,10,0.5,J_opt,0.06,0.01816463458039917,0.13477623893104884
4.0,10,1.0,x95_opt,0.08,0.019453983409231365,0.13947753729268153
4.0,10,1.0,J_opt,0.06,0.01955144368540892,0.13982647705427223
4.0,20,0.1,x95_opt,0.0,0.00799098561781405,0.08939231296825276
4.0,20,0.1,J_opt,0.0,0.00799098561781405,0.08939231296825276
4.0,20,0.5,x95_opt,0.12,0.009493355368085304,0.09743385124321682
4.0,20,0.5,J_opt,0.06,0.009546250350475328,0.09770491466899364
4.0,20,1.0,x95_opt,0.12,0.009451983337427087,0.09722131112789566
4.0,20,1.0,J_opt,0.06,0.009496785239730295,0.09745145068048139
5.0,7,0.1,x95_opt,0.0,0.020760785163678363,0.14408603389530286
5.0,7,0.1,J_opt,0.0,0.020760785163678363,0.14408603389530286
5.0,7,0.5,x95_opt,0.06,0.02245471146931122,0.14984896218963686
5.0,7,0.5,J_opt,0.02,0.022799270097120548,0.15099427173611768
5.0,7,1.0,x95_opt,0.08,0.022466477954961695,0.14988821819930243
5.0,7,1.0,J_opt,0.04,0.022516166026311634,0.15005387707857346
5.0,10,0.1,x95_opt,0.0,0.015365074812503973,0.12395593899649977
5.0,10,0.1,J_opt,0.0,0.015365074812503973,0.12395593899649977
5.0,10,0.5,x95_opt,0.0,0.016242508037450337,0.1274460985571953
