,L4_hard,L5_hard,Risk_curve,Default
1.5_7_0.1,0.5498826208308578,0.58264680670077,0.578796431128035,0.577566488451006
1.5_7_0.5,0.5689537176419306,0.6919753805469508,0.7098824627838878,0.6148394206159546
1.5_7_1.0,0.6442364135068365,1.249168954599694,1.3332362536924378,0.6728767236893878
1.5_10_0.1,0.4784759497901084,0.5231721048422404,0.5131868343833219,0.4852102746928244
1.5_10_0.5,0.6350367671360938,0.7755417494160901,0.8365899888077779,0.7220322206436476
1.5_10_1.0,0.5778823010552676,1.1692977271421299,1.1696388870776535,0.7230052067598779
1.5_20_0.1,0.3409002331152678,0.33400249112021463,0.34447006413555065,0.35501870470777674
1.5_20_0.5,0.3878029111063261,0.43287822225086586,0.42360013261922397,0.4601782527089957
1.5_20_1.0,0.28187371684873613,0.33585726041250896,0.3432452323821708,0.30356227188061924
2.0_7_0.1,0.5495162650711344,0.5580266379907741,0.5459161045801388,0.5315491312875822
2.0_7_0.5,0.5051535239249612,0.7338580804257472,0.725741649076636,0.5715754437112774
2.0_7_1.0,0.6259613224874181,1.2104601843425629,1.0037120352830942,0.670466962233221
2.0_10_0.1,0.5119914375399415,0.4809438917702029,0.4857197278950094,0.48175521909281044
2.0_10_0.5,0.450134408194411,0.6755177102132803,0.7316552978243512,0.554054891270481
2.0_10_1.0,0.5174548404744355,0.9905578476131751,0.9279291774517331,0.5541267355111646
2.0_20_0.1,0.3691198592471895,0.3753179926684238,0.3612103456099507,0.3599310432918575
2.0_20_0.5,0.38323494476420417,0.6381729716484824,0.6025695341138914,0.48566380602492204
2.0_20_1.0,0.34207822886247846,0.6317961251958535,0.5847845853800755,0.37687056680020764
2.5_7_0.1,0.7441292946452767,0.8586504576176078,0.8475197898128144,0.6870803675614718
2.5_7_0.5,0.6476276478684867,0.7711602248095809,0.7843711022377957,0.6410741930237207
2.5_7_1.0,0.7296499204803356,0.9619645207933323,0.9038015814044023,0.6578845962646481
2.5_10_0.1,0.5581059589614356,0.5067967904330275,0.515587282267706,0.48710409887734657
2.5_10_0.5,0.6451738141232685,0.7533188056364141,0.7122957319615345,0.5866758766270942
2.5_10_1.0,0.6217643824319704,0.8735736210441977,0.640415883280407,0.5616142639482471
2.5_20_0.1,0.4857243423235438,0.4435841293075968,0.45082925254552486,0.40863165713877386
2.5_20_0.5,0.4416746470118316,0.46282361802760336,0.41598901586016823,0.4298321314662949
2.5_20_1.0,0.4455124702913675,0.6829597588891607,0.6610752567220577,0.4205026468657658
4.0_7_0.1,0.9817681429539952,0.8152333008482747,0.8739712305537938,0.827504059738362
4.0_7_0.5,0.9624417825962842,0.917342245894207,0.9093835041569543,0.7784390513453401
4.0_7_1.0,0.893357683947975,0.9514333635698058,0.8433508039938654,0.6936049537829366
4.0_10_0.1,0.7065049831628301,0.6534453136743823,0.6758496498899179,0.6798027897949478
4.0_10_0.5,0.7593300187235409,0.8720704655140099,0.8319523735533093,0.7140179726141314
4.0_10_1.0,0.7449489086968772,1.2504775913851274,1.3633949119832074,0.642393462063128
4.0_20_0.1,0.6297623289540254,0.628028933552896,0.6151148024389637,0.5980054410682362
4.0_20_0.5,0.5927007721253952,0.6807962459620281,0.6613779992514328,0.5410157661020821
4.0_20_1.0,0.6447859284051807,0.7876945868224824,0.753356319918317,0.5785723031320412
5.0_7_0.1,0.9558426096064536,0.916333977830674,0.912312506580886,0.9189108238948226
5.0_7_0.5,0.9560614589499278,0.9838771594542074,0.9393954777374075,0.8887168039555352
5.0_7_1.0,1.0551732780652558,1.151476522914692,1.2133011262502038,1.0239993043753697
5.0_10_0.1,0.9447551930459911,0.8660384306320725,0.8676988806131104,0.8858190386281262
5.0_10_0.5,0.8517135328140472,0.9144997247139246,0.8571244665073183,0.7974693597207432
5.0_10_1.0,0.8309268594747429,1.0893324455117128,1.1412929088226578,0.7752609198963193
5.0_20_0.1,0.7983487843167701,0.7182971646022164,0.6792633080928998,0.7426029450127132
5.0_20_0.5,0.7713931350921458,0.8157978407338148,0.7710481493064973,0.6719724474966767
5.0_20_1.0,0.7469709580449214,0.9513504134301031,0.8495013341855137,0.644789788723664
