,,scenario,jparam,rmse_beta,rmse_eta,rmse_gamma
扩展,0,基准,0.3646569632320927,0.24365035040476007,0.21502276117076435,0.16545216758867157
扩展,1,"β扩展[1,6]",0.3820139819511896,0.25942170178014134,0.22104807798430848,0.17254799410929775
扩展,2,"η扩展[0.5,6]",0.3559886850079868,0.2388860794538179,0.21131464192204566,0.15813762046476307
扩展,3,"γ扩展[0,2.5]",0.4353424789447192,0.26626747586743243,0.25219465948820485,0.23456887899836154
扩展,4,全部扩展,0.4171280314156451,0.2630387995750484,0.24124750024612085,0.21588429339765972
收缩,0,基准,0.3646569632320927,0.24365035040476007,0.21502276117076435,0.16545216758867157
收缩,1,"β收缩[2,4]",0.3421587259053081,0.2255921876474771,0.1970536263061868,0.16538024956188369
收缩,2,"η收缩[1,4]",0.3519166979976581,0.2442612455798393,0.2015398969256752,0.15350399403451553
收缩,3,"γ收缩[0.5,1.5]",0.3508756692192528,0.23142614405194495,0.21357741191803736,0.15472674047397209
收缩,4,全部收缩,0.3071868635738629,0.2108196100392736,0.1751566844265819,0.13870471180144694
