n,scenario,jparam,rmse_beta,rmse_eta,rmse_gamma
5,基准,0.5383615375823685,0.37541565090520435,0.3021285785090081,0.2400303236084972
5,全部扩展,0.6034380670962334,0.41180671803771657,0.32859841459715544,0.2942376755687124
7,基准,0.4924292524615412,0.3368630523111428,0.28327633549595044,0.22082656184308588
7,全部扩展,0.5683607232143262,0.3732521392259121,0.3251265882306364,0.2793017255254585
10,基准,0.45593237640682366,0.30624216569822665,0.26224469046221616,0.21287975509383186
10,全部扩展,0.517001766554316,0.3289888135317642,0.29466066086766446,0.26876064095822644
15,基准,0.4078725663630063,0.26973751645933325,0.2384026436616014,0.19174431439042822
15,全部扩展,0.4471945326498099,0.28365029906991757,0.2502047387474055,0.23858551208690518
20,基准,0.3646569632320927,0.24365035040476007,0.21502276117076435,0.16545216758867157
20,全部扩展,0.4171280314156451,0.2630387995750484,0.24124750024612085,0.21588429339765972
50,基准,0.2619686907824762,0.17558993633292724,0.14631663062099606,0.12801254943403864
50,全部扩展,0.31138652025314234,0.1935702573154994,0.17581974193665095,0.16905483969263183
