n,features,n_features,jparam,acc_mean,acc_beta,acc_eta,acc_gamma,fisher_beta,fisher_eta,fisher_gamma,time
5,original_12,12,0.6050510656767317,0.14133333333333334,0.122,0.176,0.126,0.12063927060271754,0.5512148137313104,0.10286336737856444,6.444275856018066
5,enhanced,33,0.6167137080965255,0.13266666666666668,0.128,0.136,0.134,0.09985612862364789,0.690939160647515,0.1237399310721664,11.437209129333496
7,original_12,12,0.5897119881834203,0.14400000000000002,0.13,0.168,0.134,0.16314811533239792,0.6134503268043014,0.11540083806165136,8.692929029464722
7,enhanced,33,0.5889171914378846,0.14733333333333334,0.146,0.164,0.132,0.14485449933684166,0.7586034666127027,0.14074323021816715,14.779266595840454
10,original_12,12,0.5376398652759173,0.14600000000000002,0.126,0.162,0.15,0.1964618056156013,0.6347079379270597,0.1236490746384213,8.28756856918335
10,enhanced,33,0.5403764910842151,0.1386666666666667,0.138,0.156,0.122,0.1713170117373705,0.8002763093265804,0.15135115516087266,14.115283250808716
15,original_12,12,0.479538801576824,0.14266666666666666,0.146,0.156,0.126,0.2384055283716641,0.6763113901424812,0.131148198673519,8.206529140472412
15,enhanced,33,0.46498883894633586,0.15866666666666665,0.154,0.17,0.152,0.203131875045718,0.8662266089037216,0.1610237326510582,14.202991962432861
20,original_12,12,0.4147053131100839,0.166,0.162,0.182,0.154,0.26652980780820396,0.6915136438256092,0.13674917536708148,9.2606680393219
20,enhanced,33,0.4248332892064566,0.17066666666666666,0.158,0.19,0.164,0.22205007612664288,0.8914932886944812,0.16780720939473828,14.40610122680664
50,original_12,12,0.3117494580497134,0.18266666666666667,0.16,0.194,0.194,0.36528353342637576,0.7143367246591399,0.15515582168717298,8.005506753921509
50,enhanced,33,0.3196468467106332,0.17333333333333334,0.142,0.178,0.2,0.2787689665946961,0.941538887902865,0.19095028200727443,13.426620721817017
