n,bhat_bin,best_delta,n_train,NE_train
5,1.0-1.5,0.2,710,0.7829416345017903
5,1.5-2.5,0.2,1107,0.7818070308468191
5,2.5-4.0,0.2,682,0.7552674324700691
5,<1.0,0.15,1233,0.8225830604039044
10,1.0-1.5,0.2,807,0.5926152997907516
10,1.5-2.5,0.15,1204,0.641566906339624
10,2.5-4.0,0.15,858,0.5688350669719052
10,<1.0,0.3,839,0.47918114504704423
10,>4.0,0.1,70,0.4951126796497255
20,1.0-1.5,0.5,788,0.3839821436387498
20,1.5-2.5,0.08,1107,0.4775695509567011
20,2.5-4.0,0.1,971,0.43829937350148906
20,<1.0,1.0,790,0.30612005071448406
20,>4.0,0.1,110,0.3018799772806999
30,1.0-1.5,0.7,664,0.28770874031437205
30,1.5-2.5,0.05,1026,0.3810962000571913
30,2.5-4.0,0.08,1019,0.3992029073393992
30,<1.0,0.03,778,0.23960620777991387
30,>4.0,0.08,145,0.2650514118622648
50,1.0-1.5,1.0,674,0.1864576347055785
50,1.5-2.5,0.08,1007,0.2791557362857087
50,2.5-4.0,0.05,1018,0.3396342389475192
50,<1.0,0.2,831,0.18997690403041648
50,>4.0,0.08,215,0.19357908778554853
100,1.0-1.5,1.0,706,0.12004542940824103
100,1.5-2.5,0.1,897,0.1869113248678981
100,2.5-4.0,0.03,1037,0.2764060125721458
100,<1.0,0.0,829,0.18053803236090665
100,>4.0,0.08,260,0.1515733807141624
