n,beta,gamma_over_eta,best_delta,NE_best,NE_base01,impr_vs01_pct
5,0.8,0.0,1.0,0.7650370299487196,1.007150928801439,24.03948523791239
5,0.8,0.05,0.7,0.7545823971194054,0.9817692748790516,23.140556908101885
5,0.8,0.1,1.0,0.7482203160591059,0.958062276830406,21.90274743574377
5,0.8,0.2,1.0,0.723266118134256,0.9715175502530656,25.55295393831474
5,0.8,0.5,0.7,0.7383115489137276,0.9766262953922976,24.401835953315405
5,1.2,0.0,0.5,0.6461114655816743,0.8379192937588608,22.890966899299677
5,1.2,0.05,0.5,0.625297407281845,0.8324332775266176,24.883179930075446
5,1.2,0.1,0.5,0.6162073201092744,0.8087618002138209,23.80855278447114
5,1.2,0.2,0.5,0.6264335734870438,0.8215996440115594,23.75440057052529
5,1.2,0.5,0.3,0.6271892271955101,0.7980427172820834,21.40906575383006
5,2.0,0.0,0.2,0.649304604289175,0.6822983357629244,4.835675208976855
5,2.0,0.05,0.15,0.6250277467388723,0.662718267609496,5.687261497495452
5,2.0,0.1,0.15,0.6211833769673203,0.6524332132475741,4.789737193896603
5,2.0,0.2,0.15,0.6515242957687295,0.6864703482422063,5.090686373120206
5,2.0,0.5,0.2,0.642823105615223,0.6781818674617272,5.213758070360022
5,3.0,0.0,0.08,0.7202092017931797,0.7242572392457792,0.5589226083283653
5,3.0,0.05,0.08,0.7152463722179557,0.7205307597575952,0.7334020745231262
5,3.0,0.1,0.08,0.7351703887074015,0.7393776812448355,0.5690315848255668
5,3.0,0.2,0.08,0.6985260323214465,0.7026821872539157,0.5914700853185851
5,3.0,0.5,0.08,0.709687934644348,0.717026460761677,1.0234665690766116
5,5.0,0.0,0.03,0.8238343638891434,0.9481940892170816,13.11542929260625
5,5.0,0.05,0.03,0.793648098399092,0.9175843646912772,13.506797964444806
5,5.0,0.1,0.03,0.8326749076407739,0.9556851857403524,12.871422507641432
5,5.0,0.2,0.03,0.7887660503627438,0.9488447163362582,16.870902395032633
5,5.0,0.5,0.03,0.7690077201669466,0.9152259793527742,15.976191944335932
10,0.8,0.0,1.0,0.4966305699298626,0.6147314969359615,19.21179044749709
10,0.8,0.05,1.0,0.4548147325431875,0.5789829993595546,21.4459262109106
10,0.8,0.1,1.0,0.4918591077895918,0.6356614124362883,22.622468791293766
10,0.8,0.2,1.0,0.484521144629467,0.6270023976974896,22.724195886849802
10,0.8,0.5,1.0,0.4674347210563817,0.5861317071348535,20.25090685823669
10,1.2,0.0,0.7,0.3955682566890032,0.5565344695573928,28.92295476260522
10,1.2,0.05,0.7,0.4049322106074536,0.550489714993141,26.441457564289106
10,1.2,0.1,0.7,0.4097435848134873,0.5616959476102643,27.05242283538957
10,1.2,0.2,0.7,0.3880501784976961,0.5349308356504284,27.457878171135622
10,1.2,0.5,0.7,0.4021057558538577,0.5658600592286579,28.939010750823968
10,2.0,0.0,0.3,0.4402991799031603,0.501175422158809,12.146693465817764
10,2.0,0.05,0.2,0.4550915403309779,0.5058561025339479,10.035376058266133
10,2.0,0.1,0.3,0.4540711436557209,0.5335372560561052,14.894201201204952
10,2.0,0.2,0.3,0.4487754051488489,0.5206203243053616,13.799868311397933
10,2.0,0.5,0.2,0.4458410495847781,0.4925459482099673,9.482343483877235
10,3.0,0.0,0.1,0.5143767240585668,0.5143767240585668,0.0
10,3.0,0.05,0.1,0.5344245834725714,0.5344245834725714,0.0
10,3.0,0.1,0.1,0.5515438228448096,0.5515438228448096,0.0
10,3.0,0.2,0.1,0.5256247364901884,0.5256247364901884,0.0
10,3.0,0.5,0.1,0.5067157267100726,0.5067157267100726,0.0
10,5.0,0.0,0.03,0.6700846938483761,0.7856723361511562,14.711939950567645
10,5.0,0.05,0.03,0.6552874323800048,0.7479987358594765,12.394580235880113
10,5.0,0.1,0.05,0.6298433433685159,0.7266647608993545,13.324083228008453
10,5.0,0.2,0.03,0.6114240549959901,0.7322138843460372,16.49652265989578
10,5.0,0.5,0.03,0.6370934358966325,0.7551289549329631,15.631173757177573
20,0.8,0.0,1.0,0.3276161482408189,0.3576912807384834,8.408125698667257
20,0.8,0.05,1.0,0.3194603920263279,0.347019339673005,7.941617223018691
20,0.8,0.1,1.0,0.3213093921008864,0.3583646728817897,10.340104252722025
20,0.8,0.2,1.0,0.3204842407915741,0.3487634359255926,8.10841740303641
20,0.8,0.5,1.0,0.3287071422491966,0.3592914634098716,8.512398505217224
20,1.2,0.0,1.0,0.2531687966086735,0.3099569022949964,18.321290884587487
20,1.2,0.05,1.0,0.2645132154157584,0.3452827124793519,23.39227946966026
20,1.2,0.1,1.0,0.2677239301279207,0.3410748937303343,21.505823193309396
20,1.2,0.2,1.0,0.2599978274812569,0.3288504395708323,20.93736355634246
20,1.2,0.5,1.0,0.271374860522242,0.3393174328359136,20.023307304263113
20,2.0,0.0,0.3,0.310235712897931,0.3672927506203221,15.53448512828724
20,2.0,0.05,0.3,0.305387133763404,0.3556503687177787,14.132766158963387
20,2.0,0.1,0.3,0.3004408565177356,0.3685555049318915,18.48151703140165
20,2.0,0.2,0.3,0.3051229985143512,0.3532145965769095,13.615405062142374
20,2.0,0.5,0.3,0.3058253212464151,0.34929904418278,12.445989664264909
20,3.0,0.0,0.1,0.3738977767423053,0.3738977767423053,0.0
20,3.0,0.05,0.15,0.3830473461436409,0.3849178829384583,0.48595736330506595
