sample_size,group_id,observation_index,value
7,1,1,1960.139
7,1,2,1119.919
7,1,3,1346.858
7,1,4,1014.251
7,1,5,1700.838
7,1,6,2050.807
7,1,7,1363.647
7,2,1,886.875
7,2,2,860.947
7,2,3,2547.09
7,2,4,1271.42
7,2,5,1093.12
7,2,6,1904.23
7,2,7,887.359
7,3,1,1523.43
7,3,2,879.849
7,3,3,1659.8
7,3,4,1375.18
7,3,5,1823.94
7,3,6,1246.01
7,3,7,1278.26
7,4,1,1145.28
7,4,2,1857.44
7,4,3,1321.49
7,4,4,2135.62
7,4,5,1073.11
7,4,6,1318.09
7,4,7,1137.87
7,5,1,675.3884
7,5,2,1102.421
7,5,3,1041.317
7,5,4,1644.474
7,5,5,1224.625
7,5,6,511.87
7,5,7,1695.091
7,6,1,2324.4
7,6,2,1020.7
7,6,3,1457.8
7,6,4,1048.4
7,6,5,1334.8
7,6,6,1537.5
7,6,7,2248.9
7,7,1,2037.01
7,7,2,1384.66
7,7,3,2115.23
7,7,4,1188.47
7,7,5,1866.47
7,7,6,695.037
7,7,7,1174.83
7,8,1,1137.79
7,8,2,1200.32
7,8,3,1331.4
7,8,4,1301.99
7,8,5,917.488
7,8,6,1135.66
7,8,7,1629.21
7,9,1,611.442
7,9,2,1665.95
7,9,3,1576.16
7,9,4,1235.1
7,9,5,1884.73
7,9,6,1702.92
7,9,7,1341.9
7,10,1,625.3081
7,10,2,878.9032
7,10,3,1947.872
7,10,4,1181.516
7,10,5,1785.034
7,10,6,1791.521
7,10,7,1503.246
7,11,1,1720.2
7,11,2,1432.31
7,11,3,2363.81
7,11,4,1099.14
7,11,5,962.847
7,11,6,1812.72
7,11,7,1847.86
7,12,1,1337.18
7,12,2,800.319
7,12,3,1076.41
7,12,4,2095.55
7,12,5,1490.44
7,12,6,1517.87
7,12,7,1617.64
7,13,1,1467.12
7,13,2,1577.28
7,13,3,2461.96
7,13,4,2352.54
7,13,5,1172.99
7,13,6,1995.81
7,13,7,1810.01
7,14,1,1320.77
7,14,2,596.889
7,14,3,1637.98
7,14,4,699.358
7,14,5,1090.56
7,14,6,1447.24
7,14,7,1915.19
7,15,1,2447.604
7,15,2,615.7737
7,15,3,567.6855
7,15,4,1417.605
7,15,5,723.3047
7,15,6,1448.667
7,15,7,920.6449
7,16,1,1447.66
7,16,2,1262.8
7,16,3,2275.24
7,16,4,552.587
7,16,5,1006.0
7,16,6,1092.28
7,16,7,1299.69
7,17,1,1763.93
7,17,2,1406.61
7,17,3,1630.97
7,17,4,1947.35
7,17,5,1242.55
7,17,6,1381.99
7,17,7,1299.2
7,18,1,1272.962
7,18,2,964.5653
7,18,3,560.2201
7,18,4,1360.535
7,18,5,1477.26
7,18,6,1339.268
7,18,7,2449.793
7,19,1,2136.16
7,19,2,1372.04
7,19,3,1129.0
7,19,4,1150.97
7,19,5,1415.9
