beta,eta,n,ai_delta,ai_mse,fixed_0.01_mse,fixed_0.05_mse,fixed_0.1_mse,fixed_0.2_mse,fixed_0.5_mse,fixed_1.0_mse
2.0,100.0,5,0.0903,0.33,0.09,0.33,0.33,0.33,0.38,0.47
2.0,100.0,5,0.0463,0.79,0.76,0.79,0.82,0.86,0.93,1.0
2.0,100.0,5,0.0692,0.28,0.28,0.28,0.28,0.28,0.29,0.35
2.0,100.0,5,0.1006,0.06,0.0,0.01,0.06,0.25,0.25,0.32
2.0,100.0,5,0.0968,0.35,0.32,0.32,0.35,0.4,0.48,0.53
2.0,100.0,5,0.2062,0.08,4.31,0.3,0.07,0.07,0.26,0.36
2.0,100.0,5,0.0445,0.7,0.7,0.7,0.7,0.71,0.72,0.74
2.0,100.0,5,0.1925,0.18,0.44,0.02,0.03,0.21,0.28,0.35
2.0,100.0,5,0.2474,0.07,7.15,1.04,0.36,0.1,,
2.0,100.0,5,0.1656,0.05,4.0,0.57,0.13,0.04,0.24,0.35
2.0,100.0,5,0.2588,0.17,0.59,0.37,0.28,0.19,0.13,0.15
2.0,100.0,5,0.3025,0.04,6.86,0.61,0.12,0.01,0.17,
2.0,100.0,5,0.2522,0.02,1.32,0.33,0.11,0.03,0.14,0.2
2.0,100.0,5,0.2169,0.3,0.18,0.12,0.13,0.3,0.3,0.34
2.0,100.0,5,0.5592,0.11,9.25,1.59,0.66,0.27,0.12,0.07
2.0,100.0,5,0.1011,0.14,0.05,0.08,0.14,0.28,0.28,0.28
2.0,100.0,5,0.1767,0.31,0.97,0.17,0.16,0.31,0.35,0.42
2.0,100.0,5,0.112,0.17,0.09,0.12,0.16,0.28,0.28,0.28
2.0,100.0,5,0.1849,0.0,1.13,0.13,0.02,0.01,0.24,0.28
2.0,100.0,5,0.0625,0.38,0.36,0.37,0.39,0.42,0.49,0.57
2.0,100.0,5,0.0617,0.4,0.3,0.4,0.4,0.42,0.54,0.64
2.0,100.0,5,0.3266,0.17,4.0,0.33,0.11,0.08,0.26,0.29
2.0,100.0,5,0.0326,0.89,0.88,0.89,0.9,0.91,0.94,0.97
2.0,100.0,5,0.3934,0.01,13.87,1.62,0.5,0.09,0.04,
2.0,100.0,5,0.0604,0.59,0.54,0.58,0.61,0.65,0.72,0.77
2.0,100.0,5,0.0377,0.91,0.91,0.91,0.91,0.92,0.93,0.95
2.0,100.0,5,0.2981,inf,18.57,2.41,0.85,0.25,,
2.0,100.0,5,0.2042,0.11,0.29,0.2,0.13,0.11,0.12,0.19
2.0,100.0,5,0.0421,0.83,0.82,0.83,0.84,0.85,0.88,0.92
2.0,100.0,5,0.0518,0.34,0.34,0.34,0.34,0.35,0.36,0.38
2.0,100.0,5,0.0389,0.97,0.97,0.97,0.98,0.99,1.01,1.04
2.0,100.0,5,0.1696,0.01,1.35,0.1,0.01,0.03,0.27,0.34
2.0,100.0,5,0.1134,0.03,0.87,0.04,0.02,0.14,0.31,0.42
2.0,100.0,5,0.3212,inf,25.15,3.56,1.31,0.39,,
2.0,100.0,5,0.0636,0.37,0.63,0.27,0.4,0.4,0.52,0.64
2.0,100.0,5,0.0296,1.02,1.02,1.02,1.03,1.03,1.05,1.06
2.0,100.0,5,0.3574,0.36,0.74,0.57,0.45,0.41,0.33,0.33
2.0,100.0,5,0.2172,0.04,7.61,0.81,0.21,0.05,0.18,
2.0,100.0,5,0.1064,0.05,0.03,0.02,0.05,0.27,0.3,0.39
2.0,100.0,5,0.066,0.34,0.13,0.34,0.34,0.41,0.51,0.59
2.0,100.0,5,0.0402,0.65,0.54,0.68,0.76,0.85,0.98,1.07
2.0,100.0,5,0.0839,0.4,4.92,0.9,0.43,0.43,0.7,
2.0,100.0,5,0.01,1.17,1.17,1.17,1.17,1.17,1.17,1.17
2.0,100.0,5,0.0579,0.48,0.43,0.48,0.52,0.57,0.67,0.74
2.0,100.0,5,0.2574,0.16,9.43,1.37,0.48,0.17,,
2.0,100.0,5,0.0471,0.69,0.52,0.7,0.79,0.87,0.98,1.06
2.0,100.0,5,0.1665,0.01,0.44,0.11,0.03,0.01,0.2,0.31
2.0,100.0,5,0.0381,0.58,0.58,0.58,0.58,0.59,0.59,0.6
2.0,100.0,5,0.0557,0.6,0.53,0.59,0.64,0.7,0.8,0.88
2.0,100.0,5,0.2036,0.04,4.17,0.6,0.17,0.05,0.18,
2.0,100.0,7,0.1894,0.07,2.17,0.52,0.19,0.06,0.1,
2.0,100.0,7,0.2892,0.06,8.96,1.6,0.65,0.19,,
2.0,100.0,7,0.6925,0.04,13.29,2.66,1.19,0.51,0.14,
2.0,100.0,7,0.1109,0.01,0.21,0.02,0.01,0.22,0.23,0.33
2.0,100.0,7,0.0307,0.28,1.12,0.26,0.39,0.51,0.69,0.8
2.0,100.0,7,0.0597,0.58,1.94,0.72,0.3,0.35,0.45,0.56
2.0,100.0,7,0.1914,0.39,15.69,2.35,1.03,0.36,,
2.0,100.0,7,0.1118,0.13,0.03,0.04,0.1,0.22,0.22,0.29
2.0,100.0,7,0.0997,0.23,0.22,0.23,0.23,0.24,0.27,0.3
2.0,100.0,7,0.0708,0.1,1.02,0.16,0.09,0.26,0.33,0.44
2.0,100.0,7,0.1224,0.48,9.03,1.35,0.64,0.23,0.52,
2.0,100.0,7,0.2997,0.01,2.37,0.65,0.26,0.06,0.06,
2.0,100.0,7,0.097,0.02,0.01,0.0,0.02,0.18,0.2,0.25
2.0,100.0,7,0.1989,0.01,0.72,0.18,0.07,0.01,0.12,0.2
2.0,100.0,7,0.2494,0.07,0.11,0.09,0.06,0.05,0.1,0.13
2.0,100.0,7,0.6817,0.17,17.94,3.72,1.88,0.98,0.45,
2.0,100.0,7,0.0169,0.81,0.81,0.81,0.82,0.82,0.83,0.85
2.0,100.0,7,0.3683,0.02,6.98,0.9,0.29,0.07,0.09,0.09
2.0,100.0,7,0.0542,0.01,0.31,0.01,0.14,0.26,0.34,0.43
2.0,100.0,7,0.6792,0.01,15.84,2.42,1.02,0.44,0.1,
2.0,100.0,7,0.0807,0.15,0.21,0.09,0.27,0.28,0.35,0.46
2.0,100.0,7,0.0462,0.42,0.41,0.42,0.43,0.44,0.48,0.52
2.0,100.0,7,0.1121,0.19,0.12,0.19,0.19,0.19,0.19,0.21
2.0,100.0,7,0.4555,0.03,7.89,1.69,0.62,0.17,0.03,0.06
2.0,100.0,7,0.042,0.33,0.33,0.33,0.33,0.38,0.48,0.56
2.0,100.0,7,0.3969,0.07,2.35,0.89,0.47,0.2,0.03,
2.0,100.0,7,0.0397,1.48,9.41,0.75,0.75,0.65,0.8,
2.0,100.0,7,0.2018,0.06,2.53,0.55,0.21,0.06,0.14,
2.0,100.0,7,0.0692,0.28,0.27,0.28,0.28,0.29,0.32,0.35
2.0,100.0,7,0.0504,0.41,0.41,0.41,0.41,0.42,0.44,0.46
2.0,100.0,7,0.0366,1.03,1.03,1.03,1.03,1.03,1.04,1.04
2.0,100.0,7,0.3238,0.01,8.32,1.36,0.44,0.1,0.05,
2.0,100.0,7,0.0224,0.77,0.77,0.77,0.77,0.77,0.78,0.79
2.0,100.0,7,0.0458,0.14,2.86,0.13,0.04,0.28,0.39,0.52
2.0,100.0,7,0.2199,0.26,15.98,2.28,0.88,0.32,,
2.0,100.0,7,0.0441,0.05,0.01,0.08,0.28,0.28,0.39,0.48
2.0,100.0,7,0.1322,0.01,0.12,0.06,0.02,0.03,0.19,0.26
2.0,100.0,7,0.317,0.07,16.66,2.34,0.83,0.25,,
2.0,100.0,7,0.4214,0.14,0.71,0.28,0.16,0.11,0.18,0.18
2.0,100.0,7,0.3228,0.76,16.87,2.29,0.86,0.27,,
2.0,100.0,7,0.2951,0.11,2.42,0.43,0.21,0.14,0.17,0.17
2.0,100.0,7,0.2895,0.09,13.95,2.0,0.75,0.22,,
2.0,100.0,7,0.3219,0.05,10.44,1.23,0.38,0.11,0.08,
2.0,100.0,7,0.0526,0.04,0.67,0.03,0.31,0.31,0.47,0.57
2.0,100.0,7,0.2567,0.13,6.08,1.28,0.53,0.19,,
2.0,100.0,7,0.0418,0.34,0.31,0.35,0.39,0.44,0.52,0.58
2.0,100.0,7,0.0418,0.37,0.37,0.37,0.37,0.42,0.52,0.62
2.0,100.0,7,0.098,0.35,0.31,0.33,0.36,0.39,0.44,0.49
2.0,100.0,7,0.1411,0.06,1.09,0.12,0.07,0.12,0.23,0.31
2.0,100.0,7,0.0894,0.02,0.76,0.07,0.01,0.03,0.21,0.29
2.0,100.0,15,0.1997,0.02,0.65,0.34,0.19,0.02,0.02,
2.0,100.0,15,0.5653,inf,4.1,1.64,0.9,0.4,,
2.0,100.0,15,0.2607,0.05,0.12,0.05,0.01,0.05,0.05,0.11
2.0,100.0,15,0.0712,0.3,0.29,0.3,0.3,0.32,0.34,0.37
2.0,100.0,15,0.0611,0.27,0.27,0.27,0.28,0.29,0.31,0.33
2.0,100.0,15,0.2488,0.07,0.19,0.09,0.02,0.07,0.07,0.13
2.0,100.0,15,0.2313,0.02,0.21,0.14,0.08,0.02,0.05,0.07
2.0,100.0,15,0.2212,0.01,0.11,0.05,0.0,0.01,0.02,0.07
2.0,100.0,15,0.212,0.04,0.53,0.21,0.14,0.05,0.05,0.07
2.0,100.0,15,0.1179,0.06,0.17,0.12,0.07,0.03,0.06,0.07
2.0,100.0,15,0.1704,0.1,0.1,0.1,0.1,0.11,0.15,0.2
2.0,100.0,15,0.3497,0.01,0.76,0.38,0.26,0.08,0.01,
2.0,100.0,15,0.1992,0.08,0.05,0.01,0.01,0.08,0.08,0.13
2.0,100.0,15,0.3231,0.02,0.33,0.23,0.15,0.04,0.02,0.03
2.0,100.0,15,0.3286,0.09,0.37,0.33,0.27,0.18,0.05,0.04
2.0,100.0,15,0.2215,0.1,1.27,0.57,0.29,0.13,0.0,
2.0,100.0,15,0.3045,0.22,1.02,0.48,0.4,0.28,0.21,0.21
2.0,100.0,15,0.0825,0.31,0.3,0.31,0.31,0.32,0.33,0.35
2.0,100.0,15,0.1278,0.11,0.11,0.11,0.11,0.11,0.15,0.19
2.0,100.0,15,0.4154,0.04,0.87,0.45,0.3,0.09,0.04,
2.0,100.0,15,0.3082,0.0,0.4,0.22,0.15,0.05,0.02,0.04
2.0,100.0,15,0.3989,0.03,2.22,0.51,0.19,0.05,0.03,
2.0,100.0,15,0.3893,0.02,0.26,0.17,0.08,0.0,0.02,0.06
2.0,100.0,15,0.1866,0.08,0.03,0.01,0.01,0.08,0.08,0.12
2.0,100.0,15,0.2183,0.07,0.35,0.18,0.06,0.07,0.09,
2.0,100.0,15,0.1645,0.0,0.77,0.16,0.07,0.01,0.08,0.14
2.0,100.0,15,0.2047,0.08,0.34,0.1,0.02,0.06,0.08,0.15
2.0,100.0,15,0.059,0.34,0.34,0.34,0.34,0.35,0.36,0.38
2.0,100.0,15,0.3364,0.03,0.47,0.27,0.2,0.1,0.03,0.04
2.0,100.0,15,0.3041,0.06,1.16,0.52,0.27,0.14,0.03,0.03
2.0,100.0,15,0.1739,0.09,0.15,0.02,0.06,0.09,0.12,0.18
2.0,100.0,15,0.2204,0.04,0.15,0.06,0.02,0.04,0.06,
2.0,100.0,15,0.1366,0.04,0.02,0.03,0.04,0.04,0.07,0.13
2.0,100.0,15,0.0762,0.28,0.27,0.28,0.29,0.3,0.33,0.35
2.0,100.0,15,0.1069,0.13,0.12,0.13,0.13,0.15,0.18,0.21
2.0,100.0,15,0.0862,0.21,0.2,0.21,0.21,0.23,0.26,0.29
2.0,100.0,15,0.2545,0.04,0.03,0.01,0.02,0.04,0.04,0.07
2.0,100.0,15,0.1138,0.1,0.1,0.1,0.1,0.1,0.12,0.16
2.0,100.0,15,0.0812,0.11,0.01,0.1,0.11,0.11,0.14,0.19
2.0,100.0,15,0.256,0.09,0.43,0.25,0.19,0.1,0.11,0.12
2.0,100.0,15,0.3274,0.05,0.12,0.05,0.01,0.05,0.05,0.09
2.0,100.0,15,0.0709,0.37,0.37,0.37,0.37,0.38,0.39,0.4
2.0,100.0,15,0.114,0.11,0.11,0.11,0.11,0.11,0.15,0.19
2.0,100.0,15,0.1113,0.02,0.18,0.07,0.02,0.12,0.14,0.22
2.0,100.0,15,0.2106,0.04,0.0,0.03,0.04,0.04,0.06,0.11
2.0,100.0,15,0.0757,0.28,0.27,0.28,0.28,0.3,0.32,0.36
2.0,100.0,15,0.2381,0.01,0.22,0.15,0.08,0.01,0.02,0.04
2.0,100.0,15,0.0438,0.37,0.37,0.37,0.37,0.38,0.39,0.41
2.0,100.0,15,0.2095,0.04,0.03,0.04,0.04,0.04,0.05,0.08
2.0,100.0,15,0.5404,inf,11.51,2.61,1.21,0.48,,
2.0,100.0,20,0.3426,0.02,0.96,0.45,0.3,0.07,0.02,
2.0,100.0,20,0.196,0.04,0.11,0.04,0.0,0.04,0.04,0.08
2.0,100.0,20,0.0928,0.08,0.08,0.08,0.08,0.08,0.12,0.16
2.0,100.0,20,0.0756,0.23,0.22,0.23,0.24,0.25,0.27,0.3
2.0,100.0,20,0.1427,0.02,0.01,0.01,0.02,0.02,0.03,0.07
2.0,100.0,20,0.223,0.05,2.69,0.76,0.45,0.07,0.06,
2.0,100.0,20,0.1352,0.04,0.01,0.04,0.04,0.04,0.07,0.11
2.0,100.0,20,0.1085,0.09,0.07,0.09,0.09,0.09,0.11,0.17
2.0,100.0,20,0.2404,0.02,0.28,0.14,0.03,0.02,0.03,
2.0,100.0,20,0.2485,0.0,0.38,0.28,0.17,0.03,0.0,0.03
2.0,100.0,20,0.0395,0.25,0.24,0.25,0.26,0.27,0.3,0.32
2.0,100.0,20,0.5976,inf,2.94,1.26,0.71,0.27,0.11,
2.0,100.0,20,0.2157,0.02,0.16,0.1,0.05,0.01,0.02,0.04
2.0,100.0,20,0.1306,0.06,0.33,0.17,0.09,0.06,0.08,0.11
2.0,100.0,20,0.116,0.06,0.01,0.06,0.06,0.06,0.09,0.14
2.0,100.0,20,0.6091,0.09,5.45,1.54,0.74,0.3,0.03,
2.0,100.0,20,0.083,0.08,0.08,0.08,0.08,0.09,0.12,0.15
2.0,100.0,20,0.0751,0.27,0.26,0.26,0.27,0.28,0.3,0.33
2.0,100.0,20,0.1868,0.03,0.03,0.03,0.03,0.03,0.05,0.09
2.0,100.0,20,0.06,0.19,0.17,0.18,0.2,0.22,0.27,0.31
2.0,100.0,20,0.4359,0.02,0.49,0.37,0.29,0.15,0.02,
2.0,100.0,20,0.0546,0.2,0.19,0.2,0.2,0.21,0.24,0.27
2.0,100.0,20,0.1702,0.03,0.18,0.06,0.01,0.03,0.04,0.09
2.0,100.0,20,0.4743,0.03,4.71,1.55,0.77,0.33,0.03,
2.0,100.0,20,0.4597,0.02,9.02,1.96,0.9,0.34,0.02,
2.0,100.0,20,0.1915,0.01,0.24,0.15,0.07,0.01,0.04,0.07
2.0,100.0,20,0.4165,0.02,0.79,0.38,0.23,0.03,0.02,
2.0,100.0,20,0.2148,0.01,0.03,0.01,0.01,0.01,0.02,
2.0,100.0,20,0.4257,0.0,3.01,1.02,0.53,0.25,0.0,
2.0,100.0,20,0.1039,0.08,0.08,0.08,0.08,0.09,0.13,0.19
2.0,100.0,20,0.0904,0.04,0.03,0.03,0.04,0.05,0.07,0.11
