beta,n,delta,mean_mse,std_mse,n_valid
2.0,5,0.001,14.52,23.2,20
2.0,5,0.051,0.41,0.37,20
2.0,5,0.101,0.26,0.22,20
2.0,5,0.151,0.25,0.21,20
2.0,5,0.201,0.27,0.21,20
2.0,5,0.251,0.28,0.21,20
2.0,5,0.301,0.29,0.21,20
2.0,5,0.351,0.31,0.2,20
2.0,5,0.401,0.33,0.2,20
2.0,5,0.451,0.33,0.19,20
2.0,5,0.501,0.33,0.2,19
2.0,5,0.551,0.34,0.2,19
2.0,5,0.601,0.35,0.2,19
2.0,5,0.651,0.35,0.2,19
2.0,5,0.701,0.36,0.2,19
2.0,5,0.751,0.36,0.21,19
2.0,5,0.801,0.36,0.21,19
2.0,5,0.851,0.38,0.21,18
2.0,5,0.901,0.38,0.21,18
2.0,5,0.951,0.39,0.21,18
2.0,5,1.001,0.39,0.21,18
2.0,7,0.001,28.77,36.89,20
2.0,7,0.051,0.91,1.02,20
2.0,7,0.101,0.47,0.48,20
2.0,7,0.151,0.35,0.31,20
2.0,7,0.201,0.3,0.25,20
2.0,7,0.251,0.28,0.23,20
2.0,7,0.301,0.27,0.22,20
2.0,7,0.351,0.27,0.21,19
2.0,7,0.401,0.27,0.21,19
2.0,7,0.451,0.28,0.2,19
2.0,7,0.501,0.29,0.22,18
2.0,7,0.551,0.28,0.22,18
2.0,7,0.601,0.27,0.23,17
2.0,7,0.651,0.27,0.23,17
2.0,7,0.701,0.26,0.24,17
2.0,7,0.751,0.29,0.24,16
2.0,7,0.801,0.3,0.24,15
2.0,7,0.851,0.35,0.23,13
2.0,7,0.901,0.35,0.24,13
2.0,7,0.951,0.38,0.23,12
2.0,7,1.001,0.39,0.23,12
2.0,10,0.001,3.58,11.03,20
2.0,10,0.051,0.39,0.54,20
2.0,10,0.101,0.27,0.25,20
2.0,10,0.151,0.23,0.17,20
2.0,10,0.201,0.21,0.14,20
2.0,10,0.251,0.2,0.14,20
2.0,10,0.301,0.19,0.15,20
2.0,10,0.351,0.19,0.15,20
2.0,10,0.401,0.2,0.15,20
2.0,10,0.451,0.2,0.15,20
2.0,10,0.501,0.21,0.15,20
2.0,10,0.551,0.22,0.16,19
2.0,10,0.601,0.23,0.16,19
2.0,10,0.651,0.23,0.16,19
2.0,10,0.701,0.24,0.16,19
2.0,10,0.751,0.25,0.16,18
2.0,10,0.801,0.25,0.16,18
2.0,10,0.851,0.27,0.16,16
2.0,10,0.901,0.28,0.16,16
2.0,10,0.951,0.29,0.15,16
2.0,10,1.001,0.32,0.14,14
2.0,15,0.001,0.87,1.56,20
2.0,15,0.051,0.31,0.34,20
2.0,15,0.101,0.21,0.2,20
2.0,15,0.151,0.16,0.14,20
2.0,15,0.201,0.13,0.12,20
2.0,15,0.251,0.11,0.11,20
2.0,15,0.301,0.1,0.1,20
2.0,15,0.351,0.1,0.1,20
2.0,15,0.401,0.1,0.1,20
2.0,15,0.451,0.1,0.11,20
2.0,15,0.501,0.11,0.11,19
2.0,15,0.551,0.11,0.11,19
2.0,15,0.601,0.11,0.11,19
2.0,15,0.651,0.11,0.11,19
2.0,15,0.701,0.12,0.11,19
2.0,15,0.751,0.13,0.11,18
2.0,15,0.801,0.13,0.11,18
2.0,15,0.851,0.15,0.11,15
2.0,15,0.901,0.15,0.11,15
2.0,15,0.951,0.16,0.11,15
2.0,15,1.001,0.16,0.11,15
2.0,20,0.001,1.58,3.81,20
2.0,20,0.051,0.3,0.4,20
2.0,20,0.101,0.19,0.21,20
2.0,20,0.151,0.15,0.13,20
2.0,20,0.201,0.11,0.1,20
2.0,20,0.251,0.1,0.09,20
2.0,20,0.301,0.1,0.09,20
2.0,20,0.351,0.1,0.09,20
2.0,20,0.401,0.1,0.09,20
2.0,20,0.451,0.1,0.1,20
2.0,20,0.501,0.11,0.1,20
2.0,20,0.551,0.11,0.1,19
2.0,20,0.601,0.11,0.1,19
2.0,20,0.651,0.12,0.1,18
2.0,20,0.701,0.13,0.1,18
2.0,20,0.751,0.13,0.1,18
2.0,20,0.801,0.13,0.1,18
2.0,20,0.851,0.14,0.1,17
2.0,20,0.901,0.14,0.1,17
2.0,20,0.951,0.15,0.1,16
2.0,20,1.001,0.16,0.1,15
