epoch,train_loss,val_loss,lr
1,0.12167911,0.09916503,0.001
2,0.09564354,0.09400574,0.001
3,0.09424388,0.10194542,0.001
4,0.09294433,0.09295613,0.001
5,0.09190081,0.0948251,0.001
6,0.09160978,0.09210325,0.001
7,0.09024374,0.09181522,0.001
8,0.08983323,0.08961094,0.001
9,0.08932848,0.09128751,0.001
10,0.0887958,0.08868533,0.001
11,0.08816354,0.0883094,0.001
12,0.0874576,0.08788115,0.001
13,0.08793144,0.08600608,0.001
14,0.08738348,0.0857548,0.001
15,0.086918,0.08913889,0.001
16,0.08682882,0.08757398,0.001
17,0.08667258,0.08713227,0.001
18,0.08622434,0.08594387,0.001
19,0.08610563,0.0912671,0.001
20,0.08590352,0.08774674,0.001
21,0.08588856,0.08616719,0.001
22,0.08580443,0.08615888,0.001
23,0.08558672,0.08677709,0.001
24,0.08528308,0.08983356,0.001
25,0.08523133,0.08678584,0.001
26,0.08324892,0.08502791,0.0005
27,0.0828728,0.08460411,0.0005
28,0.08264937,0.08451673,0.0005
29,0.0826965,0.08466496,0.0005
30,0.08263469,0.08503978,0.0005
31,0.08248396,0.08663437,0.0005
32,0.0825368,0.08418163,0.0005
33,0.08215363,0.08537964,0.0005
34,0.08220277,0.08456458,0.0005
35,0.08218493,0.08469428,0.0005
36,0.08201141,0.08445161,0.0005
37,0.08209428,0.08521884,0.0005
38,0.08194267,0.08499805,0.0005
39,0.08184488,0.08541033,0.0005
40,0.08179401,0.08400059,0.0005
41,0.08192608,0.08391509,0.0005
42,0.08170028,0.08442436,0.0005
43,0.08184892,0.0846164,0.0005
44,0.08170193,0.08529545,0.0005
45,0.08151113,0.08529051,0.0005
46,0.08142059,0.08426345,0.0005
47,0.0814547,0.08597718,0.0005
48,0.08139257,0.08456296,0.0005
49,0.08135814,0.08434181,0.0005
50,0.08139271,0.08424643,0.0005
51,0.08125572,0.08467633,0.0005
52,0.08106112,0.08490463,0.0005
53,0.07990404,0.0838467,0.00025
54,0.07984552,0.08447069,0.00025
55,0.07965517,0.08378004,0.00025
56,0.07960804,0.08408994,0.00025
57,0.07955977,0.08394079,0.00025
58,0.07953378,0.08413393,0.00025
59,0.07952442,0.08411991,0.00025
60,0.07953343,0.08466182,0.00025
61,0.07931735,0.08538084,0.00025
62,0.07934755,0.08437359,0.00025
63,0.07937219,0.08406925,0.00025
64,0.07924399,0.08396876,0.00025
65,0.07915497,0.0840993,0.00025
66,0.07928315,0.08463213,0.00025
67,0.07844911,0.08378419,0.000125
68,0.07839013,0.084035,0.000125
69,0.07834127,0.08383516,0.000125
70,0.07825623,0.0841726,0.000125
71,0.07827579,0.08393868,0.000125
72,0.07821973,0.0842027,0.000125
73,0.07817796,0.08397901,0.000125
74,0.07814146,0.08401352,0.000125
75,0.07817969,0.08400358,0.000125
76,0.07807368,0.08417671,0.000125
77,0.07806005,0.08418725,0.000125
78,0.07770019,0.08392701,6.25e-05
79,0.07763625,0.08394723,6.25e-05
80,0.07759597,0.08413561,6.25e-05
81,0.0775841,0.08402451,6.25e-05
82,0.07758231,0.08412941,6.25e-05
83,0.07753963,0.08399575,6.25e-05
84,0.07752788,0.0841076,6.25e-05
85,0.07752558,0.08402303,6.25e-05
