epoch,train_loss,val_loss,lr
1,0.19196718,0.08769152,0.001
2,0.08299493,0.08121701,0.001
3,0.07958092,0.08060283,0.001
4,0.07664485,0.07865515,0.001
5,0.0763171,0.07847845,0.001
6,0.07507156,0.08131083,0.001
7,0.07432122,0.07683737,0.001
8,0.07404748,0.07625368,0.001
9,0.07312048,0.0799963,0.001
10,0.07408113,0.07579272,0.001
11,0.07320416,0.07832171,0.001
12,0.07279708,0.07626253,0.001
13,0.07215313,0.07542703,0.001
14,0.07308697,0.07512453,0.001
15,0.07209749,0.07609618,0.001
16,0.07166615,0.07535642,0.001
17,0.07126276,0.07611106,0.001
18,0.07116393,0.07693632,0.001
19,0.0714434,0.07623408,0.001
20,0.07140342,0.07753932,0.001
21,0.07109026,0.07663173,0.001
22,0.07019922,0.07428401,0.001
23,0.07010155,0.07482015,0.001
24,0.07105791,0.07598752,0.001
25,0.07020219,0.07523778,0.001
26,0.07029366,0.08077939,0.001
27,0.06998704,0.07458357,0.001
28,0.06957132,0.07572313,0.001
29,0.0701907,0.07492484,0.001
30,0.06928729,0.07566224,0.001
31,0.06963703,0.07563083,0.001
32,0.06975146,0.07435334,0.001
33,0.06954078,0.07386114,0.001
34,0.06881069,0.07452641,0.001
35,0.06855883,0.07438148,0.001
36,0.06962493,0.07495541,0.001
37,0.06901317,0.07526184,0.001
38,0.06877325,0.07401283,0.001
39,0.06861586,0.07426834,0.001
40,0.06828713,0.07696064,0.001
41,0.06817281,0.0775729,0.001
42,0.06752304,0.07464202,0.001
43,0.0676811,0.07520473,0.001
44,0.0673698,0.07522052,0.001
45,0.06595458,0.07420217,0.0005
46,0.06551266,0.07413923,0.0005
47,0.06583658,0.07432406,0.0005
48,0.06575772,0.07452948,0.0005
49,0.065375,0.07398985,0.0005
50,0.06538893,0.07365949,0.0005
51,0.06511999,0.07508922,0.0005
52,0.06531193,0.07372782,0.0005
53,0.06493728,0.0750511,0.0005
54,0.06482702,0.07523293,0.0005
55,0.06530826,0.07427016,0.0005
56,0.06500287,0.07376784,0.0005
57,0.06498884,0.07511445,0.0005
58,0.06499493,0.0745674,0.0005
59,0.06494291,0.0741903,0.0005
60,0.06440217,0.07437668,0.0005
61,0.0645994,0.0738994,0.0005
62,0.06354808,0.07353834,0.00025
63,0.06336072,0.07417427,0.00025
64,0.06360545,0.07497145,0.00025
65,0.0633482,0.07377085,0.00025
66,0.06329285,0.07350119,0.00025
67,0.06315985,0.07392662,0.00025
68,0.06320553,0.07400605,0.00025
69,0.06316921,0.07470793,0.00025
70,0.06308472,0.07414441,0.00025
71,0.06301476,0.07399426,0.00025
72,0.06289422,0.07337098,0.00025
73,0.06272016,0.07390254,0.00025
74,0.06302599,0.07476374,0.00025
75,0.06277675,0.07470177,0.00025
76,0.06285585,0.07392618,0.00025
77,0.06260673,0.07437076,0.00025
78,0.06253387,0.07448204,0.00025
79,0.06246345,0.07376489,0.00025
80,0.06247209,0.07398456,0.00025
81,0.06231513,0.07448059,0.00025
82,0.06267025,0.07411655,0.00025
83,0.06245699,0.07583532,0.00025
84,0.06187543,0.07372262,0.000125
85,0.06181222,0.07380457,0.000125
86,0.06165701,0.07377523,0.000125
87,0.06167056,0.07393536,0.000125
88,0.06159989,0.07461893,0.000125
89,0.06170825,0.07393836,0.000125
90,0.06157835,0.07400331,0.000125
91,0.06167376,0.07379382,0.000125
92,0.06164891,0.07384265,0.000125
93,0.06149492,0.07459948,0.000125
94,0.06152783,0.0737308,0.000125
95,0.06110993,0.07367427,6.25e-05
96,0.06116534,0.07372773,6.25e-05
97,0.0610797,0.0741814,6.25e-05
98,0.0611562,0.07373356,6.25e-05
99,0.06102677,0.07382021,6.25e-05
100,0.06107094,0.07392197,6.25e-05
101,0.06108707,0.07369799,6.25e-05
102,0.06095974,0.07385929,6.25e-05
103,0.06107436,0.07374626,6.25e-05
104,0.06095059,0.07394744,6.25e-05
105,0.06098034,0.07417821,6.25e-05
106,0.06080972,0.07378112,3.125e-05
107,0.06077802,0.07392509,3.125e-05
108,0.06077482,0.07384486,3.125e-05
109,0.06077369,0.07383088,3.125e-05
110,0.06079016,0.07376628,3.125e-05
111,0.06075147,0.0738153,3.125e-05
112,0.06069176,0.07382895,3.125e-05
113,0.06071352,0.07389348,3.125e-05
114,0.06074502,0.07383555,3.125e-05
115,0.06074289,0.07379521,3.125e-05
116,0.06068722,0.07384058,3.125e-05
117,0.06062628,0.07381387,1.5625e-05
118,0.06060156,0.0739013,1.5625e-05
119,0.06061451,0.07382575,1.5625e-05
120,0.0605938,0.0739491,1.5625e-05
121,0.06062107,0.07383335,1.5625e-05
122,0.06058686,0.07389517,1.5625e-05
