n,delta,mean_mse,median_mse,std_mse,no_solution
5,0.05,0.7584,0.4521,0.8234,10
5,0.1,0.572,0.3412,0.6891,0
5,0.15,0.5377,0.3102,0.6543,0
5,0.2,0.5188,0.2987,0.6234,0
5,0.3,0.5311,0.3056,0.6412,10
5,0.5,0.5857,0.3345,0.7023,30
5,0.7,0.6559,0.3789,0.7891,65
5,1.0,0.7371,0.4234,0.8567,100
7,0.05,0.6173,0.3678,0.7123,10
7,0.1,0.4316,0.2567,0.5234,0
7,0.15,0.3763,0.2189,0.4567,0
7,0.2,0.351,0.2034,0.4234,0
7,0.3,0.3574,0.2089,0.4312,5
7,0.5,0.3982,0.2345,0.4789,25
7,0.7,0.4523,0.2678,0.5345,60
7,1.0,0.5317,0.3123,0.6234,110
10,0.05,0.5071,0.2987,0.5891,5
10,0.1,0.3255,0.1823,0.3912,0
10,0.15,0.2599,0.1456,0.3123,0
10,0.2,0.2395,0.1334,0.2867,0
10,0.3,0.2268,0.1267,0.2712,0
10,0.5,0.2505,0.1389,0.2978,20
10,0.7,0.2927,0.1623,0.3456,50
10,1.0,0.3624,0.2012,0.4234,125
15,0.05,0.3677,0.2178,0.4234,0
15,0.1,0.224,0.1289,0.2634,0
15,0.15,0.179,0.1012,0.2123,0
15,0.2,0.1613,0.0912,0.1923,0
15,0.3,0.154,0.0878,0.1834,0
15,0.5,0.1681,0.0956,0.1989,10
15,0.7,0.1971,0.1123,0.2312,30
15,1.0,0.249,0.1423,0.2891,90
20,0.05,0.2956,0.1756,0.3412,0
20,0.1,0.18,0.1034,0.2123,0
20,0.15,0.1403,0.0812,0.1678,0
20,0.2,0.1229,0.0712,0.1467,0
20,0.3,0.1121,0.0645,0.1334,0
20,0.5,0.1191,0.0689,0.1412,5
20,0.7,0.1389,0.0812,0.1645,30
20,1.0,0.1758,0.1034,0.2067,80
