beta,eta,n,final_delta,steps,converged
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.989099,3,True
1.0,100.0,5,0.950675,6,True
1.0,100.0,5,0.345051,3,True
1.0,100.0,5,0.004498,2,True
1.0,100.0,5,0.85729,3,True
1.0,100.0,5,0.895783,2,True
1.0,100.0,5,0.88257,3,True
1.0,100.0,5,0.994486,3,True
1.0,100.0,5,0.5,0,False
1.0,100.0,5,0.379288,10,False
1.0,100.0,5,0.158699,3,True
1.0,100.0,5,1.0,2,False
1.0,100.0,5,0.998775,10,False
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.441785,4,True
1.0,100.0,5,0.999986,10,False
1.0,100.0,5,0.477818,10,False
1.0,100.0,5,0.992322,3,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.903571,2,True
1.0,100.0,5,0.324001,2,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.999646,1,False
1.0,100.0,5,1.0,10,False
1.0,100.0,5,0.279422,4,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,1.0,10,False
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.681914,3,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.987747,3,True
1.0,100.0,5,1.0,10,False
1.0,100.0,5,1.0,2,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,1.0,10,False
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.165328,10,False
1.0,100.0,5,0.00174,10,False
1.0,100.0,5,0.807414,10,False
1.0,100.0,5,1.0,10,False
1.0,100.0,5,1.0,2,False
1.0,100.0,5,0.999834,2,True
1.0,100.0,5,0.953828,1,False
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.99777,3,True
1.0,100.0,5,0.001,2,True
1.0,100.0,5,0.51671,10,False
1.0,100.0,5,0.412482,4,True
1.0,100.0,7,0.01394,10,False
1.0,100.0,7,0.999993,10,False
1.0,100.0,7,1.0,10,False
1.0,100.0,7,0.013118,2,True
1.0,100.0,7,0.89585,2,True
1.0,100.0,7,0.001708,2,True
1.0,100.0,7,1.0,10,False
1.0,100.0,7,0.105711,4,True
1.0,100.0,7,0.985962,2,True
1.0,100.0,7,0.981042,3,True
1.0,100.0,7,0.001,2,True
1.0,100.0,7,0.99834,2,True
1.0,100.0,7,0.922689,4,True
1.0,100.0,7,0.718847,3,True
1.0,100.0,7,0.360842,9,True
1.0,100.0,7,0.517937,2,True
1.0,100.0,7,1.0,10,False
1.0,100.0,7,0.5,0,False
1.0,100.0,7,0.984518,3,True
1.0,100.0,7,0.861777,10,False
1.0,100.0,7,0.775544,6,True
1.0,100.0,7,0.4116,10,False
1.0,100.0,7,0.514847,10,False
1.0,100.0,7,0.001,2,True
1.0,100.0,7,0.001038,2,True
1.0,100.0,7,0.007429,2,True
1.0,100.0,7,1.0,10,False
1.0,100.0,7,0.149404,10,False
1.0,100.0,7,0.966753,3,True
1.0,100.0,7,0.906983,10,False
1.0,100.0,7,0.385407,3,True
1.0,100.0,7,0.336144,10,False
1.0,100.0,7,1.0,1,False
1.0,100.0,7,0.999988,10,False
1.0,100.0,7,0.001091,2,True
1.0,100.0,7,0.895789,4,True
1.0,100.0,7,0.024307,3,True
1.0,100.0,7,0.984666,3,True
1.0,100.0,7,0.037689,3,True
1.0,100.0,7,0.785672,8,True
1.0,100.0,7,0.493088,2,True
1.0,100.0,7,0.99333,2,True
1.0,100.0,7,0.870664,4,True
1.0,100.0,7,0.99256,1,False
1.0,100.0,7,0.975712,10,False
1.0,100.0,7,0.001001,2,True
1.0,100.0,7,0.001007,2,True
1.0,100.0,7,0.35642,10,False
