n,beta,eta,gamma,seed,mse,step,delta,est_beta,est_eta,est_gamma
5,1.0,100.0,1000,11601,0.333412,0,0.5,0.4201,98.3373,1010.103
5,1.0,100.0,1000,11601,0.333412,1,0.004681,0.4229,98.4138,1010.0676
5,1.0,100.0,1000,11601,0.333412,2,0.004747,,,
5,1.0,100.0,1000,11604,0.166216,0,0.5,0.6179,93.6827,998.85
5,1.0,100.0,1000,11604,0.166216,1,0.908773,0.598,92.8334,999.3354
5,1.0,100.0,1000,11604,0.166216,2,0.894986,0.5986,92.8585,999.321
5,1.0,100.0,1000,11604,0.166216,3,0.895303,,,
5,1.0,100.0,1000,11605,0.173901,0,0.5,1.2788,68.4758,993.7773
5,1.0,100.0,1000,11605,0.173901,1,0.989492,1.2488,66.5353,995.0579
5,1.0,100.0,1000,11605,0.173901,2,0.979077,1.2511,66.7077,994.9489
5,1.0,100.0,1000,11605,0.173901,3,0.980267,1.2508,66.6879,994.9615
5,1.0,100.0,1000,11605,0.173901,4,0.980133,,,
5,1.0,100.0,1000,11607,0.361585,0,0.5,0.4366,79.5038,999.2075
5,1.0,100.0,1000,11607,0.361585,1,0.916595,0.4351,79.3832,999.2272
5,1.0,100.0,1000,11607,0.361585,2,0.916302,,,
5,1.0,100.0,1000,11609,0.789127,0,0.5,0.5757,21.2911,1014.9528
5,1.0,100.0,1000,11609,0.789127,1,0.001191,0.585,21.4713,1014.8929
5,1.0,100.0,1000,11609,0.789127,2,0.001196,,,
5,1.0,100.0,1000,11610,0.109246,0,0.5,0.884,61.5157,1011.9763
5,1.0,100.0,1000,11610,0.109246,1,0.001824,1.0467,67.2882,1007.7523
5,1.0,100.0,1000,11610,0.109246,2,0.008899,1.0467,67.2882,1007.7523
5,1.0,100.0,1000,11610,0.109246,3,0.008899,,,
5,1.0,100.0,1000,11611,0.913048,0,0.5,0.6163,11.9099,1005.3914
5,1.0,100.0,1000,11611,0.913048,1,0.048989,0.6276,12.0019,1005.35
5,1.0,100.0,1000,11611,0.913048,2,0.049563,,,
5,1.0,100.0,1000,11613,0.017153,0,0.5,0.8486,91.8374,1004.6616
5,1.0,100.0,1000,11613,0.017153,1,0.05984,0.8851,93.7266,1003.3855
5,1.0,100.0,1000,11613,0.017153,2,0.121375,0.8851,93.7266,1003.3855
5,1.0,100.0,1000,11613,0.017153,3,0.121375,,,
5,1.0,100.0,1000,11614,0.23731,0,0.5,0.7352,141.1771,999.201
5,1.0,100.0,1000,11614,0.23731,1,0.882177,0.7172,139.635,1000.0935
5,1.0,100.0,1000,11614,0.23731,2,0.828856,0.7194,139.8302,999.9826
5,1.0,100.0,1000,11614,0.23731,3,0.842746,0.7188,139.7795,1000.0115
5,1.0,100.0,1000,11614,0.23731,4,0.83974,0.719,139.7904,1000.0052
5,1.0,100.0,1000,11614,0.23731,5,0.840394,,,
5,1.0,100.0,1000,11618,0.012037,0,0.5,0.9361,90.4117,1002.9202
5,1.0,100.0,1000,11618,0.012037,1,0.149888,0.9423,90.6725,1002.7107
5,1.0,100.0,1000,11618,0.012037,2,0.168174,0.9423,90.6725,1002.7107
5,1.0,100.0,1000,11618,0.012037,3,0.168174,,,
5,1.0,100.0,1000,11622,0.092126,0,0.5,0.7769,117.6383,995.4827
5,1.0,100.0,1000,11622,0.092126,1,0.982711,0.7362,115.1707,997.1263
5,1.0,100.0,1000,11622,0.092126,2,0.958188,0.7378,115.2715,997.0627
5,1.0,100.0,1000,11622,0.092126,3,0.959871,0.7377,115.2646,997.0671
5,1.0,100.0,1000,11622,0.092126,4,0.959757,,,
5,1.0,100.0,1000,11623,0.208271,0,0.5,0.8913,53.1297,1005.8349
5,1.0,100.0,1000,11623,0.208271,1,0.027904,0.9432,54.8693,1004.6557
5,1.0,100.0,1000,11623,0.208271,2,0.05301,0.9396,54.7511,1004.738
5,1.0,100.0,1000,11623,0.208271,3,0.050669,0.94,54.7621,1004.7303
5,1.0,100.0,1000,11623,0.208271,4,0.050883,,,
5,1.0,100.0,1000,11625,0.110143,0,0.5,0.7849,69.9447,1015.4477
5,1.0,100.0,1000,11625,0.110143,1,0.001122,0.823,71.9632,1014.3047
5,1.0,100.0,1000,11625,0.110143,2,0.001228,,,
5,1.0,100.0,1000,11627,0.434043,0,0.5,0.909,39.5351,998.2994
5,1.0,100.0,1000,11627,0.434043,1,0.899585,0.79,36.8952,999.9429
5,1.0,100.0,1000,11627,0.434043,2,0.823295,0.8061,37.2449,999.7376
5,1.0,100.0,1000,11627,0.434043,3,0.845837,0.8012,37.1389,999.8004
5,1.0,100.0,1000,11627,0.434043,4,0.839704,0.8025,37.167,999.7838
5,1.0,100.0,1000,11627,0.434043,5,0.841343,0.8021,37.1594,999.7882
5,1.0,100.0,1000,11627,0.434043,6,0.840906,,,
5,1.0,100.0,1000,11628,0.458668,0,0.5,0.5844,47.0437,999.3553
5,1.0,100.0,1000,11628,0.458668,1,0.895568,0.5803,46.8445,999.4172
5,1.0,100.0,1000,11628,0.458668,2,0.89439,0.5803,46.845,999.417
5,1.0,100.0,1000,11628,0.458668,3,0.894393,,,
5,1.0,100.0,1000,11630,0.813671,0,0.5,0.3903,33.4709,1004.9093
5,1.0,100.0,1000,11630,0.813671,1,0.087423,0.3907,33.487,1004.9075
5,1.0,100.0,1000,11630,0.813671,2,0.087472,,,
5,1.0,100.0,1000,11632,0.249515,0,0.5,0.5325,82.1907,1001.9435
5,1.0,100.0,1000,11632,0.249515,1,0.420199,0.533,82.2709,1001.9271
5,1.0,100.0,1000,11632,0.249515,2,0.423535,0.533,82.2676,1001.9278
5,1.0,100.0,1000,11632,0.249515,3,0.423396,,,
5,1.0,100.0,1000,11633,0.536306,0,0.5,0.6563,34.6033,1003.4708
5,1.0,100.0,1000,11633,0.536306,1,0.149181,0.6649,34.9086,1003.3521
5,1.0,100.0,1000,11633,0.536306,2,0.158139,0.6646,34.8988,1003.356
5,1.0,100.0,1000,11633,0.536306,3,0.157837,,,
5,1.0,100.0,1000,11634,0.497702,0,0.5,0.3336,123.4565,1008.4723
5,1.0,100.0,1000,11634,0.497702,1,0.011806,0.3346,123.4232,1008.4651
5,1.0,100.0,1000,11634,0.497702,2,0.01184,,,
5,1.0,100.0,1000,11635,0.171155,0,0.5,0.8714,53.5858,1008.7528
5,1.0,100.0,1000,11635,0.171155,1,0.006182,1.0903,59.6287,1004.0579
5,1.0,100.0,1000,11635,0.171155,2,0.06399,1.0903,59.6287,1004.0579
5,1.0,100.0,1000,11635,0.171155,3,0.06399,,,
5,1.0,100.0,1000,11637,0.118743,0,0.5,0.7634,91.0866,993.475
5,1.0,100.0,1000,11637,0.118743,1,0.994513,0.6771,87.4856,995.8308
5,1.0,100.0,1000,11637,0.118743,2,0.980975,0.6787,87.5475,995.7903
5,1.0,100.0,1000,11637,0.118743,3,0.981372,,,
5,1.0,100.0,1000,11640,0.819583,0,0.5,0.5683,19.9577,1007.0677
5,1.0,100.0,1000,11640,0.819583,1,0.019272,0.5753,20.0523,1007.0298
5,1.0,100.0,1000,11640,0.819583,2,0.019544,,,
5,1.0,100.0,1000,11642,0.270656,0,0.5,0.7698,146.654,994.8855
5,1.0,100.0,1000,11642,0.270656,1,0.987636,0.7698,146.654,994.8855
5,1.0,100.0,1000,11642,0.270656,2,0.987636,,,
5,1.0,100.0,1000,11643,0.116233,0,0.5,0.7188,92.1239,996.4074
5,1.0,100.0,1000,11643,0.116233,1,0.972737,0.6739,89.1459,997.7859
5,1.0,100.0,1000,11643,0.116233,2,0.93853,0.6765,89.3126,997.7116
5,1.0,100.0,1000,11643,0.116233,3,0.941044,0.6763,89.2996,997.7174
5,1.0,100.0,1000,11643,0.116233,4,0.940852,,,
5,1.0,100.0,1000,11644,0.063379,0,0.5,0.7583,105.1748,1000.4712
5,1.0,100.0,1000,11644,0.063379,1,0.723465,0.7498,104.4241,1000.8427
5,1.0,100.0,1000,11644,0.063379,2,0.607914,0.7541,104.8042,1000.6561
5,1.0,100.0,1000,11644,0.063379,3,0.667033,0.7519,104.6078,1000.7529
5,1.0,100.0,1000,11644,0.063379,4,0.636888,0.753,104.7081,1000.7035
5,1.0,100.0,1000,11644,0.063379,5,0.652411,0.7524,104.6565,1000.729
5,1.0,100.0,1000,11644,0.063379,6,0.644456,0.7527,104.683,1000.7159
5,1.0,100.0,1000,11644,0.063379,7,0.648543,0.7526,104.6694,1000.7226
5,1.0,100.0,1000,11644,0.063379,8,0.646446,0.7527,104.6764,1000.7192
5,1.0,100.0,1000,11644,0.063379,9,0.647523,0.7526,104.6728,1000.721
5,1.0,100.0,1000,11644,0.063379,10,0.64697,,,
5,1.0,100.0,1000,11646,0.083438,0,0.5,1.1657,76.3601,993.7092
5,1.0,100.0,1000,11646,0.083438,1,0.990889,1.1599,75.9497,993.9716
5,1.0,100.0,1000,11646,0.083438,2,0.989497,1.1602,75.969,993.9594
5,1.0,100.0,1000,11646,0.083438,3,0.989566,,,
5,1.0,100.0,1000,11647,0.240839,0,0.5,0.5493,120.8788,1015.6509
5,1.0,100.0,1000,11647,0.240839,1,0.001136,0.5614,121.9542,1015.2773
5,1.0,100.0,1000,11647,0.240839,2,0.001167,,,
5,1.0,100.0,1000,11648,0.180716,0,0.5,0.5975,80.5869,1010.2771
5,1.0,100.0,1000,11648,0.180716,1,0.003789,0.616,81.7814,1009.8146
5,1.0,100.0,1000,11648,0.180716,2,0.004568,,,
5,1.0,1000.0,1000,12500,0.41658,0,0.5,0.3894,789.0051,1006.4428
5,1.0,1000.0,1000,12500,0.41658,1,0.04787,0.3899,789.6054,1006.3893
5,1.0,1000.0,1000,12500,0.41658,2,0.049398,0.3899,789.6033,1006.3895
5,1.0,1000.0,1000,12500,0.41658,3,0.049393,,,
5,1.0,1000.0,1000,12523,0.504426,0,0.5,0.5402,458.77,1007.961
5,1.0,1000.0,1000,12523,0.504426,1,0.014666,0.5402,458.77,1007.961
5,1.0,1000.0,1000,12523,0.504426,2,0.014666,,,
5,1.0,5000.0,1000,16506,0.961318,0,0.5,0.6958,9455.1989,1103.65
5,1.0,5000.0,1000,16506,0.961318,1,0.001,0.7138,9689.0262,1017.967
5,1.0,5000.0,1000,16506,0.961318,2,0.003466,0.7137,9687.7673,1018.4561
5,1.0,5000.0,1000,16506,0.961318,3,0.002814,,,
5,1.0,5000.0,1000,16545,0.136028,0,0.5,0.8865,3225.8903,1750.7087
5,1.0,5000.0,1000,16545,0.136028,1,0.001,1.3374,4259.5842,1016.5292
5,1.0,5000.0,1000,16545,0.136028,2,0.001208,,,
5,2.0,100.0,1000,12610,0.298334,0,0.5,1.0981,69.1827,1004.5775
5,2.0,100.0,1000,12610,0.298334,1,0.046679,1.0981,69.1827,1004.5775
5,2.0,100.0,1000,12610,0.298334,2,0.046679,,,
5,2.0,100.0,1000,12620,0.02227,0,0.5,1.2989,62.0693,1036.9887
5,2.0,100.0,1000,12620,0.02227,1,0.001,2.3042,96.4619,1006.5902
5,2.0,100.0,1000,12620,0.02227,2,0.006786,2.2752,95.4991,1007.4982
5,2.0,100.0,1000,12620,0.02227,3,0.004544,2.2865,95.8724,1007.1463
5,2.0,100.0,1000,12620,0.02227,4,0.005286,,,
5,2.0,100.0,1000,12641,0.611045,0,0.5,0.6721,54.5376,1011.0039
5,2.0,100.0,1000,12641,0.611045,1,0.002718,0.7135,55.5971,1010.2943
5,2.0,100.0,1000,12641,0.611045,2,0.00348,,,
5,2.0,100.0,1000,12645,0.160115,0,0.5,0.9607,94.2591,1019.4842
5,2.0,100.0,1000,12645,0.160115,1,0.001011,1.2415,110.82,1007.0062
5,2.0,100.0,1000,12645,0.160115,2,0.011511,1.2177,109.4536,1008.1177
5,2.0,100.0,1000,12645,0.160115,3,0.006775,1.2285,110.0713,1007.6164
5,2.0,100.0,1000,12645,0.160115,4,0.008568,1.2244,109.8377,1007.8062
5,2.0,100.0,1000,12645,0.160115,5,0.007832,,,
7,1.0,100.0,1000,11800,0.446547,0,0.5,0.6084,45.0234,1010.8662
7,1.0,100.0,1000,11800,0.446547,1,0.002953,0.6174,45.2209,1010.7804
7,1.0,100.0,1000,11800,0.446547,2,0.003035,,,
7,1.0,100.0,1000,11801,0.448301,0,0.5,0.6557,42.4097,1002.1491
7,1.0,100.0,1000,11801,0.448301,1,0.321274,0.6573,42.4834,1002.1271
