beta,eta,gamma,n,ai_delta,est_beta,est_eta,est_gamma,beta_error,eta_error,gamma_error
1.0,100.0,1000.0,5,0.2018,1.9047,102.648,1016.9632,0.9047,2.648,16.9632
1.0,100.0,1000.0,7,0.6883,0.5975,117.0189,1015.7894,-0.4025,17.0189,15.7894
1.0,100.0,1000.0,10,0.7195,0.6568,77.7965,1004.6154,-0.3432,-22.2035,4.6154
1.0,100.0,1000.0,15,0.8221,1.2712,118.2777,995.3711,0.2712,18.2777,-4.6289
1.0,100.0,1000.0,20,0.6829,1.6425,112.6154,1001.547,0.6425,12.6154,1.547
1.0,1000.0,1000.0,5,0.0594,0.4555,395.8207,1693.5879,-0.5445,-604.1793,693.5879
1.0,1000.0,1000.0,7,0.9809,1.6371,1353.0665,976.8346,0.6371,353.0665,-23.1654
1.0,1000.0,1000.0,10,0.5131,0.9368,711.5524,1143.1803,-0.0632,-288.4476,143.1803
1.0,1000.0,1000.0,15,0.9436,1.1037,1016.6631,968.4738,0.1037,16.6631,-31.5262
1.0,1000.0,1000.0,20,0.8786,1.105,1352.691,1142.1224,0.105,352.691,142.1224
1.0,5000.0,1000.0,5,0.1916,0.9298,10155.9595,2407.1926,-0.0702,5155.9595,1407.1926
1.0,5000.0,1000.0,7,0.5056,1.4234,7154.2648,1222.6466,0.4234,2154.2648,222.6466
1.0,5000.0,1000.0,10,0.0024,0.765,3712.007,1951.1143,-0.235,-1287.993,951.1143
1.0,5000.0,1000.0,15,0.1569,0.7698,3886.2835,956.72,-0.2302,-1113.7165,-43.28
1.0,5000.0,1000.0,20,0.8841,0.7643,5051.2783,1041.1716,-0.2357,51.2783,41.1716
2.0,100.0,1000.0,5,0.269,1.9326,87.9848,988.4282,-0.0674,-12.0152,-11.5718
2.0,100.0,1000.0,7,0.1749,1.1566,56.9415,1023.7567,-0.8434,-43.0585,23.7567
2.0,100.0,1000.0,10,0.1852,2.8269,92.2925,1002.1772,0.8269,-7.7075,2.1772
2.0,100.0,1000.0,15,0.2951,1.7436,79.0949,1009.1914,-0.2564,-20.9051,9.1914
2.0,100.0,1000.0,20,0.2196,2.1386,82.1012,1009.5492,0.1386,-17.8988,9.5492
2.0,1000.0,1000.0,5,0.5818,2.2453,893.9995,1051.5878,0.2453,-106.0005,51.5878
2.0,1000.0,1000.0,7,0.5144,1.3882,1106.8355,912.2088,-0.6118,106.8355,-87.7912
2.0,1000.0,1000.0,10,0.1043,2.6743,1003.6194,1138.4157,0.6743,3.6194,138.4157
2.0,1000.0,1000.0,15,0.4916,1.1258,756.455,1088.9265,-0.8742,-243.545,88.9265
2.0,1000.0,1000.0,20,0.3247,2.1637,1017.4752,959.7093,0.1637,17.4752,-40.2907
2.0,5000.0,1000.0,5,0.3444,0.9223,4469.5877,908.0047,-1.0777,-530.4123,-91.9953
2.0,5000.0,1000.0,7,0.0109,1.3981,3247.1738,3203.2575,-0.6019,-1752.8262,2203.2575
2.0,5000.0,1000.0,10,0.2461,1.5017,5720.3271,962.8323,-0.4983,720.3271,-37.1677
2.0,5000.0,1000.0,15,0.3094,2.1233,4938.9951,901.4734,0.1233,-61.0049,-98.5266
2.0,5000.0,1000.0,20,0.06,2.1521,5400.141,1317.3316,0.1521,400.141,317.3316
5.0,100.0,1000.0,5,0.049,1.4002,28.4806,1052.6356,-3.5998,-71.5194,52.6356
5.0,100.0,1000.0,7,0.0327,0.89,28.0188,1066.0136,-4.11,-71.9812,66.0136
5.0,100.0,1000.0,10,0.0506,3.0229,60.3504,1038.8972,-1.9771,-39.6496,38.8972
5.0,100.0,1000.0,15,0.0256,3.822,77.6619,1026.1189,-1.178,-22.3381,26.1189
5.0,100.0,1000.0,20,0.0445,3.595,112.4564,991.9118,-1.405,12.4564,-8.0882
5.0,1000.0,1000.0,5,0.033,2.2547,509.8567,1664.5223,-2.7453,-490.1433,664.5223
5.0,1000.0,1000.0,7,0.0339,4.5244,704.1128,1374.5068,-0.4756,-295.8872,374.5068
5.0,1000.0,1000.0,10,0.0208,1.5019,294.8706,1680.0797,-3.4981,-705.1294,680.0797
5.0,1000.0,1000.0,15,0.0566,3.0464,887.8705,1058.1243,-1.9536,-112.1295,58.1243
5.0,1000.0,1000.0,20,0.0583,2.8737,746.6772,1241.6611,-2.1263,-253.3228,241.6611
5.0,5000.0,1000.0,5,0.0166,1.314,1205.2226,4426.668,-3.686,-3794.7774,3426.668
5.0,5000.0,1000.0,7,0.0187,2.4732,3068.692,2700.2808,-2.5268,-1931.308,1700.2808
5.0,5000.0,1000.0,10,0.0076,5.1816,4819.1733,1650.9976,0.1816,-180.8267,650.9976
5.0,5000.0,1000.0,15,0.0255,4.1132,4760.4111,1657.6949,-0.8868,-239.5889,657.6949
5.0,5000.0,1000.0,20,0.0246,4.106,5036.5835,948.8944,-0.894,36.5835,-51.1056
