sim_id,est_beta,est_eta,est_gamma,r_squared,has_intersection,gradient_type,grad_min,grad_max,sigma_min_min,sigma_min_max
1,2.129706,862.415518,765.442836,0.951077,True,normal,-0.010304,0.900198,74.400395,225.312541
2,2.898620,800.570632,917.295537,0.722409,True,normal,0.019069,0.384628,86.204795,216.820227
3,1.754762,985.150623,1125.011987,0.971876,True,normal,-0.008985,1.497957,81.534478,272.096031
4,1.824907,1341.966998,1171.090294,0.927823,True,normal,0.002691,1.092899,171.639381,404.545403
5,1.464064,787.052633,1308.495714,0.908811,True,normal,0.001089,2.196188,118.888963,277.828094
6,1.541410,971.566239,992.987284,0.974971,True,normal,-0.008648,2.278460,87.150477,291.921016
7,2.138974,1198.209534,957.781104,0.906976,True,normal,-0.008000,0.764720,152.942548,338.376733
8,1.940895,1496.132196,701.407247,0.971109,True,normal,0.006369,1.231865,101.687352,404.799342
9,2.241189,745.837308,886.761721,0.912348,True,normal,0.006159,0.749377,69.047642,203.131193
10,2.036201,1049.543921,854.583952,0.944228,True,normal,0.009931,1.005543,85.426371,289.578273
11,1.711166,792.325599,906.322246,0.879584,True,normal,0.009936,1.458019,118.464278,291.459334
12,1.609387,1208.643579,852.991159,0.978737,True,normal,-0.014792,1.848828,96.017453,343.107699
13,1.642669,1110.297879,1267.655639,0.981293,True,normal,-0.023686,1.791160,83.868421,302.289545
14,2.349121,1565.456340,602.287726,0.944918,True,normal,0.043235,0.786696,107.426104,400.954293
15,1.668860,680.316705,1088.607114,0.954808,True,normal,-0.053971,1.279049,87.260994,190.832387
16,2.270999,800.389884,974.452887,0.939271,True,normal,0.004316,0.806167,55.389470,207.624826
17,1.834905,859.396346,1043.214429,0.966117,True,normal,0.002098,1.417287,61.621016,238.672307
18,2.642026,1072.027432,1105.949703,0.879882,True,normal,0.018707,0.551608,75.234315,273.370592
19,5.736897,1753.436994,0.000000,0.782207,False,below_offset,-0.736561,-0.006495,69.184299,154.753186
20,2.505908,1483.376904,728.235824,0.896744,True,normal,0.045681,0.625965,123.598652,386.898208
21,1.059267,423.426228,1099.530095,0.948759,True,normal,-0.148973,1.618296,88.224426,140.153419
22,0.849657,328.989628,1413.477897,0.988470,True,normal,-0.609639,0.313155,44.419088,159.287681
23,0.969231,588.470368,1370.508351,0.980555,True,normal,-0.190777,1.782188,91.028866,159.831077
24,1.104657,1328.702771,1332.862425,0.983839,True,normal,-0.138766,3.953337,160.767803,417.427357
25,1.211223,605.526762,1262.959403,0.996440,True,normal,-0.203153,2.890115,32.389424,143.891306
26,1.114799,607.634529,1379.901934,0.959722,True,normal,-0.024647,1.891110,117.529260,180.361450
27,1.704167,910.210479,1460.485714,0.913812,True,normal,-0.001102,1.527729,121.758838,305.995846
28,1.692582,720.762605,1186.593194,0.955841,True,normal,0.000252,1.737870,67.387577,216.384697
29,2.230324,1105.329845,933.471654,0.966454,True,normal,0.013819,0.974392,40.067657,277.711178
30,1.187679,922.429744,1298.712345,0.969638,True,normal,-0.154713,2.478464,141.954882,281.349549
31,1.052720,991.321635,1267.366638,0.932390,True,normal,0.002355,2.947545,234.159784,366.841089
32,2.217607,1341.946662,908.229911,0.971968,True,normal,0.017554,1.026591,44.957437,336.894245
33,1.916482,814.610178,945.044789,0.905618,True,normal,-0.022544,0.878947,127.057744,241.475652
34,0.981061,788.535554,1039.584650,0.965005,True,normal,-0.039002,3.426190,158.931870,256.073333
35,1.524862,574.353194,1228.591586,0.973744,True,normal,-0.078402,1.563708,62.985373,151.749445
36,1.215032,768.272601,1272.306628,0.964218,True,normal,-0.025648,2.830238,113.233044,237.734159
37,1.615723,886.422669,1129.688767,0.957414,True,normal,-0.021514,1.635931,109.474214,272.259834
38,1.924570,970.621079,1206.967857,0.976682,True,normal,-0.014337,1.281284,64.732933,253.687205
39,2.754605,959.715726,1064.835918,0.800915,True,normal,0.014592,0.455365,96.783209,256.874817
40,2.429781,819.239630,995.012706,0.884365,True,normal,0.000753,0.613206,85.445227,218.944246
41,0.976039,394.125278,1168.163799,0.913880,True,normal,-0.116780,0.846968,105.157484,140.907397
42,1.147398,721.604502,1151.297775,0.972529,True,normal,-0.167851,2.703419,101.112603,211.890834
43,0.982100,498.592350,1297.330769,0.958083,True,normal,-0.087806,1.095133,103.972225,138.408593
44,2.184318,847.355897,1092.105061,0.917156,True,normal,-0.001025,0.780691,90.512556,232.483824
45,1.056709,735.038485,1138.249928,0.940604,True,normal,-0.191019,2.784442,171.423938,278.146924
46,1.895607,1190.896327,892.312345,0.969606,True,normal,-0.003025,1.282622,85.886734,324.922033
47,2.054593,1210.812399,1012.677618,0.937889,True,normal,-0.003809,0.922756,123.062066,339.241362
48,1.985184,1198.153388,825.458705,0.897418,True,normal,0.007166,0.862371,168.071506,365.451751
49,1.349022,699.247381,1404.615186,0.956285,True,normal,-0.023736,2.114005,107.987664,221.019335
50,4.839855,2077.293670,0.000000,0.273264,False,below_offset,-1.100791,-0.031210,152.717842,416.292686
51,1.389381,860.592703,1060.550691,0.984725,True,normal,-0.116709,2.235928,77.523838,240.191426
52,0.903730,581.167297,1115.886177,0.971664,True,normal,-0.137306,1.798418,130.519370,168.137817
53,1.452497,471.211213,1571.131026,0.954978,True,normal,-0.059262,1.245507,71.372717,125.281458
54,1.811332,1212.700657,795.311926,0.966295,True,normal,-0.033668,1.240746,115.105268,333.878456
55,1.263554,819.319113,1189.952263,0.977622,True,normal,-0.159922,2.310902,101.676392,236.039772
56,0.696395,489.901878,1452.915490,0.984171,False,below_offset,-0.853556,0.145381,87.400702,256.353741
57,1.941324,751.917156,1096.122448,0.979817,True,normal,-0.023501,1.271984,44.561254,187.087379
58,2.895741,673.772025,1065.465708,0.795550,True,normal,0.011669,0.424066,52.667618,172.884558
59,1.001556,658.156389,1231.824804,0.979178,True,normal,-0.294018,2.870638,99.346494,192.683462
60,1.860325,428.300611,1347.247335,0.956138,True,normal,-0.022230,1.003371,45.954895,107.107150
61,2.003541,1743.011991,575.605376,0.947839,True,normal,0.053775,1.120435,155.814172,502.251811
62,2.548098,1074.455664,847.361738,0.898739,True,normal,0.017312,0.602548,83.229773,275.067361
63,2.076537,716.739456,1021.817689,0.932174,True,normal,0.007071,0.952349,54.299857,196.858370
64,1.446527,228.574876,1559.574125,0.893814,True,normal,-0.001815,0.409532,44.114101,59.905976
65,1.992787,575.906497,1038.503879,0.874097,True,normal,-0.018000,0.749606,100.274252,173.429330
