id,v1,v2,v3,v4,v5,v6,v7
Sample-1-1,2169.404124,1495.137639,1611.636815,1875.719873,1396.679767,2567.302436,1970.930395
Sample-1-2,1328.582934,1223.817680,1980.678812,2805.458535,1883.434438,1521.669168,1773.679313
Sample-1-3,1349.386993,1915.966836,1699.266217,1327.031945,1734.944708,1614.327472,2255.595818
Sample-1-4,1804.452967,1329.241943,1810.107407,1624.618302,1524.371568,2182.387254,2348.660660
Sample-1-5,1422.728248,1787.028878,1589.722088,1747.622659,1651.642585,2232.839744,2365.464564
Sample-2-1,2247.514730,2492.594913,2362.543556,1995.070696,2008.012693,2501.449476,1798.145256
Sample-2-2,2632.155762,1106.473293,1901.528578,2574.811431,1559.860803,1373.533968,1726.372387
Sample-2-3,1809.507602,1904.765756,2962.360405,1335.008787,1310.772758,2194.217695,1704.967315
Sample-2-4,2350.853297,1720.305536,2244.556278,2068.820183,1153.892628,1146.538468,2118.146221
Sample-2-5,1785.506907,1643.269185,1756.341761,2340.579693,1892.022628,2597.991610,2311.230365
Sample-3-1,2275.971290,1957.525490,2312.039789,2925.863843,1666.129762,1261.541933,1816.125310
Sample-3-2,1747.945624,1691.297521,2655.932670,1723.773700,2105.238644,2673.158335,2549.073470
Sample-3-3,1629.281260,1627.173605,1318.518348,3124.373755,2993.898166,1959.706577,1686.712894
Sample-3-4,1344.406778,1573.733957,1262.822124,1852.182489,1194.202526,1565.435399,1162.550510
Sample-3-5,2023.538906,1840.160429,2161.873262,1156.489813,2293.419446,1593.802593,1851.663078
Sample-4-1,1472.210858,1627.596083,1485.711074,1970.482526,1313.032537,1902.354056,1742.820119
Sample-4-2,1888.377244,1792.071145,1687.535530,1156.006466,2526.955216,1820.029861,1632.235679
Sample-4-3,1826.702437,1828.070594,1831.303717,1376.329852,2223.170239,1806.259817,1925.571759
Sample-4-4,2218.361275,2069.584423,1321.257555,1442.206573,1154.886741,2433.536992,1827.322922
Sample-4-5,1697.721402,1449.315711,1766.821036,1480.694786,1695.458958,1705.420987,2214.695247
Sample-5-1,1505.789653,2634.680211,2352.897185,1626.438579,2268.106445,2248.535789,1689.728980
Sample-5-2,1726.207492,2183.620600,2177.319803,2199.498897,2123.015840,1190.972095,1289.042216
Sample-5-3,1610.301143,1943.148021,1820.229231,1572.953512,2861.187484,1565.953003,2221.235505
Sample-5-4,1183.130160,2206.071191,1993.480135,2530.309873,1898.577798,1249.733946,1214.208480
Sample-5-5,1748.489797,1372.793773,1877.440903,2375.365736,2174.031836,1850.837483,1308.095154
Sample-6-1,1855.196031,1402.639591,1630.665188,2866.966565,2288.512196,1750.787516,1597.611698
Sample-6-2,1682.034769,2425.431836,2444.196329,1966.677668,1779.608048,1620.236808,2141.265350
Sample-6-3,1430.724077,2632.924529,1463.409269,1469.488488,2019.967671,1620.885368,1811.277248
Sample-6-4,1804.037585,1619.712375,2066.630491,1300.819231,1871.706271,1521.770559,1220.792992
Sample-6-5,1924.142014,2499.407874,2449.594381,2148.928657,2355.329444,3412.546390,1617.626596
