beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,20,0,1,1.613332,188.611056,1008.960443,0.113332,-11.388944,8.960443,0.965744
1.5,200,20,0,2,1.786524,248.365904,971.312122,0.286524,48.365904,-28.687878,0.949686
1.5,200,20,0,3,1.695995,209.609688,974.449090,0.195995,9.609688,-25.550910,0.973189
1.5,200,20,0,4,3.294069,289.665391,902.932019,1.794069,89.665391,-97.067981,0.973883
1.5,200,20,0,5,2.278146,245.600405,998.438072,0.778146,45.600405,-1.561928,0.977389
1.5,200,20,0,6,2.067723,174.232120,966.568367,0.567723,-25.767880,-33.431633,0.983735
1.5,200,20,0,7,1.084116,150.380313,1032.291614,-0.415884,-49.619687,32.291614,0.939708
1.5,200,20,0,8,1.001832,109.584115,1023.476403,-0.498168,-90.415885,23.476403,0.980410
1.5,200,20,0,9,2.259519,241.660456,979.421353,0.759519,41.660456,-20.578647,0.966197
1.5,200,20,0,10,1.936297,192.707043,994.761185,0.436297,-7.292957,-5.238815,0.915670
1.5,200,20,0,11,1.872392,167.114679,1003.006267,0.372392,-32.885321,3.006267,0.987894
1.5,200,20,0,12,1.181475,136.106097,1034.329851,-0.318525,-63.893903,34.329851,0.955596
1.5,200,20,0,13,1.509799,227.867210,1005.158863,0.009799,27.867210,5.158863,0.970979
1.5,200,20,0,14,1.965686,267.665008,963.096966,0.465686,67.665008,-36.903034,0.949139
1.5,200,20,0,15,14.882787,1053.479109,134.708757,13.382787,853.479109,-865.291243,0.926282
1.5,200,20,0,16,1.832205,188.039011,984.735385,0.332205,-11.960989,-15.264615,0.961145
1.5,200,20,0,17,1.882884,203.936255,994.038146,0.382884,3.936255,-5.961854,0.971032
1.5,200,20,0,18,1.382692,252.762163,983.777736,-0.117308,52.762163,-16.222264,0.937223
1.5,200,20,0,19,1.650555,244.843132,967.577439,0.150555,44.843132,-32.422561,0.952716
1.5,200,20,0,20,4.897049,553.176636,705.958423,3.397049,353.176636,-294.041577,0.954854
1.5,200,20,0,21,6.846809,666.783932,572.486705,5.346809,466.783932,-427.513295,0.957276
1.5,200,20,0,22,0.865046,132.480692,1014.264369,-0.634954,-67.519308,14.264369,0.991239
1.5,200,20,0,23,0.848291,167.899276,1002.361974,-0.651709,-32.100724,2.361974,0.989163
1.5,200,20,0,24,1.315531,127.522769,1010.061956,-0.184469,-72.477231,10.061956,0.984352
1.5,200,20,0,25,1.036202,152.376387,1014.979901,-0.463798,-47.623613,14.979901,0.984372
1.5,200,20,0,26,1.894798,273.291557,998.273996,0.394798,73.291557,-1.726004,0.959800
1.5,200,20,0,27,2.181492,292.393475,952.362831,0.681492,92.393475,-47.637169,0.983827
1.5,200,20,0,28,1.248106,186.377163,1008.558505,-0.251894,-13.622837,8.558505,0.984381
1.5,200,20,0,29,1.139833,143.904877,1047.231931,-0.360167,-56.095123,47.231931,0.954892
1.5,200,20,0,30,2.083089,199.548882,976.913183,0.583089,-0.451118,-23.086817,0.969198
1.5,200,20,0,31,1.109138,191.628964,1009.836256,-0.390862,-8.371036,9.836256,0.979189
1.5,200,20,0,32,1.774364,208.527554,1016.824903,0.274364,8.527554,16.824903,0.979162
1.5,200,20,0,33,1.801923,222.793135,975.000858,0.301923,22.793135,-24.999142,0.983118
1.5,200,20,0,34,4.652371,375.839458,859.253503,3.152371,175.839458,-140.746497,0.929290
1.5,200,20,0,35,3.015358,272.715081,915.050163,1.515358,72.715081,-84.949837,0.920034
1.5,200,20,0,36,1.274689,134.959909,1011.689091,-0.225311,-65.040091,11.689091,0.982432
1.5,200,20,0,37,0.939895,134.278161,1026.762611,-0.560105,-65.721839,26.762611,0.974759
1.5,200,20,0,38,1.827404,253.567047,964.382598,0.327404,53.567047,-35.617402,0.981260
1.5,200,20,0,39,2.370941,290.452815,951.466314,0.870941,90.452815,-48.533686,0.953961
1.5,200,20,0,40,1.264856,130.341283,1037.481518,-0.235144,-69.658717,37.481518,0.987988
1.5,200,20,0,41,2.800394,234.782333,950.657806,1.300394,34.782333,-49.342194,0.961439
1.5,200,20,0,42,1.311476,163.260762,1008.620087,-0.188524,-36.739238,8.620087,0.980009
1.5,200,20,0,43,3.918776,311.208748,896.607813,2.418776,111.208748,-103.392187,0.958077
1.5,200,20,0,44,1.535778,210.496587,986.434978,0.035778,10.496587,-13.565022,0.983502
1.5,200,20,0,45,1.258868,171.954438,1032.320194,-0.241132,-28.045562,32.320194,0.979714
1.5,200,20,0,46,1.169684,147.497329,1055.195392,-0.330316,-52.502671,55.195392,0.961711
1.5,200,20,0,47,2.235877,223.072177,995.174581,0.735877,23.072177,-4.825419,0.858697
1.5,200,20,0,48,1.677934,202.465795,972.345332,0.177934,2.465795,-27.654668,0.923024
1.5,200,20,0,49,1.807975,223.196521,981.998203,0.307975,23.196521,-18.001797,0.980156
1.5,200,20,0,50,1.837283,216.401687,1022.711257,0.337283,16.401687,22.711257,0.949753
1.5,200,20,0,51,1.239856,172.836653,1037.420299,-0.260144,-27.163347,37.420299,0.984131
1.5,200,20,0,52,5.268064,498.122787,718.961543,3.768064,298.122787,-281.038457,0.907763
1.5,200,20,0,53,1.233476,196.222003,1029.253467,-0.266524,-3.777997,29.253467,0.987220
1.5,200,20,0,54,1.918711,225.114710,980.127444,0.418711,25.114710,-19.872556,0.910023
1.5,200,20,0,55,2.500029,313.482622,903.465432,1.000029,113.482622,-96.534568,0.954471
1.5,200,20,0,56,1.827429,293.276126,950.719491,0.327429,93.276126,-49.280509,0.978488
1.5,200,20,0,57,1.826376,287.427329,950.956191,0.326376,87.427329,-49.043809,0.973908
1.5,200,20,0,58,1.910684,325.168150,952.446882,0.410684,125.168150,-47.553118,0.990386
1.5,200,20,0,59,7.426659,458.468988,701.607213,5.926659,258.468988,-298.392787,0.920913
1.5,200,20,0,60,1.191083,211.365378,992.596408,-0.308917,11.365378,-7.403592,0.969925
1.5,200,20,0,61,1.086338,93.071291,1017.110263,-0.413662,-106.928709,17.110263,0.984354
1.5,200,20,0,62,1.314707,171.335433,1006.791874,-0.185293,-28.664567,6.791874,0.967751
1.5,200,20,0,63,1.213823,125.140025,1072.123284,-0.286177,-74.859975,72.123284,0.966499
1.5,200,20,0,64,1.066953,228.698102,1008.599898,-0.433047,28.698102,8.599898,0.986804
1.5,200,20,0,65,1.484906,199.155063,1006.512065,-0.015094,-0.844937,6.512065,0.972285
1.5,200,20,0,66,1.776683,212.906383,995.430184,0.276683,12.906383,-4.569816,0.973145
1.5,200,20,0,67,1.494318,198.230531,989.407415,-0.005682,-1.769469,-10.592585,0.962978
1.5,200,20,0,68,1.113892,197.190961,995.098361,-0.386108,-2.809039,-4.901639,0.986784
1.5,200,20,0,69,1.677385,204.492211,968.737637,0.177385,4.492211,-31.262363,0.962004
1.5,200,20,0,70,1.247891,124.441896,1065.650223,-0.252109,-75.558104,65.650223,0.916831
1.5,200,20,0,71,2.086467,225.376528,976.120019,0.586467,25.376528,-23.879981,0.986210
1.5,200,20,0,72,2.289028,206.445446,983.828493,0.789028,6.445446,-16.171507,0.957099
1.5,200,20,0,73,2.120884,294.816013,932.910441,0.620884,94.816013,-67.089559,0.966767
1.5,200,20,0,74,2.377008,348.050293,919.532870,0.877008,148.050293,-80.467130,0.960034
