beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,7,0.15,1,1.017482,86.781573,1040.616907,-0.482518,-113.218427,40.616907,0.988238
1.5,200,7,0.15,2,0.940627,130.953227,1072.050488,-0.559373,-69.046773,72.050488,0.938122
1.5,200,7,0.15,3,1.700259,121.178466,991.306677,0.200259,-78.821534,-8.693323,0.969249
1.5,200,7,0.15,4,2.516147,301.895662,934.090562,1.016147,101.895662,-65.909438,0.967864
1.5,200,7,0.15,5,0.406787,87.687725,1019.072660,-1.093213,-112.312275,19.072660,0.980617
1.5,200,7,0.15,6,0.841119,87.750096,1061.410001,-0.658881,-112.249904,61.410001,0.925938
1.5,200,7,0.15,7,0.876091,92.913657,1064.064756,-0.623909,-107.086343,64.064756,0.908381
1.5,200,7,0.15,8,2.139396,216.529734,931.869171,0.639396,16.529734,-68.130829,0.965680
1.5,200,7,0.15,9,1.437222,244.225804,1026.565347,-0.062778,44.225804,26.565347,0.986195
1.5,200,7,0.15,10,1.943660,237.065227,983.843161,0.443660,37.065227,-16.156839,0.882360
1.5,200,7,0.15,11,1.826516,197.909006,976.966389,0.326516,-2.090994,-23.033611,0.967370
1.5,200,7,0.15,12,0.844850,160.464130,1030.227907,-0.655150,-39.535870,30.227907,0.961319
1.5,200,7,0.15,13,1.487422,159.067352,1050.239323,-0.012578,-40.932648,50.239323,0.942022
1.5,200,7,0.15,14,1.730458,173.334647,1047.031609,0.230458,-26.665353,47.031609,0.942091
1.5,200,7,0.15,15,2.660521,235.820988,957.022345,1.160521,35.820988,-42.977655,0.925208
1.5,200,7,0.15,16,2.394912,278.738677,910.734567,0.894912,78.738677,-89.265433,0.915844
1.5,200,7,0.15,17,0.480390,116.948968,1007.903357,-1.019610,-83.051032,7.903357,0.951159
1.5,200,7,0.15,18,2.242162,275.225385,922.990411,0.742162,75.225385,-77.009589,0.969077
1.5,200,7,0.15,19,1.610765,264.221479,971.464276,0.110765,64.221479,-28.535724,0.971262
1.5,200,7,0.15,20,1.874645,139.622166,986.667545,0.374645,-60.377834,-13.332455,0.981105
1.5,200,7,0.15,21,2.342810,287.074157,953.875058,0.842810,87.074157,-46.124942,0.905020
1.5,200,7,0.15,22,2.850874,251.591019,930.199473,1.350874,51.591019,-69.800527,0.905406
1.5,200,7,0.15,23,1.451160,295.524304,985.665830,-0.048840,95.524304,-14.334170,0.962345
1.5,200,7,0.15,24,0.948313,101.819678,1030.919163,-0.551687,-98.180322,30.919163,0.987565
1.5,200,7,0.15,25,2.354820,162.872278,1046.406520,0.854820,-37.127722,46.406520,0.885431
1.5,200,7,0.15,26,0.502270,67.952556,1155.716312,-0.997730,-132.047444,155.716312,0.980362
1.5,200,7,0.15,27,1.407163,347.207275,935.715260,-0.092837,147.207275,-64.284740,0.969732
1.5,200,7,0.15,28,1.726952,289.830936,983.956407,0.226952,89.830936,-16.043593,0.928319
1.5,200,7,0.15,29,1.749606,219.484173,948.886794,0.249606,19.484173,-51.113206,0.979163
1.5,200,7,0.15,30,0.916656,129.349021,1009.984101,-0.583344,-70.650979,9.984101,0.993310
1.5,200,7,0.15,31,0.825508,57.446157,1078.106260,-0.674492,-142.553843,78.106260,0.968232
1.5,200,7,0.15,32,1.445960,207.007330,974.334367,-0.054040,7.007330,-25.665633,0.981333
1.5,200,7,0.15,33,0.651239,105.608666,1016.139620,-0.848761,-94.391334,16.139620,0.970616
1.5,200,7,0.15,34,1.691738,197.021910,955.262136,0.191738,-2.978090,-44.737864,0.985948
1.5,200,7,0.15,35,1.502938,161.968667,991.884840,0.002938,-38.031333,-8.115160,0.937913
1.5,200,7,0.15,36,2.627707,274.809754,922.325606,1.127707,74.809754,-77.674394,0.858929
1.5,200,7,0.15,37,1.490135,162.431506,1050.364284,-0.009865,-37.568494,50.364284,0.951337
1.5,200,7,0.15,38,2.218591,207.000639,949.317919,0.718591,7.000639,-50.682081,0.978216
1.5,200,7,0.15,39,1.369754,205.313913,996.345891,-0.130246,5.313913,-3.654109,0.897564
1.5,200,7,0.15,40,1.280364,224.942976,1022.597877,-0.219636,24.942976,22.597877,0.926955
1.5,200,7,0.15,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,200,7,0.15,42,1.723306,301.422099,967.182114,0.223306,101.422099,-32.817886,0.884867
1.5,200,7,0.15,43,0.755447,167.145782,1046.179806,-0.744553,-32.854218,46.179806,0.935017
1.5,200,7,0.15,44,1.090809,172.810828,1066.847750,-0.409191,-27.189172,66.847750,0.972388
1.5,200,7,0.15,45,1.050512,187.814323,1046.931300,-0.449488,-12.185677,46.931300,0.968916
1.5,200,7,0.15,46,2.512151,146.460639,1020.224022,1.012151,-53.539361,20.224022,0.917096
1.5,200,7,0.15,47,1.570240,193.107465,1007.104905,0.070240,-6.892535,7.104905,0.974439
1.5,200,7,0.15,48,1.770466,196.905931,1020.738150,0.270466,-3.094069,20.738150,0.985210
1.5,200,7,0.15,49,0.947787,131.769569,1035.153087,-0.552213,-68.230431,35.153087,0.921802
1.5,200,7,0.15,50,2.024175,253.093392,970.591501,0.524175,53.093392,-29.408499,0.988182
1.5,200,7,0.15,51,2.300413,138.852610,1032.545078,0.800413,-61.147390,32.545078,0.896255
1.5,200,7,0.15,52,0.896009,153.816567,1017.804376,-0.603991,-46.183433,17.804376,0.984490
1.5,200,7,0.15,53,2.158846,219.289814,968.325474,0.658846,19.289814,-31.674526,0.957309
1.5,200,7,0.15,54,0.906123,224.797628,1001.945306,-0.593877,24.797628,1.945306,0.965219
1.5,200,7,0.15,55,2.006306,204.436303,955.861532,0.506306,4.436303,-44.138468,0.966375
1.5,200,7,0.15,56,1.551396,192.022014,966.126747,0.051396,-7.977986,-33.873253,0.985870
1.5,200,7,0.15,57,1.415350,229.409243,983.343751,-0.084650,29.409243,-16.656249,0.955378
