beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
3,1000,7,0,1,6.005278,1878.230482,131.515186,3.005278,878.230482,-868.484814,0.967264
3,1000,7,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,6,1.704735,717.915892,1353.553012,-1.295265,-282.084108,353.553012,0.973186
3,1000,7,0,7,1.769241,795.620368,1239.064994,-1.230759,-204.379632,239.064994,0.950497
3,1000,7,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,9,2.208924,487.179274,1577.469617,-0.791076,-512.820726,577.469617,0.982699
3,1000,7,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,12,1.161127,497.163766,1168.329095,-1.838873,-502.836234,168.329095,0.984902
3,1000,7,0,13,2.795325,956.986480,1193.123395,-0.204675,-43.013520,193.123395,0.963653
3,1000,7,0,14,1.846555,832.306100,1057.487515,-1.153445,-167.693900,57.487515,0.969688
3,1000,7,0,15,3.181600,1073.027650,1000.980019,0.181600,73.027650,0.980019,0.983891
3,1000,7,0,16,2.988109,790.824572,1075.794550,-0.011891,-209.175428,75.794550,0.909342
3,1000,7,0,17,5.168246,1869.237539,174.251014,2.168246,869.237539,-825.748986,0.981863
3,1000,7,0,18,5.065358,756.165094,1375.235352,2.065358,-243.834906,375.235352,0.966503
3,1000,7,0,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,20,2.093215,1003.428710,993.092112,-0.906785,3.428710,-6.907888,0.962645
3,1000,7,0,21,1.971174,794.092207,1068.732057,-1.028826,-205.907793,68.732057,0.964640
3,1000,7,0,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,23,2.022902,303.884414,1485.939052,-0.977098,-696.115586,485.939052,0.942613
3,1000,7,0,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,25,4.298507,1453.685596,671.082512,1.298507,453.685596,-328.917488,0.980881
3,1000,7,0,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,28,1.813900,706.248688,1425.764531,-1.186100,-293.751312,425.764531,0.977549
3,1000,7,0,29,2.332116,981.548780,887.063040,-0.667884,-18.451220,-112.936960,0.945808
3,1000,7,0,30,1.085813,507.413965,1503.156592,-1.914187,-492.586035,503.156592,0.988458
3,1000,7,0,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,38,1.530168,802.001714,920.261904,-1.469832,-197.998286,-79.738096,0.962452
3,1000,7,0,39,1.314296,635.789063,1455.710594,-1.685704,-364.210937,455.710594,0.894237
3,1000,7,0,40,2.863659,1006.691623,911.503449,-0.136341,6.691623,-88.496551,0.976792
3,1000,7,0,41,1.012746,483.407651,1340.662793,-1.987254,-516.592349,340.662793,0.985206
3,1000,7,0,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,43,0.446325,128.896212,1674.560007,-2.553675,-871.103788,674.560007,0.908438
3,1000,7,0,44,1.240043,477.533111,1611.505878,-1.759957,-522.466889,611.505878,0.966637
3,1000,7,0,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,46,2.270734,1175.528588,1023.885195,-0.729266,175.528588,23.885195,0.981218
3,1000,7,0,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,48,1.607611,644.447478,1345.227993,-1.392389,-355.552522,345.227993,0.936260
3,1000,7,0,49,0.774747,211.325092,1607.857118,-2.225253,-788.674908,607.857118,0.876836
3,1000,7,0,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,52,0.760376,327.429058,1564.470201,-2.239624,-672.570942,564.470201,0.984563
3,1000,7,0,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,56,1.148170,487.733810,1286.784550,-1.851830,-512.266190,286.784550,0.981675
3,1000,7,0,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,58,1.788721,511.315559,1570.198122,-1.211279,-488.684441,570.198122,0.962485
3,1000,7,0,59,2.442854,881.398064,1062.765755,-0.557146,-118.601936,62.765755,0.977653
3,1000,7,0,60,1.768762,734.972835,1215.526018,-1.231238,-265.027165,215.526018,0.987710
3,1000,7,0,61,1.065381,446.491806,1449.132162,-1.934619,-553.508194,449.132162,0.964546
3,1000,7,0,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,63,1.077055,471.951898,1257.451169,-1.922945,-528.048102,257.451169,0.930760
3,1000,7,0,64,1.536946,896.542910,1106.968890,-1.463054,-103.457090,106.968890,0.996269
3,1000,7,0,65,2.519482,1236.448446,865.509448,-0.480518,236.448446,-134.490552,0.954353
3,1000,7,0,66,1.485028,523.191976,1424.007034,-1.514972,-476.808024,424.007034,0.960052
3,1000,7,0,67,1.130075,267.305096,1595.096199,-1.869925,-732.694904,595.096199,0.977945
3,1000,7,0,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,69,7.069539,2019.524282,41.530745,4.069539,1019.524282,-958.469255,0.945321
3,1000,7,0,70,0.606137,172.730331,1964.719676,-2.393863,-827.269669,964.719676,0.922020
3,1000,7,0,71,1.193105,538.319878,1516.521883,-1.806895,-461.680122,516.521883,0.987720
3,1000,7,0,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,73,1.072801,495.922839,1328.065282,-1.927199,-504.077161,328.065282,0.968142
3,1000,7,0,74,1.063644,380.375200,1324.635685,-1.936356,-619.624800,324.635685,0.951607
3,1000,7,0,75,0.831472,117.964357,1595.965632,-2.168528,-882.035643,595.965632,0.922068
3,1000,7,0,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,78,2.999581,465.557058,1380.596541,-0.000419,-534.442942,380.596541,0.948805
3,1000,7,0,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,80,3.873388,1157.597714,668.583755,0.873388,157.597714,-331.416245,0.867751
3,1000,7,0,81,1.064088,375.966198,1418.519039,-1.935912,-624.033802,418.519039,0.836044
3,1000,7,0,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,83,2.678959,704.716301,1167.701458,-0.321041,-295.283699,167.701458,0.950940
3,1000,7,0,84,1.492837,491.642315,1502.633077,-1.507163,-508.357685,502.633077,0.962015
3,1000,7,0,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,86,8.368219,1924.202165,69.281634,5.368219,924.202165,-930.718366,0.949778
3,1000,7,0,87,0.864602,141.825374,1711.336176,-2.135398,-858.174626,711.336176,0.898112
3,1000,7,0,88,1.162433,439.039542,1468.663969,-1.837567,-560.960458,468.663969,0.952761
3,1000,7,0,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,90,1.409948,649.149425,1321.569649,-1.590052,-350.850575,321.569649,0.947849
3,1000,7,0,91,1.070005,335.192068,1534.472703,-1.929995,-664.807932,534.472703,0.962458
3,1000,7,0,92,4.713702,966.933204,826.846366,1.713702,-33.066796,-173.153634,0.974125
3,1000,7,0,93,2.580190,690.178161,1064.514591,-0.419810,-309.821839,64.514591,0.975544
3,1000,7,0,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,96,6.519828,974.090517,917.060197,3.519828,-25.909483,-82.939803,0.983267
3,1000,7,0,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,98,1.146335,484.734465,1491.351016,-1.853665,-515.265535,491.351016,0.974907
3,1000,7,0,99,1.615696,755.696318,989.351955,-1.384304,-244.303682,-10.648045,0.986560
3,1000,7,0,100,3.522545,1072.433748,1016.607370,0.522545,72.433748,16.607370,0.990024
3,1000,7,0,101,4.978234,1321.066371,703.624260,1.978234,321.066371,-296.375740,0.947726
3,1000,7,0,102,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,103,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,7,0,104,1.976218,1259.950783,935.992134,-1.023782,259.950783,-64.007866,0.949194
3,1000,7,0,105,5.978878,1594.330194,523.183165,2.978878,594.330194,-476.816835,0.933411
3,1000,7,0,106,1.059255,487.703962,1385.342161,-1.940745,-512.296038,385.342161,0.972260
3,1000,7,0,107,0.618983,297.378146,1377.651137,-2.381017,-702.621854,377.651137,0.943098
