beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
5,200,5,0.1,1,0.686523,36.133044,1169.794454,-4.313477,-163.866956,169.794454,0.998843
5,200,5,0.1,2,2.736128,156.054776,1031.938442,-2.263872,-43.945224,31.938442,0.944834
5,200,5,0.1,3,2.950111,98.045613,1105.490005,-2.049889,-101.954387,105.490005,0.888762
5,200,5,0.1,4,1.070129,71.060164,1095.550258,-3.929871,-128.939836,95.550258,0.991781
5,200,5,0.1,5,1.525731,45.618745,1152.285404,-3.474269,-154.381255,152.285404,0.963122
5,200,5,0.1,6,1.513578,80.356755,1098.854609,-3.486422,-119.643245,98.854609,0.974658
5,200,5,0.1,7,2.376285,93.310832,1111.870490,-2.623715,-106.689168,111.870490,0.946786
5,200,5,0.1,8,1.135098,59.442514,1131.643366,-3.864902,-140.557486,131.643366,0.866175
5,200,5,0.1,9,3.424449,206.389557,1018.709744,-1.575551,6.389557,18.709744,0.818998
5,200,5,0.1,10,0.481217,14.086169,1190.310810,-4.518783,-185.913831,190.310810,0.914696
5,200,5,0.1,11,0.669922,31.533744,1153.177461,-4.330078,-168.466256,153.177461,0.994800
5,200,5,0.1,12,2.519443,130.480921,1046.457733,-2.480557,-69.519079,46.457733,0.982984
5,200,5,0.1,13,2.185259,86.804121,1118.364165,-2.814741,-113.195879,118.364165,0.852095
5,200,5,0.1,14,2.570143,165.107382,1033.788370,-2.429857,-34.892618,33.788370,0.966682
5,200,5,0.1,15,1.246561,20.131013,1169.284923,-3.753439,-179.868987,169.284923,0.969750
5,200,5,0.1,16,3.884887,77.102766,1089.292355,-1.115113,-122.897234,89.292355,0.781434
5,200,5,0.1,17,0.710769,28.585264,1157.391223,-4.289231,-171.414736,157.391223,0.914918
5,200,5,0.1,18,1.212160,57.961684,1119.899579,-3.787840,-142.038316,119.899579,0.948006
5,200,5,0.1,19,1.682468,117.125951,1064.872370,-3.317532,-82.874049,64.872370,0.947118
5,200,5,0.1,20,3.910791,264.508871,931.138626,-1.089209,64.508871,-68.861374,0.574904
5,200,5,0.1,21,2.358572,53.290379,1115.470954,-2.641428,-146.709621,115.470954,0.970771
5,200,5,0.1,22,0.762945,34.379224,1147.106392,-4.237055,-165.620776,147.106392,0.989456
5,200,5,0.1,23,3.324963,163.480556,1055.990169,-1.675037,-36.519444,55.990169,0.843585
5,200,5,0.1,24,3.524212,193.335692,1025.717289,-1.475788,-6.664308,25.717289,0.790649
5,200,5,0.1,25,1.160037,26.717946,1164.896614,-3.839963,-173.282054,164.896614,0.985945
5,200,5,0.1,26,2.306020,58.075648,1151.415817,-2.693980,-141.924352,151.415817,0.987325
5,200,5,0.1,27,1.813806,93.615578,1096.477169,-3.186194,-106.384422,96.477169,0.941677
5,200,5,0.1,28,1.485221,45.270002,1104.372939,-3.514779,-154.729998,104.372939,0.963189
5,200,5,0.1,29,1.745685,122.860790,1082.389928,-3.254315,-77.139210,82.389928,0.983654
5,200,5,0.1,30,1.456435,49.178369,1166.569486,-3.543565,-150.821631,166.569486,0.950634
5,200,5,0.1,31,2.743693,171.162082,1002.923982,-2.256307,-28.837918,2.923982,0.951950
5,200,5,0.1,32,3.058359,148.730648,1071.637494,-1.941641,-51.269352,71.637494,0.882517
