beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,30,0,1,1.589409,6222.684200,814.110986,0.089409,1222.684200,-185.889014,0.959694
1.5,5000,30,0,2,1.225217,5106.171673,1015.586117,-0.274783,106.171673,15.586117,0.980961
1.5,5000,30,0,3,1.456015,4865.505062,1182.916815,-0.043985,-134.494938,182.916815,0.973722
1.5,5000,30,0,4,1.485005,3095.392361,2583.320013,-0.014995,-1904.607639,1583.320013,0.982800
1.5,5000,30,0,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,6,1.479849,5252.206793,689.434948,-0.020151,252.206793,-310.565052,0.975859
1.5,5000,30,0,7,2.562984,5606.745216,95.488094,1.062984,606.745216,-904.511906,0.969547
1.5,5000,30,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,9,1.560825,4465.712470,861.886188,0.060825,-534.287530,-138.113812,0.935743
1.5,5000,30,0,10,1.710269,5491.543929,626.080368,0.210269,491.543929,-373.919632,0.989122
1.5,5000,30,0,11,1.481225,3499.584535,915.226904,-0.018775,-1500.415465,-84.773096,0.962323
1.5,5000,30,0,12,2.056230,4968.382195,518.118162,0.556230,-31.617805,-481.881838,0.989027
1.5,5000,30,0,13,0.840552,2815.743687,1275.816869,-0.659448,-2184.256313,275.816869,0.982893
1.5,5000,30,0,14,1.385514,4513.052827,1126.742479,-0.114486,-486.947173,126.742479,0.980134
1.5,5000,30,0,15,1.624730,6081.902675,968.937223,0.124730,1081.902675,-31.062777,0.985156
1.5,5000,30,0,16,1.776280,6786.704984,334.751302,0.276280,1786.704984,-665.248698,0.986632
1.5,5000,30,0,17,1.485900,4268.211254,1026.321938,-0.014100,-731.788746,26.321938,0.988892
1.5,5000,30,0,18,1.655391,4878.385769,813.126432,0.155391,-121.614231,-186.873568,0.981015
1.5,5000,30,0,19,1.276757,3943.819216,1211.773188,-0.223243,-1056.180784,211.773188,0.975195
1.5,5000,30,0,20,1.604610,5451.573176,601.261618,0.104610,451.573176,-398.738382,0.961907
1.5,5000,30,0,21,1.619161,5900.309562,1362.757762,0.119161,900.309562,362.757762,0.980318
1.5,5000,30,0,22,1.707094,5662.680539,835.436761,0.207094,662.680539,-164.563239,0.951355
1.5,5000,30,0,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
