beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,200,7,0.2,1,1.377959,72.172460,1106.254967,-5.622041,-127.827540,106.254967,0.948445
7,200,7,0.2,2,1.352933,72.757325,1130.042115,-5.647067,-127.242675,130.042115,0.981966
7,200,7,0.2,3,1.536859,36.235178,1162.055088,-5.463141,-163.764822,162.055088,0.971802
7,200,7,0.2,4,1.807354,78.056457,1107.726905,-5.192646,-121.943543,107.726905,0.974758
7,200,7,0.2,5,1.430960,48.979802,1149.562306,-5.569040,-151.020198,149.562306,0.888693
7,200,7,0.2,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,200,7,0.2,7,1.910238,52.450115,1124.106046,-5.089762,-147.549885,124.106046,0.860674
7,200,7,0.2,8,1.513376,47.433673,1128.652241,-5.486624,-152.566327,128.652241,0.940294
7,200,7,0.2,9,1.571284,41.982553,1153.394544,-5.428716,-158.017447,153.394544,0.946904
7,200,7,0.2,10,2.693311,92.857631,1101.060986,-4.306689,-107.142369,101.060986,0.910877
7,200,7,0.2,11,0.791759,23.246781,1163.428992,-6.208241,-176.753219,163.428992,0.934709
7,200,7,0.2,12,1.557490,63.582467,1116.152258,-5.442510,-136.417533,116.152258,0.943083
7,200,7,0.2,13,2.732547,120.633631,1068.303997,-4.267453,-79.366369,68.303997,0.921082
7,200,7,0.2,14,1.660547,52.595846,1133.727420,-5.339453,-147.404154,133.727420,0.960651
7,200,7,0.2,15,2.461516,97.331576,1086.902450,-4.538484,-102.668424,86.902450,0.949931
7,200,7,0.2,16,2.454265,84.382455,1099.782477,-4.545735,-115.617545,99.782477,0.976571
7,200,7,0.2,17,1.268214,75.901917,1100.244229,-5.731786,-124.098083,100.244229,0.967136
7,200,7,0.2,18,3.132889,152.514188,1047.012902,-3.867111,-47.485812,47.012902,0.666904
7,200,7,0.2,19,1.403428,66.576245,1128.781884,-5.596572,-133.423755,128.781884,0.967921
7,200,7,0.2,20,1.630355,59.296885,1122.334262,-5.369645,-140.703115,122.334262,0.844576
7,200,7,0.2,21,2.606094,96.659902,1097.596517,-4.393906,-103.340098,97.596517,0.930130
7,200,7,0.2,22,2.827288,96.013076,1082.309237,-4.172712,-103.986924,82.309237,0.893907
7,200,7,0.2,23,1.513920,67.774854,1128.831576,-5.486080,-132.225146,128.831576,0.903973
7,200,7,0.2,24,2.137946,60.219926,1116.656208,-4.862054,-139.780074,116.656208,0.921254
7,200,7,0.2,25,2.547211,27.247614,1189.636523,-4.452789,-172.752386,189.636523,0.904565
7,200,7,0.2,26,1.120842,45.415196,1147.178870,-5.879158,-154.584804,147.178870,0.983239
7,200,7,0.2,27,1.411871,53.134600,1119.216437,-5.588129,-146.865400,119.216437,0.976892
7,200,7,0.2,28,1.764018,43.237695,1162.030520,-5.235982,-156.762305,162.030520,0.904614
7,200,7,0.2,29,2.550493,105.668636,1093.597188,-4.449507,-94.331364,93.597188,0.950234
7,200,7,0.2,30,2.623586,104.427919,1106.423194,-4.376414,-95.572081,106.423194,0.964705
7,200,7,0.2,31,3.619489,79.088202,1116.283111,-3.380511,-120.911798,116.283111,-0.882038
7,200,7,0.2,32,3.549450,134.635466,1056.324076,-3.450550,-65.364534,56.324076,-0.078488
7,200,7,0.2,33,1.481253,72.857684,1125.884385,-5.518747,-127.142316,125.884385,0.910612
7,200,7,0.2,34,1.711562,49.548127,1149.243663,-5.288438,-150.451873,149.243663,0.917588
7,200,7,0.2,35,1.434195,31.980578,1171.080348,-5.565805,-168.019422,171.080348,0.959423
7,200,7,0.2,36,1.621149,52.986657,1153.793661,-5.378851,-147.013343,153.793661,0.929405
7,200,7,0.2,37,0.875054,30.105000,1140.697397,-6.124946,-169.895000,140.697397,0.960941
7,200,7,0.2,38,0.662266,21.757613,1160.929257,-6.337734,-178.242387,160.929257,0.958024
7,200,7,0.2,39,3.117860,143.222732,1047.344844,-3.882140,-56.777268,47.344844,0.673377
7,200,7,0.2,40,1.603906,51.036059,1135.847202,-5.396094,-148.963941,135.847202,0.979762
7,200,7,0.2,41,2.005352,67.896723,1137.895570,-4.994648,-132.103277,137.895570,0.862792
7,200,7,0.2,42,1.188819,34.503126,1166.761425,-5.811181,-165.496874,166.761425,0.859041
7,200,7,0.2,43,1.570742,55.821327,1156.297292,-5.429258,-144.178673,156.297292,0.950637
7,200,7,0.2,44,2.863611,170.191610,1018.304058,-4.136389,-29.808390,18.304058,0.828322
7,200,7,0.2,45,2.325695,94.170800,1101.431365,-4.674305,-105.829200,101.431365,0.949859
7,200,7,0.2,46,3.210535,48.746268,1149.308703,-3.789465,-151.253732,149.308703,0.121463
7,200,7,0.2,47,2.479399,33.765652,1174.862958,-4.520601,-166.234348,174.862958,0.915587
7,200,7,0.2,48,3.486640,97.569727,1111.793327,-3.513360,-102.430273,111.793327,0.070763
7,200,7,0.2,49,1.920615,46.681088,1161.425121,-5.079385,-153.318912,161.425121,0.811875
7,200,7,0.2,50,1.064703,39.049593,1158.550395,-5.935297,-160.950407,158.550395,0.934623
7,200,7,0.2,51,1.669937,57.272890,1139.534410,-5.330063,-142.727110,139.534410,0.952772
7,200,7,0.2,52,1.222180,59.590433,1127.789220,-5.777820,-140.409567,127.789220,0.967362
7,200,7,0.2,53,1.197130,34.049160,1164.654204,-5.802870,-165.950840,164.654204,0.982860
7,200,7,0.2,54,0.977770,59.263424,1116.579738,-6.022230,-140.736576,116.579738,0.959024
7,200,7,0.2,55,1.902319,67.669680,1116.886911,-5.097681,-132.330320,116.886911,0.941519
7,200,7,0.2,56,3.076368,96.361908,1104.367102,-3.923632,-103.638092,104.367102,0.725164
7,200,7,0.2,57,2.725318,122.050718,1065.736492,-4.274682,-77.949282,65.736492,0.854002
7,200,7,0.2,58,1.507602,58.571710,1119.913299,-5.492398,-141.428290,119.913299,0.960697
7,200,7,0.2,59,0.980909,44.689280,1163.077767,-6.019091,-155.310720,163.077767,0.953565
7,200,7,0.2,60,0.934096,18.348122,1169.243581,-6.065904,-181.651878,169.243581,0.987899
7,200,7,0.2,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,200,7,0.2,62,2.470536,139.897077,1047.298279,-4.529464,-60.102923,47.298279,0.900026
7,200,7,0.2,63,0.838399,33.030703,1153.418234,-6.161601,-166.969297,153.418234,0.978732
7,200,7,0.2,64,2.130814,57.798125,1129.499623,-4.869186,-142.201875,129.499623,0.897645
7,200,7,0.2,65,1.517756,56.997948,1137.395862,-5.482244,-143.002052,137.395862,0.968704
7,200,7,0.2,66,1.220683,71.277949,1128.740343,-5.779317,-128.722051,128.740343,0.870199
7,200,7,0.2,67,1.431302,47.503729,1146.663491,-5.568698,-152.496271,146.663491,0.957087
7,200,7,0.2,68,1.669664,46.654432,1135.378046,-5.330336,-153.345568,135.378046,0.933746
7,200,7,0.2,69,1.125569,48.241362,1134.278727,-5.874431,-151.758638,134.278727,0.978547
7,200,7,0.2,70,1.844761,42.422012,1150.029929,-5.155239,-157.577988,150.029929,0.958461
7,200,7,0.2,71,1.248870,18.145333,1178.328486,-5.751130,-181.854667,178.328486,0.983667
7,200,7,0.2,72,2.277790,74.885175,1122.759884,-4.722210,-125.114825,122.759884,0.839821
