beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,30,0.1,1,1.303668,673.088462,1226.029006,-0.696332,-326.911538,226.029006,0.973696
2.0,1000,30,0.1,2,1.694107,920.181569,1121.559607,-0.305893,-79.818431,121.559607,0.954309
2.0,1000,30,0.1,3,1.974095,845.356708,1095.771503,-0.025905,-154.643292,95.771503,0.970252
2.0,1000,30,0.1,4,2.291453,986.900296,962.643194,0.291453,-13.099704,-37.356806,0.966499
2.0,1000,30,0.1,5,2.530783,1112.459811,934.331418,0.530783,112.459811,-65.668582,0.982999
2.0,1000,30,0.1,6,2.201539,1231.984734,848.109500,0.201539,231.984734,-151.890500,0.988397
2.0,1000,30,0.1,7,1.446759,700.811268,1124.578569,-0.553241,-299.188732,124.578569,0.983531
2.0,1000,30,0.1,8,1.616310,834.130634,1048.824857,-0.383690,-165.869366,48.824857,0.934430
2.0,1000,30,0.1,9,2.804827,1333.958907,763.239485,0.804827,333.958907,-236.760515,0.968778
2.0,1000,30,0.1,10,1.933055,1121.783314,965.428344,-0.066945,121.783314,-34.571656,0.976861
2.0,1000,30,0.1,11,2.242246,953.478960,1112.487236,0.242246,-46.521040,112.487236,0.960660
2.0,1000,30,0.1,12,1.667075,748.232851,1096.846194,-0.332925,-251.767149,96.846194,0.974856
2.0,1000,30,0.1,13,1.717930,850.175167,1236.314707,-0.282070,-149.824833,236.314707,0.977347
2.0,1000,30,0.1,14,1.738855,824.701174,1054.801002,-0.261145,-175.298826,54.801002,0.971008
2.0,1000,30,0.1,15,1.695272,742.429690,1161.534867,-0.304728,-257.570310,161.534867,0.964866
2.0,1000,30,0.1,16,2.128692,1134.511846,912.592123,0.128692,134.511846,-87.407877,0.985789
2.0,1000,30,0.1,17,1.950833,947.452519,1127.657104,-0.049167,-52.547481,127.657104,0.979366
2.0,1000,30,0.1,18,1.755100,843.677776,1065.015967,-0.244900,-156.322224,65.015967,0.991431
2.0,1000,30,0.1,19,1.846377,840.651204,996.886808,-0.153623,-159.348796,-3.113192,0.982514
2.0,1000,30,0.1,20,2.383252,985.004802,987.904902,0.383252,-14.995198,-12.095098,0.972141
2.0,1000,30,0.1,21,2.033865,910.357015,1046.369446,0.033865,-89.642985,46.369446,0.974713
2.0,1000,30,0.1,22,1.859306,624.509077,1267.056615,-0.140694,-375.490923,267.056615,0.979625
2.0,1000,30,0.1,23,1.650530,775.739356,972.007185,-0.349470,-224.260644,-27.992815,0.992929
2.0,1000,30,0.1,24,1.279572,844.382609,1042.440019,-0.720428,-155.617391,42.440019,0.985688
2.0,1000,30,0.1,25,3.674691,1228.054985,886.680471,1.674691,228.054985,-113.319529,0.946327
2.0,1000,30,0.1,26,1.927348,967.750639,1002.196543,-0.072652,-32.249361,2.196543,0.974104
2.0,1000,30,0.1,27,1.931932,982.403482,1022.248699,-0.068068,-17.596518,22.248699,0.964390
2.0,1000,30,0.1,28,2.447844,980.079815,1088.861537,0.447844,-19.920185,88.861537,0.976058
2.0,1000,30,0.1,29,2.583559,1014.726347,836.057500,0.583559,14.726347,-163.942500,0.959182
2.0,1000,30,0.1,30,2.594719,1212.874780,1058.534533,0.594719,212.874780,58.534533,0.982076
2.0,1000,30,0.1,31,1.415054,834.650563,1079.940432,-0.584946,-165.349437,79.940432,0.981702
2.0,1000,30,0.1,32,1.827042,971.334293,1020.084868,-0.172958,-28.665707,20.084868,0.988059
2.0,1000,30,0.1,33,1.674417,961.623352,1136.628264,-0.325583,-38.376648,136.628264,0.979896
2.0,1000,30,0.1,34,2.377556,1186.958508,847.084010,0.377556,186.958508,-152.915990,0.964186
2.0,1000,30,0.1,35,1.615237,855.660231,1073.602812,-0.384763,-144.339769,73.602812,0.975060
2.0,1000,30,0.1,36,3.041292,1314.098202,823.732549,1.041292,314.098202,-176.267451,0.964205
