beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,1000,10,1,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,2,1.359095,234.196392,1001.964704,-0.140905,34.196392,1.964704,0.765053
1.5,200,1000,10,3,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,4,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,5,25.12177,1177.162186,7.9e-05,23.62177,977.162186,-999.999921,0.826817
1.5,200,1000,10,6,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,7,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,8,13.146237,1172.960335,0.000556,11.646237,972.960335,-999.999444,0.732718
1.5,200,1000,10,9,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,10,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,11,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,12,1.587124,276.48776,1009.972654,0.087124,76.48776,9.972654,0.818799
1.5,200,1000,10,13,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,14,28.93464,1157.033909,3.5e-05,27.43464,957.033909,-999.999965,0.912363
1.5,200,1000,10,15,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,16,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,17,7.757603,1296.205197,0.000282,6.257603,1096.205197,-999.999718,0.821278
1.5,200,1000,10,18,13.86443,1182.726185,5.8e-05,12.36443,982.726185,-999.999942,0.906796
1.5,200,1000,10,19,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,20,12.21677,1269.572006,6.4e-05,10.71677,1069.572006,-999.999936,0.91872
1.5,200,1000,10,21,30.626913,1208.644319,0.000293,29.126913,1008.644319,-999.999707,0.589093
1.5,200,1000,10,22,12.995239,1217.367521,2.7e-05,11.495239,1017.367521,-999.999973,0.829727
1.5,200,1000,10,23,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,24,8.775083,1232.341937,7.2e-05,7.275083,1032.341937,-999.999928,0.734353
1.5,200,1000,10,25,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,26,8.346707,1264.563921,9.9e-05,6.846707,1064.563921,-999.999901,0.836076
1.5,200,1000,10,27,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,28,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,29,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,30,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,31,16.017179,1227.623364,4.5e-05,14.517179,1027.623364,-999.999955,0.962855
1.5,200,1000,10,32,19.771867,1208.913096,7.4e-05,18.271867,1008.913096,-999.999926,0.923375
1.5,200,1000,10,33,11.820488,1280.822078,0.000205,10.320488,1080.822078,-999.999795,0.90137
1.5,200,1000,10,34,13.390248,1263.027495,9e-05,11.890248,1063.027495,-999.99991,0.837759
1.5,200,1000,10,35,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,36,7.913179,1258.011934,0.00055,6.413179,1058.011934,-999.99945,0.801927
1.5,200,1000,10,37,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,38,1.253999,165.805954,1007.512618,-0.246001,-34.194046,7.512618,0.642331
1.5,200,1000,10,39,2.768094,225.068264,954.613538,1.268094,25.068264,-45.386462,0.827437
1.5,200,1000,10,40,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,41,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,42,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,43,12.351913,1255.268777,9.8e-05,10.851913,1055.268777,-999.999902,0.915255
1.5,200,1000,10,44,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,45,17.848548,1180.000216,1.3e-05,16.348548,980.000216,-999.999987,0.815039
1.5,200,1000,10,46,8.899156,1234.626977,9.1e-05,7.399156,1034.626977,-999.999909,0.735307
1.5,200,1000,10,47,13.725485,1194.130929,6.5e-05,12.225485,994.130929,-999.999935,0.916439
1.5,200,1000,10,48,13.314435,1270.071075,4.2e-05,11.814435,1070.071075,-999.999958,0.896263
1.5,200,1000,10,49,1.412403,140.262973,1031.347603,-0.087597,-59.737027,31.347603,0.753063
1.5,200,1000,10,50,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,51,16.882244,1177.658261,0.00035,15.382244,977.658261,-999.99965,0.806268
1.5,200,1000,10,52,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,53,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,54,1.316493,212.740358,1011.785584,-0.183507,12.740358,11.785584,0.77479
1.5,200,1000,10,55,16.97858,1185.870822,0.000209,15.47858,985.870822,-999.999791,0.844139
1.5,200,1000,10,56,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,57,16.427224,1175.701605,7.4e-05,14.927224,975.701605,-999.999926,0.735049
1.5,200,1000,10,58,1.30118,163.799176,1020.269569,-0.19882,-36.200824,20.269569,0.728618
1.5,200,1000,10,59,23.077269,1136.894079,7e-05,21.577269,936.894079,-999.99993,0.949471
1.5,200,1000,10,60,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,61,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,62,3.097567,308.39956,936.326879,1.597567,108.39956,-63.673121,0.836078
1.5,200,1000,10,63,12.038045,1191.916865,0.000123,10.538045,991.916865,-999.999877,0.826229
1.5,200,1000,10,64,20.245256,1198.009137,3.7e-05,18.745256,998.009137,-999.999963,0.962394
1.5,200,1000,10,65,16.129486,1190.206974,5.3e-05,14.629486,990.206974,-999.999947,0.878975
1.5,200,1000,10,66,1.305391,165.0716,1027.921336,-0.194609,-34.9284,27.921336,0.745539
1.5,200,1000,10,67,16.340211,1184.227229,5.7e-05,14.840211,984.227229,-999.999943,0.907791
1.5,200,1000,10,68,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
