beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,5000,1000,10,1,8.374875,5726.958986,4.5e-05,1.374875,726.958986,-999.999955,0.713807
7,5000,1000,10,2,8.557548,6016.453611,5e-05,1.557548,1016.453611,-999.99995,0.908854
7,5000,1000,10,3,1.602073,1509.907502,3922.955054,-5.397927,-3490.092498,2922.955054,0.766933
7,5000,1000,10,4,12.438446,6019.034607,0.0,5.438446,1019.034607,-1000.0,-1.277928
7,5000,1000,10,5,2.094135,2010.51723,3895.091125,-4.905865,-2989.48277,2895.091125,0.900721
7,5000,1000,10,6,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,7,3.353406,2756.436886,3208.484752,-3.646594,-2243.563114,2208.484752,0.822281
7,5000,1000,10,8,11.663444,5604.42269,0.0,4.663444,604.42269,-1000.0,0.093867
7,5000,1000,10,9,8.453315,5994.602735,0.0,1.453315,994.602735,-1000.0,0.832194
7,5000,1000,10,10,1.504678,1623.903049,3300.711958,-5.495322,-3376.096951,2300.711958,0.818174
7,5000,1000,10,11,6.959231,5872.337491,0.0,-0.040769,872.337491,-1000.0,0.588218
7,5000,1000,10,12,10.755268,5727.084481,0.000569,3.755268,727.084481,-999.999431,0.841206
7,5000,1000,10,13,1.720434,1505.316461,4318.093467,-5.279566,-3494.683539,3318.093467,0.799337
7,5000,1000,10,14,7.164847,5885.847433,0.000156,0.164847,885.847433,-999.999844,0.875117
7,5000,1000,10,15,9.292869,5966.396169,0.0,2.292869,966.396169,-1000.0,0.837077
7,5000,1000,10,16,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,17,6.069781,4762.143365,1565.024833,-0.930219,-237.856635,565.024833,0.91795
7,5000,1000,10,18,12.357675,6025.578197,2.9e-05,5.357675,1025.578197,-999.999971,0.878732
7,5000,1000,10,19,13.613929,6083.799893,0.000251,6.613929,1083.799893,-999.999749,0.793269
7,5000,1000,10,20,1.653447,1462.310413,4393.812113,-5.346553,-3537.689587,3393.812113,0.852453
7,5000,1000,10,21,7.405645,6063.850997,0.000243,0.405645,1063.850997,-999.999757,0.910411
7,5000,1000,10,22,12.717282,5940.653395,6.1e-05,5.717282,940.653395,-999.999939,0.954101
7,5000,1000,10,23,1.489496,1228.078025,4278.194896,-5.510504,-3771.921975,3278.194896,0.80599
7,5000,1000,10,24,1.871532,1734.312718,4017.534212,-5.128468,-3265.687282,3017.534212,0.863416
7,5000,1000,10,25,8.552247,6328.633639,0.0,1.552247,1328.633639,-1000.0,0.858029
7,5000,1000,10,26,7.146041,5940.908545,0.000181,0.146041,940.908545,-999.999819,0.918345
7,5000,1000,10,27,11.627064,6374.213932,0.000234,4.627064,1374.213932,-999.999766,0.943852
7,5000,1000,10,28,2.397416,983.066102,5374.941418,-4.602584,-4016.933898,4374.941418,0.847581
7,5000,1000,10,29,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,30,6.901918,6215.531618,0.0,-0.098082,1215.531618,-1000.0,0.472857
7,5000,1000,10,31,11.060287,5914.932456,5.2e-05,4.060287,914.932456,-999.999948,0.903588
7,5000,1000,10,32,11.697608,6384.154212,0.00016,4.697608,1384.154212,-999.99984,0.809746
7,5000,1000,10,33,2.802412,1448.44699,4062.192318,-4.197588,-3551.55301,3062.192318,0.827648
7,5000,1000,10,34,1.591594,1135.713184,5209.327446,-5.408406,-3864.286816,4209.327446,0.841537
7,5000,1000,10,35,8.493684,6475.41752,0.0,1.493684,1475.41752,-1000.0,0.476665
7,5000,1000,10,36,9.832581,6070.837079,0.0,2.832581,1070.837079,-1000.0,0.813326
7,5000,1000,10,37,2.867737,2308.525195,3328.638975,-4.132263,-2691.474805,2328.638975,0.896683
7,5000,1000,10,38,8.612793,5755.076353,0.000101,1.612793,755.076353,-999.999899,0.818199
7,5000,1000,10,39,10.010032,6319.846193,0.000525,3.010032,1319.846193,-999.999475,0.863038
7,5000,1000,10,40,3.078286,2909.192024,3152.744596,-3.921714,-2090.807976,2152.744596,0.749615
7,5000,1000,10,41,1.465485,1153.675044,4689.583715,-5.534515,-3846.324956,3689.583715,0.786638
7,5000,1000,10,42,29.485782,6003.486293,0.000241,22.485782,1003.486293,-999.999759,0.814551
7,5000,1000,10,43,6.445028,6050.763188,0.000296,-0.554972,1050.763188,-999.999704,0.886739
7,5000,1000,10,44,15.923331,5904.768282,0.000333,8.923331,904.768282,-999.999667,0.914829
7,5000,1000,10,45,8.936939,6116.758927,0.000644,1.936939,1116.758927,-999.999356,0.610825
7,5000,1000,10,46,8.648384,6263.534671,4.7e-05,1.648384,1263.534671,-999.999953,0.941542
7,5000,1000,10,47,10.12559,6237.270817,0.000143,3.12559,1237.270817,-999.999857,0.918884
7,5000,1000,10,48,8.758422,5696.770948,0.000107,1.758422,696.770948,-999.999893,0.800444
7,5000,1000,10,49,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,50,10.037907,5748.397233,0.0,3.037907,748.397233,-1000.0,0.309462
