beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
3,1000,7,1,3.101639,885.102556,1090.628634,0.101639,-114.897444,90.628634,0.843620
3,1000,7,2,10.109705,2160.094856,0.000000,7.109705,1160.094856,-1000.000000,0.474064
3,1000,7,3,6.512037,2037.265666,0.000000,3.512037,1037.265666,-1000.000000,0.697953
3,1000,7,4,6.682107,1959.726700,0.000063,3.682107,959.726700,-999.999937,0.779489
3,1000,7,5,8.562945,1954.260467,0.000000,5.562945,954.260467,-1000.000000,0.082454
3,1000,7,6,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,7,5.806804,2089.699551,0.000070,2.806804,1089.699551,-999.999930,0.906427
3,1000,7,8,9.232856,1921.699499,0.000000,6.232856,921.699499,-1000.000000,0.884859
3,1000,7,9,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,10,10.741727,2012.031078,0.000000,7.741727,1012.031078,-1000.000000,0.236164
3,1000,7,11,2.636542,903.359754,1258.900532,-0.363458,-96.640246,258.900532,0.819109
3,1000,7,12,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,13,7.897725,2167.095349,0.000018,4.897725,1167.095349,-999.999982,0.918339
3,1000,7,14,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,15,2.153347,654.639762,1379.473616,-0.846653,-345.360238,379.473616,0.825563
3,1000,7,16,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,17,2.723497,899.553773,1101.447581,-0.276503,-100.446227,101.447581,0.851404
3,1000,7,18,16.405633,2137.095120,0.000078,13.405633,1137.095120,-999.999922,0.943121
3,1000,7,19,6.530618,1924.405230,0.000072,3.530618,924.405230,-999.999928,0.811230
3,1000,7,20,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,21,6.169696,1896.426131,0.000013,3.169696,896.426131,-999.999987,0.913425
3,1000,7,22,10.587213,1837.384107,0.000000,7.587213,837.384107,-1000.000000,0.311559
3,1000,7,23,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,24,6.258931,2127.744018,0.000030,3.258931,1127.744018,-999.999970,0.840823
3,1000,7,25,7.215466,2126.964880,0.000037,4.215466,1126.964880,-999.999963,0.963559
3,1000,7,26,13.177111,1831.286743,0.000000,10.177111,831.286743,-1000.000000,0.697838
3,1000,7,27,8.276234,1864.034178,0.000276,5.276234,864.034178,-999.999724,0.902872
3,1000,7,28,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,29,1.493046,618.576337,1185.924360,-1.506954,-381.423663,185.924360,0.675374
3,1000,7,30,0.000000,0.000000,0.000000,-3.000000,-1000.000000,-1000.000000,0.000000
3,1000,7,31,2.882436,1376.465480,717.770724,-0.117564,376.465480,-282.229276,0.783958
