beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,5,1,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,2,6.297601,2541.171134,0.000350,4.297601,1541.171134,-999.999650,0.633808
2.0,1000,5,3,4.928083,2219.504195,0.000000,2.928083,1219.504195,-1000.000000,0.743042
2.0,1000,5,4,3.739935,941.976951,1345.477849,1.739935,-58.023049,345.477849,0.663533
2.0,1000,5,5,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,6,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,7,2.759470,1218.211234,771.180960,0.759470,218.211234,-228.819040,0.756566
2.0,1000,5,8,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,9,18.816640,2134.408029,0.000267,16.816640,1134.408029,-999.999733,0.831069
2.0,1000,5,10,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,11,6.802653,1937.696440,0.000000,4.802653,937.696440,-1000.000000,0.548098
2.0,1000,5,12,8.926696,1795.239733,0.000000,6.926696,795.239733,-1000.000000,0.544954
2.0,1000,5,13,4.904999,1879.485168,0.000055,2.904999,879.485168,-999.999945,0.923712
2.0,1000,5,14,7.993138,1995.430373,0.000280,5.993138,995.430373,-999.999720,0.635734
2.0,1000,5,15,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,16,1.832326,878.632986,1167.947744,-0.167674,-121.367014,167.947744,0.646342
2.0,1000,5,17,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,18,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,19,1.948567,799.112150,1051.120475,-0.051433,-200.887850,51.120475,0.677266
2.0,1000,5,20,6.974712,1646.292582,0.000216,4.974712,646.292582,-999.999784,0.917671
2.0,1000,5,21,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,22,5.423703,1706.549753,0.000242,3.423703,706.549753,-999.999758,0.657808
2.0,1000,5,23,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,24,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,25,14.908408,2385.282558,0.000036,12.908408,1385.282558,-999.999964,0.426776
2.0,1000,5,26,1.779558,578.124028,1131.068045,-0.220442,-421.875972,131.068045,0.636728
2.0,1000,5,27,6.270624,2080.272304,0.000215,4.270624,1080.272304,-999.999785,0.806925
2.0,1000,5,28,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,29,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,30,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,31,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,32,10.977941,2467.936477,0.000114,8.977941,1467.936477,-999.999886,0.681068
2.0,1000,5,33,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,34,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,35,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,36,4.807501,2260.140682,0.000205,2.807501,1260.140682,-999.999795,0.910137
2.0,1000,5,37,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,38,4.708466,2337.175473,0.000150,2.708466,1337.175473,-999.999850,0.859412
2.0,1000,5,39,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,40,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,41,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,42,22.432226,2016.549388,0.000048,20.432226,1016.549388,-999.999952,0.902745
2.0,1000,5,43,12.124410,1694.561686,0.000153,10.124410,694.561686,-999.999847,0.943123
2.0,1000,5,44,9.972937,1867.265599,0.000459,7.972937,867.265599,-999.999541,0.789440
2.0,1000,5,45,10.401761,2307.135566,0.000296,8.401761,1307.135566,-999.999704,0.819810
2.0,1000,5,46,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,47,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,48,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,49,9.576109,1852.760880,0.000365,7.576109,852.760880,-999.999635,0.684009
2.0,1000,5,50,1.662196,883.685827,917.705482,-0.337804,-116.314173,-82.294518,0.557189
2.0,1000,5,51,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,52,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,53,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,54,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,55,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,56,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,57,6.794716,2073.138043,0.000000,4.794716,1073.138043,-1000.000000,-0.622334
2.0,1000,5,58,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,59,5.846897,2104.635310,0.000280,3.846897,1104.635310,-999.999720,0.784875
2.0,1000,5,60,4.017142,2250.223864,0.000000,2.017142,1250.223864,-1000.000000,0.564822
2.0,1000,5,61,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,62,6.330799,2043.172096,0.000217,4.330799,1043.172096,-999.999783,0.821634
2.0,1000,5,63,8.075843,1883.232258,0.000102,6.075843,883.232258,-999.999898,0.862865
2.0,1000,5,64,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,65,11.833900,2366.562978,0.000664,9.833900,1366.562978,-999.999336,0.832379
2.0,1000,5,66,8.873320,1933.313776,0.000295,6.873320,933.313776,-999.999705,0.721000
2.0,1000,5,67,10.867522,1892.901476,0.000018,8.867522,892.901476,-999.999982,0.851430
2.0,1000,5,68,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,69,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,70,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,71,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,72,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,73,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,74,2.274066,692.090807,1011.583610,0.274066,-307.909193,11.583610,0.715727
2.0,1000,5,75,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,76,2.456447,812.152271,1207.034163,0.456447,-187.847729,207.034163,0.742567
2.0,1000,5,77,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,78,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,79,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,80,25.636164,1764.586314,0.000069,23.636164,764.586314,-999.999931,0.886177
2.0,1000,5,81,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,82,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,83,11.598005,1984.850888,0.000103,9.598005,984.850888,-999.999897,0.867046
2.0,1000,5,84,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,85,6.814432,1518.963936,0.000016,4.814432,518.963936,-999.999984,0.755842
2.0,1000,5,86,7.982573,1849.827091,0.000326,5.982573,849.827091,-999.999674,0.642395
2.0,1000,5,87,5.361547,2126.971642,0.000000,3.361547,1126.971642,-1000.000000,0.756589
2.0,1000,5,88,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,89,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,90,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,91,7.083257,2135.128290,0.000000,5.083257,1135.128290,-1000.000000,0.624609
2.0,1000,5,92,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,93,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,94,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,95,5.683595,2136.866175,0.000215,3.683595,1136.866175,-999.999785,0.810225
2.0,1000,5,96,6.981712,1970.253799,0.000000,4.981712,970.253799,-1000.000000,0.343088
2.0,1000,5,97,9.745353,2261.123802,0.000000,7.745353,1261.123802,-1000.000000,0.502847
2.0,1000,5,98,5.626524,2077.630871,0.000476,3.626524,1077.630871,-999.999524,0.703754
2.0,1000,5,99,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,100,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,101,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,102,3.323223,1267.338881,734.749770,1.323223,267.338881,-265.250230,0.767779
2.0,1000,5,103,2.312270,894.121364,1370.876415,0.312270,-105.878636,370.876415,0.702949
2.0,1000,5,104,5.519806,2052.270845,0.000000,3.519806,1052.270845,-1000.000000,0.705166
2.0,1000,5,105,9.147176,2395.855766,0.000000,7.147176,1395.855766,-1000.000000,0.429972
2.0,1000,5,106,4.775625,2408.692902,0.000000,2.775625,1408.692902,-1000.000000,0.262835
2.0,1000,5,107,7.343042,1991.859358,0.000000,5.343042,991.859358,-1000.000000,0.807631
2.0,1000,5,108,5.360037,1699.605674,0.000298,3.360037,699.605674,-999.999702,0.724787
2.0,1000,5,109,9.841271,1770.681243,0.000000,7.841271,770.681243,-1000.000000,0.646331
2.0,1000,5,110,2.038281,1337.598388,1184.835756,0.038281,337.598388,184.835756,0.594388
2.0,1000,5,111,8.947813,1732.874171,0.000156,6.947813,732.874171,-999.999844,0.721484
2.0,1000,5,112,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,113,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,114,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,115,9.325210,1765.573197,0.000141,7.325210,765.573197,-999.999859,0.934408
2.0,1000,5,116,8.073483,1811.829250,0.000113,6.073483,811.829250,-999.999887,0.836791
2.0,1000,5,117,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,118,12.163257,1697.208904,0.000275,10.163257,697.208904,-999.999725,0.288058
2.0,1000,5,119,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,120,8.339896,2044.564143,0.000286,6.339896,1044.564143,-999.999714,0.604243
2.0,1000,5,121,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,122,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,123,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,124,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,125,4.966544,2159.053548,0.000000,2.966544,1159.053548,-1000.000000,0.704643
2.0,1000,5,126,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,127,12.398874,1675.357405,0.000027,10.398874,675.357405,-999.999973,0.762221
2.0,1000,5,128,6.278085,1845.921765,0.000228,4.278085,845.921765,-999.999772,0.796606
2.0,1000,5,129,9.915311,1985.758390,0.000093,7.915311,985.758390,-999.999907,0.692078
2.0,1000,5,130,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,131,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,132,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,133,1.977546,1022.200530,796.577224,-0.022454,22.200530,-203.422776,0.697000
2.0,1000,5,134,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,135,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,5,136,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
