beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,3,1,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,2,8.686858,1870.258612,0.000000,6.686858,870.258612,-1000.000000,-0.055267
2.0,1000,3,3,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,4,7.752084,1958.237956,0.000235,5.752084,958.237956,-999.999765,0.763705
2.0,1000,3,5,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,6,23.783602,1484.133698,0.000990,21.783602,484.133698,-999.999010,0.199571
2.0,1000,3,7,5.726570,1926.262538,0.000000,3.726570,926.262538,-1000.000000,0.221037
2.0,1000,3,8,6.180991,2219.319640,0.000288,4.180991,1219.319640,-999.999712,0.566826
2.0,1000,3,9,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,10,5.749316,2116.666212,0.000000,3.749316,1116.666212,-1000.000000,0.056152
2.0,1000,3,11,9.289707,1969.703903,0.000000,7.289707,969.703903,-1000.000000,0.109807
2.0,1000,3,12,7.366059,2298.291043,0.000328,5.366059,1298.291043,-999.999672,0.621223
2.0,1000,3,13,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,14,14.133597,2068.281587,0.000249,12.133597,1068.281587,-999.999751,-0.028968
2.0,1000,3,15,13.215208,2389.468875,0.000297,11.215208,1389.468875,-999.999703,0.707729
2.0,1000,3,16,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,17,9.719563,2186.945991,0.000372,7.719563,1186.945991,-999.999628,0.230586
2.0,1000,3,18,10.730342,1698.438844,0.000103,8.730342,698.438844,-999.999897,0.619970
2.0,1000,3,19,9.539201,1826.315323,0.000000,7.539201,826.315323,-1000.000000,0.205872
2.0,1000,3,20,8.141373,1928.257888,0.000185,6.141373,928.257888,-999.999815,0.724041
2.0,1000,3,21,9.762940,1835.664304,0.000000,7.762940,835.664304,-1000.000000,0.487190
2.0,1000,3,22,12.869316,2331.713890,0.000544,10.869316,1331.713890,-999.999456,-0.055016
2.0,1000,3,23,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,24,9.120238,1987.760958,0.000237,7.120238,987.760958,-999.999763,0.023145
2.0,1000,3,25,9.326795,1700.856727,0.000096,7.326795,700.856727,-999.999904,0.407625
2.0,1000,3,26,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,27,11.362343,1814.354976,0.000000,9.362343,814.354976,-1000.000000,0.101662
2.0,1000,3,28,18.745404,1532.139571,0.000327,16.745404,532.139571,-999.999673,0.186635
2.0,1000,3,29,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,30,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,31,9.475539,1230.125249,0.000054,7.475539,230.125249,-999.999946,0.631077
2.0,1000,3,32,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,33,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,34,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,35,12.779106,1866.991030,0.000294,10.779106,866.991030,-999.999706,0.724156
2.0,1000,3,36,13.044379,1686.155054,0.000224,11.044379,686.155054,-999.999776,0.257429
2.0,1000,3,37,11.887739,1710.764658,0.000304,9.887739,710.764658,-999.999696,0.068760
2.0,1000,3,38,12.236846,2339.153065,0.000000,10.236846,1339.153065,-1000.000000,0.233519
2.0,1000,3,39,14.515304,2204.871449,0.000000,12.515304,1204.871449,-1000.000000,-0.169998
2.0,1000,3,40,8.106279,1878.467867,0.001355,6.106279,878.467867,-999.998645,-0.220334
2.0,1000,3,41,9.737393,2466.235742,0.000000,7.737393,1466.235742,-1000.000000,0.358468
2.0,1000,3,42,14.612664,1601.225983,0.000164,12.612664,601.225983,-999.999836,0.771729
2.0,1000,3,43,9.850420,2224.606504,0.000105,7.850420,1224.606504,-999.999895,0.785834
2.0,1000,3,44,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,45,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,46,52.801009,1655.305777,0.000203,50.801009,655.305777,-999.999797,0.619350
2.0,1000,3,47,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,48,7.128910,1734.472105,0.001273,5.128910,734.472105,-999.998727,0.073010
2.0,1000,3,49,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,50,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,51,16.314764,2030.170904,0.000015,14.314764,1030.170904,-999.999985,0.084385
2.0,1000,3,52,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,53,10.119391,2139.057270,0.000178,8.119391,1139.057270,-999.999822,0.552088
2.0,1000,3,54,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,55,16.287419,2569.693163,0.000048,14.287419,1569.693163,-999.999952,0.316947
2.0,1000,3,56,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,57,15.700810,2027.787869,0.000160,13.700810,1027.787869,-999.999840,0.326133
2.0,1000,3,58,7.591158,1840.227450,0.000168,5.591158,840.227450,-999.999832,0.194623
2.0,1000,3,59,6.312838,1716.901068,0.000539,4.312838,716.901068,-999.999461,0.418214
2.0,1000,3,60,5.418203,1884.196422,0.002330,3.418203,884.196422,-999.997670,0.398709
2.0,1000,3,61,23.787271,1664.843665,0.000479,21.787271,664.843665,-999.999521,0.793684
2.0,1000,3,62,27.447476,1939.380987,0.001147,25.447476,939.380987,-999.998853,0.796403
2.0,1000,3,63,14.358042,2024.773946,0.000337,12.358042,1024.773946,-999.999663,0.720829
2.0,1000,3,64,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,65,12.048440,1493.257536,0.000290,10.048440,493.257536,-999.999710,0.787466
2.0,1000,3,66,8.930955,1589.379039,0.000176,6.930955,589.379039,-999.999824,0.701918
2.0,1000,3,67,8.572169,2232.643588,0.000206,6.572169,1232.643588,-999.999794,0.636629
2.0,1000,3,68,5.952008,2546.666327,0.000000,3.952008,1546.666327,-1000.000000,-0.256970
2.0,1000,3,69,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,70,5.546074,2108.554847,0.000544,3.546074,1108.554847,-999.999456,0.503746
