beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,1000,10,1,2.014714,4851.730376,6e-05,0.514714,-148.269624,-999.99994,0.838495
1.5,5000,1000,10,2,2.492657,5064.400046,6.2e-05,0.992657,64.400046,-999.999938,0.970717
1.5,5000,1000,10,3,2.910763,4864.073774,6e-06,1.410763,-135.926226,-999.999994,0.896714
1.5,5000,1000,10,4,1.51937,4948.230305,2.1e-05,0.01937,-51.769695,-999.999979,0.833195
1.5,5000,1000,10,5,1.211872,5419.133093,1251.88264,-0.288128,419.133093,251.88264,0.975811
1.5,5000,1000,10,6,1.429624,5253.932614,1786.144873,-0.070376,253.932614,786.144873,0.925514
1.5,5000,1000,10,7,1.984999,7400.268305,6.4e-05,0.484999,2400.268305,-999.999936,0.939099
1.5,5000,1000,10,8,2.781602,4972.7481,1515.239756,1.281602,-27.2519,515.239756,0.91115
1.5,5000,1000,10,9,1.220429,7520.064206,663.261746,-0.279571,2520.064206,-336.738254,0.960742
1.5,5000,1000,10,10,1.825138,4709.456091,9e-06,0.325138,-290.543909,-999.999991,0.927682
1.5,5000,1000,10,11,2.498413,5967.905514,519.139973,0.998413,967.905514,-480.860027,0.915897
1.5,5000,1000,10,12,1.759062,3971.863437,1723.911089,0.259062,-1028.136563,723.911089,0.952215
1.5,5000,1000,10,13,2.366435,5330.066562,0.0,0.866435,330.066562,-1000.0,0.93646
1.5,5000,1000,10,14,2.113803,5374.879771,0.00011,0.613803,374.879771,-999.99989,0.889344
1.5,5000,1000,10,15,1.501972,7330.405426,1082.522773,0.001972,2330.405426,82.522773,0.930366
1.5,5000,1000,10,16,2.405521,6699.220473,42.892273,0.905521,1699.220473,-957.107727,0.941309
1.5,5000,1000,10,17,2.26481,5903.075314,3.1e-05,0.76481,903.075314,-999.999969,0.899958
1.5,5000,1000,10,18,1.786088,4414.064198,521.84551,0.286088,-585.935802,-478.15449,0.932777
1.5,5000,1000,10,19,1.361942,4000.998931,1209.878039,-0.138058,-999.001069,209.878039,0.936424
1.5,5000,1000,10,20,1.767485,6255.501314,128.259543,0.267485,1255.501314,-871.740457,0.9509
1.5,5000,1000,10,21,1.758623,4934.873665,1502.145493,0.258623,-65.126335,502.145493,0.923551
1.5,5000,1000,10,22,1.902144,4854.533112,2.7e-05,0.402144,-145.466888,-999.999973,0.841842
1.5,5000,1000,10,23,1.448731,6401.608347,278.034126,-0.051269,1401.608347,-721.965874,0.932325
1.5,5000,1000,10,24,1.733312,6940.44861,7.2e-05,0.233312,1940.44861,-999.999928,0.871757
1.5,5000,1000,10,25,2.005538,6048.311667,1.1e-05,0.505538,1048.311667,-999.999989,0.92339
1.5,5000,1000,10,26,1.7,5395.927623,0.000135,0.2,395.927623,-999.999865,0.86905
1.5,5000,1000,10,27,1.488119,3053.872499,1308.534101,-0.011881,-1946.127501,308.534101,0.928682
1.5,5000,1000,10,28,2.06932,8466.509625,4.3e-05,0.56932,3466.509625,-999.999957,0.797973
1.5,5000,1000,10,29,1.736377,5616.573477,3e-06,0.236377,616.573477,-999.999997,0.88136
1.5,5000,1000,10,30,1.032603,4747.581595,780.63915,-0.467397,-252.418405,-219.36085,0.925828
1.5,5000,1000,10,31,2.084875,4694.018189,1304.496551,0.584875,-305.981811,304.496551,0.955246
1.5,5000,1000,10,32,2.3,5123.099177,1808.932917,0.8,123.099177,808.932917,0.902359
1.5,5000,1000,10,33,1.300014,4479.172889,918.866302,-0.199986,-520.827111,-81.133698,0.966837
1.5,5000,1000,10,34,1.67666,5017.074081,1407.374769,0.17666,17.074081,407.374769,0.915095
1.5,5000,1000,10,35,1.665371,5430.59466,2.2e-05,0.165371,430.59466,-999.999978,0.79459
1.5,5000,1000,10,36,2.026476,6447.64435,0.0,0.526476,1447.64435,-1000.0,0.942399
1.5,5000,1000,10,37,1.65466,4558.949187,641.816508,0.15466,-441.050813,-358.183492,0.940371
1.5,5000,1000,10,38,1.459772,3057.460004,2919.548652,-0.040228,-1942.539996,1919.548652,0.934906
1.5,5000,1000,10,39,1.791329,7292.950305,3.6e-05,0.291329,2292.950305,-999.999964,0.815742
1.5,5000,1000,10,40,1.80374,4483.732423,4.6e-05,0.30374,-516.267577,-999.999954,0.807794
1.5,5000,1000,10,41,1.28807,4169.114862,1022.543571,-0.21193,-830.885138,22.543571,0.950075
1.5,5000,1000,10,42,1.246392,4437.988684,1062.925327,-0.253608,-562.011316,62.925327,0.865173
1.5,5000,1000,10,43,2.239584,5456.246676,3e-06,0.739584,456.246676,-999.999997,0.830739
1.5,5000,1000,10,44,3.012318,6174.746276,3e-06,1.512318,1174.746276,-999.999997,0.90819
1.5,5000,1000,10,45,2.162016,6036.42208,2.3e-05,0.662016,1036.42208,-999.999977,0.691487
1.5,5000,1000,10,46,1.343369,7471.310262,1038.77803,-0.156631,2471.310262,38.77803,0.896321
1.5,5000,1000,10,47,1.817535,7859.905119,2e-06,0.317535,2859.905119,-999.999998,0.945136
1.5,5000,1000,10,48,1.860632,5576.128619,2.6e-05,0.360632,576.128619,-999.999974,0.872388
