beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,1000,30,1,1.72181,767.204797,1033.877934,-0.27819,-232.795203,33.877934,0.942799
2.0,1000,1000,30,2,2.955698,1225.626515,788.391994,0.955698,225.626515,-211.608006,0.937806
2.0,1000,1000,30,3,4.000002,2069.687394,0.000115,2.000002,1069.687394,-999.999885,0.725526
2.0,1000,1000,30,4,1.527517,786.980725,1237.687762,-0.472483,-213.019275,237.687762,0.969976
2.0,1000,1000,30,5,1.693628,1012.028354,1031.418713,-0.306372,12.028354,31.418713,0.942565
2.0,1000,1000,30,6,3.646365,2173.38768,0.000164,1.646365,1173.38768,-999.999836,0.924236
2.0,1000,1000,30,7,1.910257,1186.58133,961.56581,-0.089743,186.58133,-38.43419,0.895375
2.0,1000,1000,30,8,1.813692,880.872946,1002.587649,-0.186308,-119.127054,2.587649,0.911976
2.0,1000,1000,30,9,2.292924,1099.437205,977.005827,0.292924,99.437205,-22.994173,0.969516
2.0,1000,1000,30,10,3.56018,2187.964023,2.8e-05,1.56018,1187.964023,-999.999972,0.875857
2.0,1000,1000,30,11,2.128964,775.785732,1103.053199,0.128964,-224.214268,103.053199,0.978307
2.0,1000,1000,30,12,2.399868,946.462055,1053.592899,0.399868,-53.537945,53.592899,0.972225
2.0,1000,1000,30,13,1.749677,952.495787,1133.9284,-0.250323,-47.504213,133.9284,0.967712
2.0,1000,1000,30,14,1.654001,753.382267,1163.404802,-0.345999,-246.617733,163.404802,0.971626
2.0,1000,1000,30,15,1.542174,937.250454,1079.667701,-0.457826,-62.749546,79.667701,0.989053
2.0,1000,1000,30,16,2.778307,1401.042922,715.458288,0.778307,401.042922,-284.541712,0.968808
2.0,1000,1000,30,17,2.097195,835.602632,1068.666425,0.097195,-164.397368,68.666425,0.975453
2.0,1000,1000,30,18,1.897341,1034.923929,920.158444,-0.102659,34.923929,-79.841556,0.975777
2.0,1000,1000,30,19,1.671167,951.184722,996.074667,-0.328833,-48.815278,-3.925333,0.976732
