beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,1000,10,1,3.822597,461.541741,1559.125651,-3.177403,-538.458259,559.125651,0.895902
7,1000,10,2,3.538568,429.846239,1575.975982,-3.461432,-570.153761,575.975982,0.902364
7,1000,10,3,2.000000,339.379498,1648.884730,-5.000000,-660.620502,648.884730,0.906714
7,1000,10,4,3.035283,580.220596,1463.165184,-3.964717,-419.779404,463.165184,0.903565
7,1000,10,5,1.632354,223.859829,1761.767351,-5.367646,-776.140171,761.767351,0.949734
7,1000,10,6,1.900920,312.467503,1686.499006,-5.099080,-687.532497,686.499006,0.936564
7,1000,10,7,5.329704,625.893783,1463.022873,-1.670296,-374.106217,463.022873,0.604520
7,1000,10,8,3.927873,493.530951,1496.008032,-3.072127,-506.469049,496.008032,0.887461
7,1000,10,9,5.091757,658.246902,1311.254110,-1.908243,-341.753098,311.254110,0.787068
7,1000,10,10,5.242883,807.578810,1105.501643,-1.757117,-192.421190,105.501643,0.683094
7,1000,10,11,2.000000,314.148305,1654.971862,-5.000000,-685.851695,654.971862,0.877236
7,1000,10,12,3.587377,760.066821,1252.009497,-3.412623,-239.933179,252.009497,0.918799
7,1000,10,13,4.771081,608.317511,1421.908774,-2.228919,-391.682489,421.908774,0.880960
7,1000,10,14,2.001347,208.145447,1721.990334,-4.998653,-791.854553,721.990334,0.896353
7,1000,10,15,2.576487,566.671119,1454.364676,-4.423513,-433.328881,454.364676,0.824841
7,1000,10,16,3.840173,604.463492,1388.134390,-3.159827,-395.536508,388.134390,0.879539
7,1000,10,17,3.425957,467.379276,1515.136904,-3.574043,-532.620724,515.136904,0.722585
7,1000,10,18,5.035274,534.052967,1499.616026,-1.964726,-465.947033,499.616026,0.813564
7,1000,10,19,2.937606,333.166815,1774.985807,-4.062394,-666.833185,774.985807,0.854020
7,1000,10,20,1.400344,293.472904,1739.386217,-5.599656,-706.527096,739.386217,0.921342
7,1000,10,21,3.016952,407.736554,1647.133905,-3.983048,-592.263446,647.133905,0.915244
7,1000,10,22,2.637638,590.789617,1439.479978,-4.362362,-409.210383,439.479978,0.920669
7,1000,10,23,3.825576,344.832224,1709.326637,-3.174424,-655.167776,709.326637,0.831363
7,1000,10,24,5.014308,681.055552,1298.634887,-1.985692,-318.944448,298.634887,0.858438
7,1000,10,25,1.452713,126.277417,1790.132946,-5.547287,-873.722583,790.132946,0.935858
7,1000,10,26,1.905739,384.865108,1606.040149,-5.094261,-615.134892,606.040149,0.921628
7,1000,10,27,1.616439,237.032508,1734.563619,-5.383561,-762.967492,734.563619,0.909582
7,1000,10,28,1.728572,296.381919,1702.608147,-5.271428,-703.618081,702.608147,0.944573
7,1000,10,29,2.319857,369.018752,1596.804480,-4.680143,-630.981248,596.804480,0.884620
7,1000,10,30,1.428712,285.138549,1678.654763,-5.571288,-714.861451,678.654763,0.949064
7,1000,10,31,4.863960,726.672394,1233.012277,-2.136040,-273.327606,233.012277,0.846083
7,1000,10,32,5.162269,740.728745,1134.425884,-1.837731,-259.271255,134.425884,0.755071
7,1000,10,33,5.071902,736.388934,1317.573141,-1.928098,-263.611066,317.573141,0.778211
7,1000,10,34,4.900000,790.066019,1249.251980,-2.100000,-209.933981,249.251980,0.884275
7,1000,10,35,3.762706,536.170529,1429.193562,-3.237294,-463.829471,429.193562,0.846210
7,1000,10,36,4.173851,775.047083,1267.434503,-2.826149,-224.952917,267.434503,0.897257
7,1000,10,37,5.227191,572.235947,1344.424805,-1.772809,-427.764053,344.424805,0.670603
7,1000,10,38,3.337091,432.829915,1489.919000,-3.662909,-567.170085,489.919000,0.877417
7,1000,10,39,5.157294,730.397116,1265.458928,-1.842706,-269.602884,265.458928,0.759511
7,1000,10,40,4.497525,726.400888,1281.182925,-2.502475,-273.599112,281.182925,0.825839
7,1000,10,41,2.261348,308.107893,1699.763071,-4.738652,-691.892107,699.763071,0.906066
7,1000,10,42,1.546125,199.349292,1725.262758,-5.453875,-800.650708,725.262758,0.960262
7,1000,10,43,2.711544,281.087970,1673.848400,-4.288456,-718.912030,673.848400,0.854692
7,1000,10,44,5.236482,906.078898,1032.384749,-1.763518,-93.921102,32.384749,0.713663
7,1000,10,45,5.402277,713.494768,1307.817884,-1.597723,-286.505232,307.817884,0.502220
7,1000,10,46,2.649166,357.349250,1654.873459,-4.350834,-642.650750,654.873459,0.886868
7,1000,10,47,5.107409,946.262356,1043.809092,-1.892591,-53.737644,43.809092,0.768486
7,1000,10,48,1.633954,267.733103,1682.373121,-5.366046,-732.266897,682.373121,0.871875
7,1000,10,49,2.100000,286.023488,1613.424264,-4.900000,-713.976512,613.424264,0.924906
7,1000,10,50,5.036305,855.257262,1140.083482,-1.963695,-144.742738,140.083482,0.786512
7,1000,10,51,3.800556,643.513872,1371.629147,-3.199444,-356.486128,371.629147,0.850616
7,1000,10,52,2.126586,335.127884,1558.688129,-4.873414,-664.872116,558.688129,0.956509
