n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
15,0.5,100.0,50.0,50.18034443631889,50.44214278816924,50.7993046395478,51.36196922159034,52.45447519607785,52.56475515706375,57.15780755212148,78.8333494231097,106.32576329025824,119.75291575573075,148.93417061929728,202.3626340865661,226.0026129400623,438.02861636212793,1240.9026328729954
15,0.5,100.0,50.0,53.912170885780625,63.05629600068449,69.8685542235488,71.31036568410296,88.71113845459027,97.01003265889699,114.89207802288533,124.46810868437808,138.76582725325733,146.0091556598555,158.16107810089446,232.70695315142657,358.28741387574365,981.9036848657511,1327.3801278406643
15,0.5,100.0,50.0,51.84084501959799,52.963189485333814,59.103456393164606,81.20235452147148,95.34471706155907,105.90083293853758,125.0068219537643,174.5098168593675,191.8352304806627,193.371834366199,270.6528994142092,284.70498896680857,505.8490113902154,1126.5645028290362,1282.952360821041
15,0.5,100.0,50.0,50.54755279093774,51.306964440249,53.312894825087845,59.471166922360645,63.565096415791075,64.0344351504446,70.36615879281257,80.77194214492269,87.0205846035119,99.16576706260658,140.7848152676933,170.93841348223106,334.6110622775684,736.3658485732601,859.2558972855875
15,0.5,100.0,50.0,50.93597627389209,51.82015285581334,62.939511499038176,100.02771096646462,104.57512121000576,113.48851052301112,113.7173528821711,133.40334001445575,170.71275848489165,202.5797965100089,285.1118079812221,299.1223476704255,374.37858240680714,378.80525714972254,791.6422350487848
15,0.5,100.0,50.0,51.75061272155308,52.44345036899703,52.717986003191925,63.52207504817345,99.846260639393,100.6281027476852,104.99090293607722,124.74057856447195,177.04424120471208,198.24834521862684,270.96664318048306,276.1836064960085,361.0705369046019,824.271683185193,1189.4070891299582
15,0.5,100.0,50.0,50.012418318443316,50.44476940788921,50.44726673218283,51.198099675245906,53.39014287983768,55.18604814512377,55.43506746090816,61.50850939916572,72.6729143181789,75.34003970796454,94.31978855381043,104.10851855617733,298.2634094096335,454.07823085486666,534.5927328420064
15,0.5,100.0,50.0,50.011319343214446,50.46810272918595,55.75876223218431,56.587170737304945,58.950961826078206,68.21701251631208,87.35930704076347,116.19713852395796,123.32787958672539,170.83581312333735,222.8912217368147,232.05628502274857,263.31055567106904,265.4226275571689,299.41268150752967
15,0.5,100.0,50.0,51.4039045578226,54.10868553720861,59.48964723769184,89.98521898952478,96.44170072223977,112.92394254020502,153.93354773580234,200.15832650448291,265.59392301221743,300.15951797542255,324.5576804747528,328.84569314300535,380.82676603823387,771.4349921289996,1708.4205042346912
15,0.5,100.0,50.0,52.18226498995176,52.59982167938923,52.902129793915634,53.20424392338642,56.2848370510324,75.49150569691545,85.75667364285064,99.01754538749015,111.45351195862554,122.11075089938436,132.17829965839212,221.8887815290274,359.40830393052323,369.11984206073896,878.8847039130249
15,0.5,100.0,50.0,50.000023673159056,50.64688502016186,60.89470083431339,64.46306693304034,70.52608936154982,78.97709485163675,79.66980516409348,104.24980165766607,118.34783018477307,227.73582116313682,255.12815207631618,256.42157278838806,335.6611572936517,435.2297161559632,499.91143655969796
15,0.5,100.0,50.0,50.049927944494,50.111919158889904,52.60276622216123,59.45609600889071,59.77674631661801,68.07824365824361,74.99921344871221,78.13456169906661,105.59093620684607,128.0724883001158,260.3778278819648,265.7757284279097,495.2967382375596,526.0959937248238,857.6345328392554
