n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7
7,0.5,100.0,50.0,50.28869445689957,54.987652101048454,60.59020068577598,100.2219942636233,117.7779616408161,842.550930225761,965.7929486261688
7,0.5,100.0,50.0,50.75415840418457,54.532119402051855,55.52939844068834,75.33657466449877,365.9208142660013,389.30645315828633,666.4482203015572
7,0.5,100.0,50.0,50.25599535651763,56.401717430567054,57.81739094538226,80.17036821844148,83.80150739340529,118.64183527521028,459.59378789574527
7,0.5,100.0,50.0,53.876348906887806,65.67536044617452,66.27503903807485,87.45519835329986,166.3702752737558,209.85536189202202,259.61895055301824
7,0.5,100.0,50.0,50.970631781920446,65.31913957108264,103.85711416010935,104.81961129679172,175.57063159729051,296.091772674126,502.63759264152804
7,0.5,100.0,50.0,71.4943479753577,73.88136027088619,132.37935346542602,138.8206842321134,139.62441227017814,858.5224393700344,877.9944125813884
7,0.5,100.0,50.0,53.40513888593329,58.20315190369687,82.61327990706394,93.58744149135305,332.5005607880755,544.9684460802059,858.1369340919919
7,0.5,100.0,50.0,50.059053688102466,50.59922113267966,58.92644289073889,72.18865664235811,73.77940359129413,100.03521709058275,278.475380938291
7,0.5,100.0,50.0,52.224080802889375,55.02725265438525,73.94325060279539,98.98262172481131,108.67140727542507,133.89430632655186,1902.3328619241252
7,0.5,100.0,50.0,50.04007596829443,50.191575944294286,50.27447535768385,50.872391857919304,53.277320769868034,125.56171094943392,298.47901002840484
7,0.5,100.0,50.0,50.26982898072245,50.892466359964686,51.03390478384552,53.79973164568898,54.088950721856676,60.09522932612008,334.96888018110883
7,0.5,100.0,50.0,54.66353273962285,55.01884602437074,55.92144117189683,57.169445559778396,74.34804945504804,592.3186979826037,599.015927917057
7,0.5,100.0,50.0,52.21099202374331,80.61967903398444,105.4504343002078,164.93197412269848,179.4799172461343,274.54472167384654,1476.0101276132937
7,0.5,100.0,50.0,50.8027064317748,77.76039292072014,115.87393994257543,233.74808246181456,390.66704268345586,653.1291090899641,717.0442918543117
7,0.5,100.0,50.0,51.51643103451326,87.77507009526371,111.62079057797263,143.7651543958358,261.38999283470645,326.7845199256811,593.1171101047123
7,0.5,100.0,50.0,67.12166372508236,67.65808515734841,75.93213100389966,101.38628525650806,123.4311450669412,288.62751333483857,1062.3231373138592
7,0.5,100.0,50.0,51.292346845177775,56.807115227970044,58.54545561934904,63.30946068470543,133.1547916758822,186.9982850638642,192.35721014457945
7,0.5,100.0,50.0,51.642329381076465,53.43708839129484,57.598521165750334,60.192747761410324,80.0571452029825,92.21440395600996,139.25867957774472
7,0.5,100.0,50.0,51.96147982508101,52.0022912614391,62.3089460073048,69.91067336265283,251.74963618744556,341.8360831193446,892.6781205888478
7,0.5,100.0,50.0,50.031167752236236,80.60119276963783,146.95457876113727,257.343633422194,302.74159650798185,316.2660148791392,364.66185641855964
7,0.5,100.0,50.0,53.88988792184486,56.07833170049101,62.54685181200344,78.91704267773046,191.61654577308133,206.5330175603943,405.24923453876585
7,0.5,100.0,50.0,50.74952495250732,50.79810813920126,53.82397397865931,53.974881601301966,59.6652575743294,96.80466670566966,144.46522103446426
7,0.5,100.0,50.0,55.196603475501796,71.3356752751628,84.23283772654209,90.26667516149125,146.54151314573704,161.59435134792716,273.8140064731367
7,0.5,100.0,50.0,50.573669041498086,51.766483842177,69.06492653659177,77.85679118899782,121.47916786705537,239.2506379298426,327.4025595496035
7,0.5,100.0,50.0,97.43062557032007,102.8617486576101,108.83711207085352,115.89624095591806,180.08872567618312,439.11892167878534,445.82677052678486
7,0.5,100.0,50.0,53.854999371220636,54.69340529465465,55.48078325170424,94.6693654667693,106.93728250474928,524.3132255323636,565.678118260496
7,0.5,100.0,50.0,50.43968377734857,53.02748386877626,54.03716494507409,66.89002086310083,111.1547090167519,520.5501762040411,642.3807377066238
7,0.5,100.0,50.0,50.45203302032116,50.96908269098612,58.05855183503026,79.49764356277701,92.40224401141573,935.8395868017194,3485.624680252344
7,0.5,100.0,50.0,51.33769219676444,51.67091866187149,55.309548944777895,92.70382418101613,118.2588460606965,131.19367109427537,187.3423191559243
7,0.5,100.0,50.0,50.323688933069846,50.440736696618394,51.0807701631204,54.96268293241012,451.3678915043389,454.8931991465966,488.1841037190508
7,0.5,100.0,50.0,53.84163186871447,66.17669596966982,72.22980463884923,74.98367153044114,105.1510126592793,128.01112147548372,179.54348138352088
7,0.5,100.0,50.0,50.00404235776543,54.65830511092412,77.9242740312138,221.7867722745489,351.49216981290584,1111.7216672666266,1352.9868219112102
7,0.5,100.0,50.0,52.728125110916984,93.09917397438745,112.23129508030948,260.5061558840806,279.851352438374,556.367683906929,587.144382760942
7,0.5,100.0,50.0,50.17280323941082,50.63711136905811,92.0382795647651,105.30430558493148,119.10869972322601,255.53665308293034,313.28706816233256
7,0.5,100.0,50.0,63.268045023710364,80.20333281152107,85.20131210049448,100.7742392178182,401.69680032603424,491.25129533511574,3058.311614618716
7,0.5,100.0,50.0,50.00000189414666,78.60259573647778,145.8331585734523,192.93469467113007,194.6130898543055,359.15091583038037,491.4847416058639
7,0.5,100.0,50.0,50.35270658125768,61.879269742616664,75.13213202514692,77.02508162379739,114.73848100340327,463.41352683423685,495.61540367566204
7,0.5,100.0,50.0,50.24689340073611,97.55236663667037,113.95826798797158,198.73845996791232,240.40279804661736,240.84004658178938,284.5181929696014
7,0.5,100.0,50.0,51.53960600353603,56.95944987513577,148.11290706676056,149.10059323977836,153.7752799746624,627.6201729808477,3353.503410145456
7,0.5,100.0,50.0,83.58345867778698,122.33168676398788,349.49532105308305,501.4721436635556,1072.039229475813,1091.2129964444127,2134.1370848533656
7,0.5,100.0,50.0,52.988209246823544,62.028079492070546,66.42687866520328,197.0778688983153,234.6139682867588,283.3870091510065,1083.911453454121
7,0.5,100.0,50.0,52.18286796399066,53.78982708707644,79.83220725826229,79.95092600092158,88.27464217460154,166.38489158915735,460.6156391834222
7,0.5,100.0,50.0,50.0039004926701,50.04933642312295,58.514441908778124,84.16942665937988,131.67188657345207,145.33977933658875,321.6351292344595
7,0.5,100.0,50.0,51.11764630396385,55.23551665964299,56.50151460548752,58.56051951711252,205.57937790840742,297.0883759553526,483.05192012221136
7,0.5,100.0,50.0,58.888774863081814,74.58639777904087,122.30715485518137,170.66282840687637,519.6035067933452,693.0752320235162,1506.1141237065992
7,0.5,100.0,50.0,74.00891820473821,121.28857015811796,124.721026309654,152.71851759565703,156.9871830030004,176.35813995064655,2042.7935230047776
7,0.5,100.0,50.0,50.4383996948325,53.28348942067926,60.95332591500428,87.7881433766185,125.95455504922685,283.910103473155,397.4470792058543
7,0.5,100.0,50.0,56.952173725186334,100.61331444260867,121.11546923627016,154.38691804005944,440.79831613227384,570.5042007593503,1107.6411891675423
7,0.5,100.0,50.0,50.07179541606271,56.39460754772334,80.81231010435354,88.47845180378357,117.76525576531341,154.5304106261495,222.49511673877106
7,0.5,100.0,50.0,51.19078913248682,52.89620540615731,64.75902433778091,69.16536833585964,200.90167449703765,263.62279997215296,700.8832431928026
7,0.5,100.0,50.0,60.22560337810357,111.36688378765257,111.54254032722338,123.3578099210384,125.2451992164333,155.1394022157327,212.67814908263105
7,0.5,100.0,50.0,53.500696432363846,80.02545389193614,102.38164600804339,116.65820057394747,157.23569002310035,539.594280989186,692.4363537135799
7,0.5,100.0,50.0,51.34165200936052,73.34048563672633,106.37619955586749,108.5177635815569,165.18057152593735,277.0254143158963,978.0480396441993
7,0.5,100.0,50.0,56.81369300073836,76.8454467477152,108.30621115983953,122.9918375614818,292.57585478574526,404.9334652338397,1306.2384228322019
7,0.5,100.0,50.0,53.204607592170404,63.3588173452625,65.62942034442884,157.78512345353988,195.2076854457854,345.80196532472087,733.1315421304727
7,0.5,100.0,50.0,51.30925016165636,83.76287938650663,99.857589541462,104.02649111680229,165.71549196440685,438.9167524908066,549.53865198173
7,0.5,100.0,50.0,59.70665839328194,59.91619379425296,65.8754241032123,158.2677818273408,164.3352031972972,1278.5112921221685,2472.8126811566576
7,0.5,100.0,50.0,50.66329541152439,146.93543104388755,159.82151981631858,184.04050220383138,281.0827837408636,555.3891551485551,693.8849937326684
7,0.5,100.0,50.0,61.19822081290417,94.05843130855992,102.87004603229505,128.57962010075943,150.5254874181117,200.46517213073233,692.5410411875675
7,0.5,100.0,50.0,50.018202686792876,79.65904287151473,81.20728940328988,88.21054505389517,125.53016951088757,281.5264974314415,861.8571696265949
7,0.5,100.0,50.0,52.81390746395416,76.04302391306894,82.00322711399812,198.34233571120632,387.2616554411212,663.1705105212656,921.6156002943512
7,0.5,100.0,50.0,50.05107582757104,50.068231984960775,90.37642706342814,128.5409609926029,129.49745673765966,143.26077163706503,204.58759881927278
7,0.5,100.0,50.0,64.06825308562611,67.37563443248871,80.31373170330379,90.83806928830647,104.55786218672017,324.5195792467635,778.3636676306236
7,0.5,100.0,50.0,53.76198219785071,54.05906453468459,59.59589368119198,61.37024409162162,118.71511302141631,498.19457696952725,605.6091760100013
7,0.5,100.0,50.0,52.12290871114174,58.34320128346309,96.97345475522808,144.15286455710412,206.6366331838376,376.1595242612921,630.6632857748157
7,0.5,100.0,50.0,62.448047385535496,81.95800141927222,95.49971344210147,100.10141359838937,131.31930034910124,389.534821081855,747.7672114113856
7,0.5,100.0,50.0,50.97772866182793,66.15177093712765,89.00776897701797,106.2789985834499,258.73167184360244,897.9969822725006,980.2571564982621
7,0.5,100.0,50.0,53.466414191066555,54.3774995339732,54.93589819932415,67.49558445638563,312.1004130595301,337.978427150589,538.1125923110241
7,0.5,100.0,50.0,50.13261967332313,55.02904828059883,56.77247887328344,110.55089652408691,185.86145288072458,649.13881139685,2201.056831341414
7,0.5,100.0,50.0,61.49198190395403,62.047163443873444,64.20336981186941,137.25753808360383,160.24384540424376,350.36759717112864,799.5721863374844
7,0.5,100.0,50.0,53.62485396233798,74.38951362895551,78.39014094069458,81.15601814447689,104.17591443439208,157.35532277923136,517.5160772027887
7,0.5,100.0,50.0,51.15481462394094,57.23310079040676,60.225019803957736,61.87909514208282,64.81094603271036,127.59528108651357,1130.1521198906248
7,0.5,100.0,50.0,53.09135437476913,56.802003324251324,87.95234264119306,114.34615588995307,125.02884521671636,130.83851670421978,223.31280114024125
7,0.5,100.0,50.0,76.09750991600818,82.50066460184951,94.97735156611293,255.68821807048167,383.14022133900534,471.98768515601773,1475.793792723962
7,0.5,100.0,50.0,55.6441408139426,70.50144438276658,78.02724568986164,139.0054057862684,182.0433134743242,207.22822607132397,770.6595404783064
7,0.5,100.0,50.0,51.51795897940976,83.02499497820052,110.38664178888283,217.96258401228707,432.06756100580156,553.863457992125,2416.0997221643593
7,0.5,100.0,50.0,51.47924328426186,51.98713782895246,52.69335414942615,68.7054010686796,91.49133325739703,129.96768549178,450.03147185082986
7,0.5,100.0,50.0,50.02767051809391,55.60472454218843,61.323784780074064,84.86489889367573,219.0193414994323,219.42983417468304,279.58805719813597
