epoch,train_loss,val_loss,lr
1,0.46889698,0.39292347,0.001
2,0.36565726,0.35700753,0.001
3,0.34411012,0.33269271,0.001
4,0.33205534,0.32651919,0.001
5,0.32306149,0.33048128,0.001
6,0.31762892,0.30828391,0.001
7,0.31249375,0.30520648,0.001
8,0.30633168,0.2970288,0.001
9,0.30205323,0.29432999,0.001
10,0.29760961,0.28589678,0.001
11,0.29338366,0.31221455,0.001
12,0.28845632,0.31233683,0.001
13,0.2818022,0.27765451,0.001
14,0.27782348,0.27058255,0.001
15,0.27581515,0.27219509,0.001
16,0.27303736,0.27035939,0.001
17,0.27011512,0.28474559,0.001
18,0.27084062,0.2657358,0.001
19,0.26786395,0.2717954,0.001
20,0.26819143,0.26632458,0.001
21,0.26755026,0.26605252,0.001
22,0.26565666,0.27457035,0.001
23,0.2649152,0.26441711,0.001
24,0.264908,0.26455424,0.001
25,0.2628626,0.2645361,0.001
26,0.26370398,0.26318413,0.001
27,0.2647802,0.26148284,0.001
28,0.2625312,0.26277093,0.001
29,0.26152285,0.29205429,0.001
30,0.26183776,0.25839413,0.001
31,0.26041428,0.25518754,0.001
32,0.25950678,0.25787768,0.001
33,0.25934403,0.25988846,0.001
34,0.25963961,0.2565955,0.001
35,0.25820908,0.26456957,0.001
36,0.26052998,0.26305541,0.001
37,0.25790751,0.25950117,0.001
38,0.25805343,0.26367446,0.001
39,0.25576175,0.25956423,0.001
40,0.25701241,0.26336793,0.001
41,0.25950775,0.26827273,0.001
42,0.25619113,0.26764314,0.001
43,0.24936331,0.25665938,0.0005
44,0.24923191,0.25288508,0.0005
45,0.24830855,0.25253148,0.0005
46,0.24796526,0.2486678,0.0005
47,0.24755651,0.25281048,0.0005
48,0.24787056,0.25389528,0.0005
49,0.24773578,0.25087382,0.0005
50,0.24763525,0.25252637,0.0005
51,0.24718286,0.25382277,0.0005
52,0.2471352,0.25015641,0.0005
53,0.24710756,0.25189381,0.0005
54,0.24686253,0.25700926,0.0005
55,0.24631589,0.250339,0.0005
56,0.24602501,0.25142093,0.0005
57,0.24669419,0.26031627,0.0005
58,0.24249885,0.24926898,0.00025
59,0.2419494,0.24948407,0.00025
60,0.24214424,0.2520866,0.00025
61,0.24174586,0.25544557,0.00025
62,0.24172248,0.24810788,0.00025
63,0.24223288,0.24954461,0.00025
64,0.24147704,0.24843423,0.00025
65,0.24199472,0.24996137,0.00025
66,0.24164344,0.249613,0.00025
67,0.2409828,0.2487063,0.00025
68,0.24073582,0.2532295,0.00025
69,0.24162508,0.24797432,0.00025
70,0.24127831,0.24861158,0.00025
71,0.24073499,0.25116041,0.00025
72,0.24073688,0.25000926,0.00025
73,0.24104313,0.25285448,0.00025
74,0.2409523,0.24916531,0.00025
75,0.2411914,0.24862448,0.00025
76,0.24003839,0.24951943,0.00025
77,0.24116695,0.25676011,0.00025
78,0.24024165,0.25183025,0.00025
79,0.24141284,0.24982807,0.00025
80,0.23987933,0.24831486,0.00025
81,0.23781931,0.24879161,0.000125
82,0.23787217,0.24725789,0.000125
83,0.23785146,0.24721678,0.000125
84,0.23756214,0.24820056,0.000125
85,0.23756321,0.24726647,0.000125
86,0.23760944,0.25010193,0.000125
87,0.23754143,0.24732583,0.000125
88,0.23743635,0.24767588,0.000125
89,0.23723893,0.24744014,0.000125
90,0.23742849,0.24711307,0.000125
91,0.2369723,0.24754271,0.000125
92,0.23709718,0.24875367,0.000125
93,0.23714761,0.24823745,0.000125
94,0.23744424,0.24804038,0.000125
95,0.23703466,0.24791359,0.000125
96,0.23686864,0.24732165,0.000125
97,0.23687216,0.25004543,0.000125
98,0.23698387,0.24867911,0.000125
99,0.23707855,0.24765437,0.000125
100,0.23673675,0.24791442,0.000125
101,0.23656181,0.2481701,0.000125
102,0.23562232,0.24712337,6.25e-05
103,0.23545949,0.24743528,6.25e-05
104,0.23539686,0.24770081,6.25e-05
105,0.23522785,0.25159956,6.25e-05
106,0.23545511,0.24646757,6.25e-05
107,0.2353236,0.24753236,6.25e-05
108,0.23531611,0.24650668,6.25e-05
109,0.23510172,0.24763826,6.25e-05
110,0.23527267,0.24815963,6.25e-05
111,0.2353439,0.24652769,6.25e-05
112,0.23528457,0.24680036,6.25e-05
113,0.23519281,0.24759742,6.25e-05
114,0.2351369,0.24671347,6.25e-05
115,0.23503519,0.24833048,6.25e-05
116,0.23500617,0.24785161,6.25e-05
117,0.23507738,0.24730257,6.25e-05
118,0.23436625,0.24686718,3.125e-05
119,0.23434481,0.24704446,3.125e-05
120,0.23437538,0.24642778,3.125e-05
121,0.23436169,0.24657546,3.125e-05
122,0.23434181,0.24992263,3.125e-05
123,0.23424039,0.24647493,3.125e-05
124,0.23430531,0.24659246,3.125e-05
125,0.23423945,0.24744692,3.125e-05
126,0.2341201,0.24644068,3.125e-05
127,0.23429007,0.24648465,3.125e-05
128,0.23417364,0.24746376,3.125e-05
129,0.23413636,0.24676483,3.125e-05
130,0.23417523,0.24700014,3.125e-05
131,0.23415479,0.2466047,3.125e-05
132,0.23383784,0.24652181,1.5625e-05
133,0.233811,0.2465159,1.5625e-05
134,0.23373054,0.24674931,1.5625e-05
135,0.23381324,0.24648065,1.5625e-05
136,0.23380004,0.24642553,1.5625e-05
