epoch,train_loss,val_loss,lr
1,0.41302924,0.36015542,0.001
2,0.33042997,0.32784252,0.001
3,0.31664294,0.31133684,0.001
4,0.30715603,0.30252495,0.001
5,0.30060369,0.29601057,0.001
6,0.29473555,0.29444535,0.001
7,0.29153194,0.29289525,0.001
8,0.28996099,0.29452549,0.001
9,0.2876119,0.295372,0.001
10,0.28514984,0.28074661,0.001
11,0.28278303,0.288724,0.001
12,0.28128344,0.27792786,0.001
13,0.27854261,0.27752418,0.001
14,0.2778666,0.27835398,0.001
15,0.27712454,0.2822203,0.001
16,0.2758971,0.28192481,0.001
17,0.27516163,0.28335393,0.001
18,0.27516466,0.28848346,0.001
19,0.27271507,0.27533871,0.001
20,0.27330083,0.28024273,0.001
21,0.27044575,0.27188182,0.001
22,0.27131699,0.27043748,0.001
23,0.26919657,0.26958051,0.001
24,0.27086598,0.26959884,0.001
25,0.27028468,0.26768711,0.001
26,0.26898345,0.27336649,0.001
27,0.26808465,0.26993341,0.001
28,0.26791562,0.26713353,0.001
29,0.26794541,0.26914994,0.001
30,0.267066,0.27892301,0.001
31,0.26681932,0.26837471,0.001
32,0.26581366,0.28398545,0.001
33,0.26662777,0.27148952,0.001
34,0.26578086,0.27390803,0.001
35,0.26486689,0.26765671,0.001
36,0.26442778,0.26602595,0.001
37,0.2650019,0.28893908,0.001
38,0.26377539,0.27859302,0.001
39,0.26399758,0.27809737,0.001
40,0.26499143,0.26926294,0.001
41,0.26390219,0.26737519,0.001
42,0.26282121,0.26919253,0.001
43,0.26274752,0.270006,0.001
44,0.26359549,0.2723904,0.001
45,0.26258616,0.26628863,0.001
46,0.26209907,0.27364111,0.001
47,0.26332748,0.27338917,0.001
48,0.25644599,0.26559992,0.0005
49,0.25557642,0.2632993,0.0005
50,0.25545535,0.2634709,0.0005
51,0.25605351,0.26316663,0.0005
52,0.25548153,0.26553451,0.0005
53,0.25486088,0.26799384,0.0005
54,0.2548516,0.26268936,0.0005
55,0.25506964,0.26076604,0.0005
56,0.25444826,0.26076596,0.0005
57,0.25507638,0.26203434,0.0005
58,0.25448527,0.26285103,0.0005
59,0.25395787,0.26120019,0.0005
60,0.2546003,0.26226276,0.0005
61,0.25431552,0.25945002,0.0005
62,0.25366361,0.26647306,0.0005
63,0.25334819,0.26187051,0.0005
64,0.25384789,0.26124335,0.0005
65,0.25341903,0.26029926,0.0005
66,0.25383672,0.26385725,0.0005
67,0.253728,0.26100983,0.0005
68,0.25307276,0.26221549,0.0005
69,0.25353678,0.26324179,0.0005
70,0.25411977,0.25961527,0.0005
71,0.25297244,0.26631198,0.0005
72,0.25285822,0.26213432,0.0005
73,0.24994084,0.25856851,0.00025
74,0.24945389,0.25888281,0.00025
75,0.24947895,0.25895831,0.00025
76,0.24913589,0.26075506,0.00025
77,0.24924848,0.26075754,0.00025
78,0.24930602,0.25926288,0.00025
79,0.24918665,0.25955241,0.00025
80,0.24917935,0.25820747,0.00025
81,0.24898834,0.25949207,0.00025
82,0.2488428,0.25901899,0.00025
83,0.24865233,0.26000508,0.00025
84,0.24894046,0.25893704,0.00025
85,0.24865926,0.26099901,0.00025
86,0.24877979,0.25832993,0.00025
87,0.2486671,0.25794322,0.00025
88,0.24868323,0.25850826,0.00025
89,0.24856113,0.25977944,0.00025
90,0.24858912,0.26066145,0.00025
91,0.24826926,0.25838699,0.00025
92,0.24820007,0.25845158,0.00025
93,0.2484626,0.26195721,0.00025
94,0.24817292,0.25841115,0.00025
95,0.24817203,0.26068493,0.00025
96,0.24804851,0.25826037,0.00025
97,0.24819292,0.26068394,0.00025
98,0.24793456,0.25792422,0.00025
99,0.24640417,0.25651451,0.000125
100,0.24611468,0.25890986,0.000125
101,0.24609758,0.257079,0.000125
102,0.24619083,0.25784921,0.000125
103,0.24614112,0.25740724,0.000125
104,0.24602801,0.25682954,0.000125
105,0.2459168,0.25746985,0.000125
106,0.2460305,0.25817196,0.000125
107,0.24595368,0.25634558,0.000125
108,0.24613014,0.25674228,0.000125
109,0.24578594,0.25720579,0.000125
110,0.2456868,0.25751029,0.000125
111,0.245745,0.25808836,0.000125
112,0.24558415,0.25642808,0.000125
113,0.24563353,0.25775494,0.000125
114,0.24565716,0.25715219,0.000125
115,0.24566791,0.25871554,0.000125
116,0.24569018,0.2573834,0.000125
117,0.2454252,0.25673908,0.000125
118,0.24550243,0.2563772,0.000125
119,0.24460988,0.25650183,6.25e-05
120,0.24449466,0.2561231,6.25e-05
121,0.24448606,0.2565903,6.25e-05
122,0.24452784,0.2563499,6.25e-05
123,0.24454229,0.25655754,6.25e-05
124,0.2444632,0.25629698,6.25e-05
125,0.24452006,0.25628005,6.25e-05
126,0.24450577,0.25617265,6.25e-05
127,0.24449963,0.25672424,6.25e-05
128,0.24440519,0.25612491,6.25e-05
129,0.24443302,0.25710172,6.25e-05
130,0.24429486,0.25616447,6.25e-05
131,0.24433,0.25603454,6.25e-05
132,0.24427891,0.25624938,6.25e-05
133,0.24432624,0.25604194,6.25e-05
134,0.24429461,0.25614891,6.25e-05
135,0.24430205,0.25596198,6.25e-05
136,0.24419293,0.25617673,6.25e-05
137,0.24430377,0.25631505,6.25e-05
138,0.24427755,0.25602243,6.25e-05
139,0.24420142,0.25720448,6.25e-05
140,0.24419152,0.2562538,6.25e-05
141,0.24425667,0.25628556,6.25e-05
142,0.2441382,0.25601676,6.25e-05
143,0.24418447,0.25618556,6.25e-05
144,0.24418534,0.25652844,6.25e-05
145,0.24414487,0.25589883,6.25e-05
146,0.24413923,0.2575216,6.25e-05
147,0.24414692,0.25634454,6.25e-05
148,0.24417354,0.25602089,6.25e-05
149,0.24413506,0.25585027,6.25e-05
150,0.24411765,0.25607952,6.25e-05
151,0.24399213,0.25707633,6.25e-05
152,0.24409169,0.25687471,6.25e-05
153,0.24397086,0.25703093,6.25e-05
154,0.24412701,0.25594971,6.25e-05
155,0.24391681,0.25632776,6.25e-05
156,0.24401357,0.25615961,6.25e-05
157,0.24408217,0.25612533,6.25e-05
158,0.2440698,0.25632172,6.25e-05
159,0.24392209,0.25641074,6.25e-05
160,0.2439374,0.25660303,6.25e-05
161,0.24352749,0.25587388,3.125e-05
162,0.24348472,0.25600554,3.125e-05
163,0.24343782,0.25648464,3.125e-05
164,0.24338889,0.25609395,3.125e-05
165,0.24340667,0.25582669,3.125e-05
166,0.24332062,0.25564726,3.125e-05
167,0.2433464,0.25575428,3.125e-05
168,0.24336817,0.2558728,3.125e-05
169,0.24330715,0.25671426,3.125e-05
170,0.24330562,0.25599659,3.125e-05
171,0.24331076,0.25596889,3.125e-05
172,0.24331867,0.2559988,3.125e-05
173,0.24329067,0.25581403,3.125e-05
174,0.24321465,0.25599311,3.125e-05
175,0.24333835,0.25579638,3.125e-05
176,0.24333355,0.25602755,3.125e-05
177,0.24329389,0.25580087,3.125e-05
178,0.243053,0.25574552,1.5625e-05
179,0.24299244,0.25582033,1.5625e-05
180,0.24302651,0.25573339,1.5625e-05
181,0.24299209,0.2556869,1.5625e-05
182,0.24294607,0.25583048,1.5625e-05
183,0.24296282,0.25587068,1.5625e-05
184,0.24298893,0.25588572,1.5625e-05
185,0.2429916,0.25570078,1.5625e-05
186,0.24297014,0.25563797,1.5625e-05
187,0.24297918,0.25578803,1.5625e-05
188,0.24297866,0.25571106,1.5625e-05
189,0.24282569,0.25568774,7.8125e-06
