beta,eta,n,vs_0.01,vs_0.05,vs_0.1,vs_0.2,vs_0.5,vs_1.0
2.0,100.0,5,-262.0,1.3,1.3,1.3,14.3,30.7
2.0,100.0,5,-3.6,0.4,4.0,8.5,15.4,21.3
2.0,100.0,5,-0.3,-0.3,-0.3,-0.3,3.2,19.8
2.0,100.0,5,,-485.0,2.5,76.6,76.6,81.7
2.0,100.0,5,-8.6,-8.6,0.7,13.1,27.6,34.4
2.0,100.0,5,98.1,72.2,-19.1,-19.1,67.9,76.8
2.0,100.0,5,-0.3,-0.3,-0.3,1.1,2.5,5.1
2.0,100.0,5,58.5,-814.1,-509.4,12.9,34.7,47.8
2.0,100.0,5,99.0,93.2,80.4,29.3,,
2.0,100.0,5,98.7,90.6,58.9,-33.7,77.7,84.7
2.0,100.0,5,71.5,54.6,40.0,11.6,-29.2,-11.9
2.0,100.0,5,99.4,93.8,68.3,-280.9,77.6,
2.0,100.0,5,98.6,94.5,83.5,39.4,87.0,90.9
2.0,100.0,5,-65.1,-147.6,-128.6,1.0,1.0,12.6
2.0,100.0,5,98.8,93.0,83.3,59.1,7.9,-57.9
2.0,100.0,5,-176.3,-72.7,1.3,50.7,50.7,50.7
2.0,100.0,5,67.6,-84.8,-96.4,-1.4,10.2,25.2
2.0,100.0,5,-94.1,-45.5,-9.2,37.6,37.6,37.6
2.0,100.0,5,99.7,97.8,85.8,71.6,98.8,99.0
2.0,100.0,5,-4.2,-1.4,3.8,10.7,23.4,34.2
2.0,100.0,5,-32.7,0.5,0.5,5.2,26.3,37.8
2.0,100.0,5,95.7,47.4,-57.8,-116.9,33.3,40.2
2.0,100.0,5,-0.7,0.4,1.5,2.6,5.7,8.6
2.0,100.0,5,99.9,99.5,98.5,91.4,80.7,
2.0,100.0,5,-8.4,-0.9,4.0,9.9,18.7,24.0
2.0,100.0,5,0.1,0.1,0.1,1.1,2.2,4.3
2.0,100.0,5,,,,,,
2.0,100.0,5,63.7,47.4,19.0,4.3,12.3,44.6
2.0,100.0,5,-1.1,0.1,1.3,2.4,5.8,9.9
2.0,100.0,5,0.4,0.4,0.4,3.2,5.9,10.9
2.0,100.0,5,-0.2,-0.2,0.8,1.8,3.7,6.5
2.0,100.0,5,99.2,88.7,-13.0,62.3,95.8,96.7
2.0,100.0,5,96.8,29.9,-40.3,80.0,90.9,93.3
2.0,100.0,5,,,,,,
2.0,100.0,5,41.7,-35.9,8.2,8.2,29.4,42.7
2.0,100.0,5,-0.3,-0.3,0.6,0.6,2.5,3.5
2.0,100.0,5,51.6,37.1,20.3,12.6,-8.6,-8.6
2.0,100.0,5,99.4,94.5,78.9,11.2,75.3,
2.0,100.0,5,-74.8,-162.2,-4.9,80.6,82.5,86.6
2.0,100.0,5,-162.0,-0.2,-0.2,16.9,33.2,42.3
2.0,100.0,5,-20.6,4.2,14.3,23.4,33.5,39.1
2.0,100.0,5,91.8,55.3,6.5,6.5,42.6,
2.0,100.0,5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2.0,100.0,5,-12.2,-0.5,7.2,15.3,28.0,34.8
2.0,100.0,5,98.3,88.5,67.3,7.5,,
2.0,100.0,5,-32.7,1.4,12.6,20.7,29.6,34.9
2.0,100.0,5,98.1,92.5,72.3,17.0,95.8,97.3
2.0,100.0,5,-0.4,-0.4,-0.4,1.3,1.3,3.0
2.0,100.0,5,-12.6,-1.1,6.8,14.7,25.4,32.2
