delta,mse,mse_beta,mse_eta,mse_gamma,est_beta,est_eta,est_gamma,failure
0.001,,,,,,,,no_intersection
0.003,,,,,,,,no_intersection
0.005,,,,,,,,no_intersection
0.007,,,,,,,,no_intersection
0.009000000000000001,4.000103755625015,2.7534910319963206,0.3990689359910231,0.8475437876376718,5.3187292941704785,1631.7190324748994,79.37858615081531,
0.011,2.9491710990343294,2.0472790562993652,0.26073893245981317,0.6411531102751508,4.861663192131013,1510.6260201554687,199.2796304107465,
0.013000000000000001,2.2614784243357566,1.5814276647669578,0.17563164670623163,0.5044191128625674,4.515096550645289,1419.0842954659977,289.77530818580567,
0.015,1.7852099301632496,1.256251669824298,0.12045756234009222,0.4085006979988593,4.241652666961854,1347.069967499483,360.85940670392466,
0.017,1.4393919558752915,1.018302492599152,0.08317195471435024,0.33791750856178926,4.018219505008464,1288.3954831725875,418.6932749728511,
0.019000000000000003,1.179483089755065,0.8380736933432693,0.057288540935570884,0.28412085547622484,3.8309272987677794,1239.3502474107158,466.9701176517166,
0.021,0.9803902333242646,0.6989374728091093,0.03914902909566486,0.24230373141949035,3.6720496078874088,1197.861135889959,507.7564307992533,
0.023,0.8234442581039702,0.5883901068163916,0.026225603743788923,0.20882854754378966,3.5341318154792196,1161.9432114779404,543.022377414616,
0.025,0.6990235389876588,0.5000516156400611,0.017112406574641182,0.18185951677295656,3.4142865560275415,1130.814397428728,573.5501005124323,
0.027000000000000003,0.5970078016313944,0.42702864934522966,0.010610415160097154,0.15936873712606764,3.3069485825314318,1103.006869480133,600.7898584378553,
0.029,0.5141585789508344,0.3672274908887807,0.006157222462192095,0.14077386559986163,3.211985958481006,1078.467970932044,624.8015650354314,
0.031,0.4454431639008144,0.31720077108357636,0.00318230190237451,0.12506009091486353,3.1264115963244987,1056.4118950432842,646.3616382307152,
0.033,0.3878952319991219,0.27493158487941394,0.0013268106788746356,0.1116368364408333,3.0486783775389172,1036.425412542271,665.8790092783255,
0.035,0.33934676762216426,0.23894192333247005,0.00033137073238014334,0.10007347355731407,2.9776337214570088,1018.2035911946007,683.6560834197786,
0.037000000000000005,0.2980221867455457,0.20801029925039488,2.108071324261311e-06,0.09000977942382656,2.9121629224001486,1001.4519198752897,699.9837014030295,
0.039,0.26334244670737067,0.18178991442587972,0.00018816005584957346,0.08136437222564137,2.8527365699344194,986.2828554046561,714.7555921220517,
0.041,0.23370466520798108,0.159145839040646,0.0007668697312923467,0.07379195643604275,2.797861740004234,972.307587116823,728.3532506433351,
