delta,mse,est_beta,est_eta,est_gamma
0.005,9.638456892365443,1.160446529246854,983.5327382711836,3898.877315029556
0.01,9.642180527643374,1.1592674540317967,982.807715242148,3899.41685756779
0.015,9.645905235343443,1.158087898421206,982.0821033237514,3899.956400106024
0.02,9.649631016165802,1.1569078666925616,981.3558969895779,3900.495942644258
0.025,9.6533578665481,1.155727385271703,980.6290827851933,3901.035485182492
0.030000000000000002,9.657085787661856,1.1545464561484244,979.9016558904328,3901.5750277207258
0.034999999999999996,9.660814780667916,1.1533650814337018,979.1736114039043,3902.1145702589597
0.04,9.664544846717234,1.1521832633566487,978.4449443434718,3902.6541127971936
0.045,9.66827598695161,1.1510010042614307,977.7156496467517,3903.1936553354276
0.049999999999999996,9.672008202504594,1.149818306603438,976.9857221718833,3903.7331978736615
0.055,9.675741494502457,1.1486351729452466,976.2551566983745,3904.2727404118955
0.06,9.679475864065264,1.1474516059516893,975.523947928277,3904.8122829501294
0.065,9.683211312307886,1.1462676083856271,974.7920904871138,3905.351825488364
0.07,9.686947840341182,1.1450831831025725,974.0595789252305,3905.891368026598
0.07500000000000001,9.690685449273055,1.1438983330462007,973.3264077188287,3906.4309105648317
0.08,9.694424140209726,1.1427130612424121,972.592571271534,3906.9704531030657
0.085,9.698163914256646,1.1415273707956615,971.8580639151551,3907.5099956412996
0.09000000000000001,9.701904772519708,1.140341264883342,971.1228799111489,3908.0495381795336
0.095,9.705646716106216,1.1391547467517513,970.3870134515237,3908.5890807177675
0.1,9.709389746125824,1.1379678197119723,969.6504586597796,3909.1286232560014
0.10500000000000001,9.713133863691379,1.1367804871364695,968.9132095915932,3909.6681657942354
0.11,9.716879069919688,1.1355927524558727,968.1752602354409,3910.2077083324693
0.115,9.720625365932232,1.1344046191562331,967.4366045130524,3910.7472508707033
0.12000000000000001,9.724372109916148,1.1332194409192613,966.6960170492168,3911.2867934089372
0.125,9.728120589089105,1.132030521036218,965.9559287057743,3911.826335947171
0.13,9.7318701614436,1.1308412133105517,965.2151153596564,3912.365878485405
0.135,9.73562082583193,1.129651533391358,964.4735662994566,3912.905421023639
0.14,9.73937258263232,1.1284614890661295,963.7312736188063,3913.444963561873
0.14500000000000002,9.743125436733301,1.1272710646737587,962.9882379373372,3913.984506100107
0.15,9.746879389238952,1.1260802643716035,962.2444525947398,3914.524048638341
0.155,9.75063444126327,1.1248890923527384,961.4999108662603,3915.063591176575
0.16,9.754390593929584,1.12369755284994,960.7546059606991,3915.603133714809
0.165,9.758147848370136,1.122505650138824,960.0085310187075,3916.1426762530427
0.17,9.761906205725102,1.1213133885439877,959.2616791099633,3916.682218791277
0.17500000000000002,9.765665667141814,1.120120772443903,958.5140432307951,3917.221761329511
0.18000000000000002,9.769426233773727,1.1189278062775283,957.7656163011422,3917.761303867745
0.185,9.773187906779176,1.1177344945516434,957.0163911612384,3918.300846405979
0.19,9.776950687320355,1.116540841847391,956.2663605685614,3918.840388944213
0.195,9.780714576561833,1.1153468528290056,955.5155171939507,3919.379931482447
0.2,9.7844795756693,1.114152532251486,954.7638536180932,3919.919474020681
0.20500000000000002,9.7882456858079,1.1129578849704795,954.011362327162,3920.4590165589148
0.21000000000000002,9.792012908141192,1.1117629159487867,953.2580357096828,3920.9985590971487
0.215,9.79578124382915,1.1105676302681113,952.503866051427,3921.5381016353826
0.22,9.79955069402692,1.1093720331366528,951.7488455318214,3922.0776441736166
0.225,9.803321259883504,1.1081761298972872,950.9929662201132,3922.6171867118505
0.23,9.807092843239309,1.1069804471444429,950.2360256348559,3923.1567292500845
0.23500000000000001,9.810865655573195,1.1057838868190513,949.4784272332399,3923.6962717883184
0.24000000000000002,9.814639674787669,1.1045865760773326,948.7201180783698,3924.2358143265524
0.245,9.818414708298173,1.1033895378988436,947.9607095920662,3924.7753568647863
0.25,9.822190860927446,1.1021922339348418,947.2003966078275,3925.3148994030203
0.255,9.82596822432558,1.1009941944713797,946.4393490525612,3925.854441941254
0.26,9.829746578335936,1.0997965887952819,945.677121925032,3926.393984479488
0.265,9.833526065767428,1.0985986786934756,944.9139855259125,3926.933527017722
0.27,9.837306695922296,1.097400427542368,944.1499472087773,3927.4730695559565
0.275,9.841088569959844,1.0962013153054593,943.3851965207265,3928.0126120941904
0.28,9.844871705111295,1.0950012632520334,942.6197573158422,3928.5521546324244
0.28500000000000003,9.848655443388743,1.0938037488809929,941.8523102762476,3929.0916971706583
0.29000000000000004,9.85244050560902,1.0926049901423411,941.0842753010504,3929.6312397088923
0.295,9.856227004628465,1.0914044042206346,940.3158674599596,3930.170782247126
0.3,9.860014392007155,1.090204893963087,939.5459818019248,3930.71032478536
0.305,9.863802973711948,1.089004860278575,938.7752164206183,3931.249867323594
0.31,9.867592669494467,1.087804739533093,938.0033989560274,3931.789409861828
0.315,9.871383453021545,1.086604684262759,937.2304641767714,3932.328952400062
0.32,9.87517528216831,1.085404930681074,936.4563146889816,3932.868494938296
0.325,9.878968589527418,1.08420320865135,935.6818076396399,3933.40803747653
0.33,9.882762815577175,1.0830024858280827,934.9058059451778,3933.947580014764
0.335,9.886558191756752,1.0818015544133792,934.1287619764622,3934.487122552998
0.34,9.890354735447573,1.0806003366078751,933.3506980713055,3935.0266650912317
0.34500000000000003,9.894152421377983,1.079398980160485,932.5715503180788,3935.5662076294657
0.35000000000000003,9.897951250483864,1.0781974945210915,931.7913074769382,3936.1057501676996
0.35500000000000004,9.901751223684542,1.076995889365453,931.0099581394858,3936.6452927059336
0.36,9.905552341882386,1.075794174598905,930.2274907262803,3937.1848352441675
0.365,9.909354629985408,1.0745922331763633,929.4439423623091,3937.7243777824015
0.37,9.913158039165218,1.0733903385367538,928.6592000688263,3938.2639203206354
0.375,9.916962596014157,1.0721883650487714,927.8733040444924,3938.80346285887
0.38,9.920768301360262,1.0709863235862502,927.0862419959929,3939.3430053971038
0.385,9.924575156010754,1.0697842252813357,926.2980014424141,3939.8825479353377
0.39,9.928383160751672,1.0685820815278466,925.5085697128218,3940.4220904735716
0.395,9.932192316346848,1.0673799039885576,924.717933942308,3940.9616330118056
0.4,9.9360026235371,1.0661777046010257,923.9260810685937,3941.5011755500395
0.405,9.939814083039318,1.0649754955842636,923.1329978282895,3942.0407180882735
0.41000000000000003,9.943626695545591,1.0637732894449783,922.3386707533161,3942.5802606265074
0.41500000000000004,9.94744046172248,1.0625710989831445,921.5430861675711,3943.1198031647414
0.42000000000000004,9.951255382209757,1.0613689373004722,920.7462301824642,3943.6593457029753
0.425,9.9550714576195,1.0601668178068575,919.9480886932251,3944.1988882412093
0.43,9.958888688535374,1.0589647542260126,919.1486473755206,3944.738430779443
0.435,9.96270707589963,1.0577627585392353,918.3478924860004,3945.277973317677
0.44,9.966526620045661,1.0565608461300098,917.5458088572068,3945.817515855911
0.445,9.97034732123496,1.0553590329332982,916.7423810040971,3946.357058394145
0.45,9.974169179925982,1.054157334006743,915.9375936811982,3946.896600932379
0.455,9.97799218715135,1.052955814759341,915.1314118299158,3947.436143470613
0.46,9.981816337881362,1.0517545198619562,914.3238083371976,3947.975686008847
0.465,9.985641647735182,1.0505533842004215,913.51479900175,3948.515228547081
0.47000000000000003,9.989468117032136,1.049352424264747,912.7043676026873,3949.0547710853148
0.47500000000000003,9.99329574605165,1.0481516569353257,911.892497658748,3949.594313623549
0.48000000000000004,9.997124535031885,1.0469510994917834,911.0791724235935,3950.133856161783
0.485,10.000954484168371,1.0457507696221717,910.2643748809578,3950.673398700017
0.49,10.004785593612521,1.044550685432351,909.4480877397339,3951.212941238251
0.495,10.008617863470219,1.04335086545535,908.6302934290622,3951.752483776485
0.5,10.012451293800137,1.0421513286619135,907.8109740929556,3952.292026314719
0.505,10.016285884612252,1.040952094470036,906.9901115853238,3952.831568852953
0.51,10.02012163586613,1.0397531827557447,906.1676874645094,3953.371111391187
0.515,10.023958547469233,1.0385546138637682,905.3436829878752,3953.9106539294207
0.52,10.027796619275074,1.0373564086188054,904.5180791061566,3954.4501964676547
0.525,10.0316364777033,1.0361552396344298,903.6921847165047,3954.9897390058886
0.53,10.035476869092065,1.0349578261509964,902.8633247983478,3955.5292815441226
0.535,10.03931841990459,1.0337608417822288,902.0328064217535,3956.0688240823565
0.54,10.043161129759772,1.0325643093889536,901.2006092529912,3956.6083666205905
0.545,10.047004998212751,1.031368252371735,900.3667126222556,3957.1479091588244
0.55,10.050849800544803,1.0301738943011374,899.5306176029196,3957.6874516970583
0.555,10.054695998146201,1.0289787882000647,898.6932870692647,3958.2269942352923
0.56,10.058543352144353,1.0277842334806186,897.854192065632,3958.7665367735262
0.5650000000000001,10.062391861831946,1.0265902557570161,897.0133105425481,3959.30607931176
0.5700000000000001,10.0662415264248,1.025396881259317,896.1706200790501,3959.845621849994
0.5750000000000001,10.070092383382411,1.0242039315792846,895.3261799939868,3960.385164388228
0.5800000000000001,10.073944428363243,1.0230114522914238,894.4799600675482,3960.9247069264625
0.585,10.077797822762372,1.0218186011111214,893.6322856864869,3961.4642494646964
0.59,10.081651958618224,1.0206286586264375,892.7818298857212,3962.0037920029304
0.595,10.085507440010234,1.0194384110119228,891.9298678489464,3962.5433345411643
0.6,10.08936343851925,1.018252322427715,891.0745949700153,3963.0828770793983
0.605,10.09322120157154,1.017063729033175,890.2186737980003,3963.622419617632
0.61,10.097080102844167,1.0158760118883519,889.3607344885344,3964.161962155866
0.615,10.100940140835897,1.014689202958867,888.5007511251721,3964.7015046941
0.62,10.104801220570977,1.0135038358961226,887.6384955755921,3965.241047232334
0.625,10.108663586502356,1.0123186235965957,886.7744729533842,3965.780589770568
0.63,10.112785172576565,1.011055397645716,885.8503818574948,3966.356170073315
0.635,10.117665826062328,1.0095616190249435,884.7532834681206,3967.0375234652693
0.64,10.122548254875957,1.0080696985478272,883.6526459882728,3967.7188768572237
0.645,10.127432496962898,1.0065794833762225,882.5485032733598,3968.400230249178
0.65,10.132318507285557,1.0050912666514265,881.4407086420566,3969.0815836411325
0.655,10.137206295428536,1.0036050488018178,880.329233377209,3969.762937033087
0.66,10.142095854447522,1.0021209194965872,879.2140123645088,3970.4442904250413
0.665,10.146987185098615,1.0006389275464729,878.0949967357595,3971.1256438169958
0.67,10.151880636266963,0.9991572522189035,876.9728963176167,3971.80699720895
0.675,10.156775492033903,0.99767979290593,875.8460989820096,3972.4883506009046
0.68,10.161671801108621,0.9962063425700124,874.7146573946804,3973.169703992859
0.685,10.166570280557984,0.9947331038155227,873.5800848000224,3973.8510573848134
0.6900000000000001,10.171470420002231,0.9932628736752117,872.4412140406596,3974.532410776768
0.6950000000000001,10.17637228876755,0.9917953354101569,871.2981430631844,3975.2137641687223
0.7000000000000001,10.181275978450113,0.9903300530732834,870.1510185082221,3975.8951175606767
0.7050000000000001,10.186181308346995,0.9888680539890808,868.9993906264032,3976.576470952631
0.71,10.191088335926343,0.9874090863522944,867.8433303728558,3977.2578243445855
0.715,10.195997055866364,0.9859532360602413,866.6827709321229,3977.93917773654
0.72,10.200907327522849,0.9845013161232131,865.5173484037696,3978.6205311284943
0.725,10.205819398713881,0.9830520535482614,864.3475501842804,3979.3018845204488
0.73,10.21073312608007,0.9816062766295954,863.1730057921407,3979.983237912403
0.735,10.2156484960365,0.9801641169015648,861.9936288742308,3980.6645913043576
0.74,10.220565381166791,0.9787263170817114,860.8090830078942,3981.345944696312
0.745,10.225483999259641,0.9772917672226328,859.6197889751675,3982.0272980882664
0.75,10.230404215301977,0.975861251311828,858.4253932251988,3982.708651480221
0.755,10.235326012679767,0.9744349178797055,857.2258017931878,3983.3900048721753
0.76,10.240249373926561,0.9730129201106507,856.02091869902,3984.0713582641297
0.765,10.245174280687436,0.971595415987134,854.8106459135837,3984.752711656084
0.77,10.250100713682185,0.9701825684340185,853.594883327225,3985.4340650480385
0.775,10.255028652668063,0.9687745454608832,852.37352872138,3986.115418439993
0.78,10.259958076402269,0.9673715203013173,851.1464777439671,3986.7967718319474
0.785,10.264888962604598,0.9659736715464131,849.913623889832,3987.4781252239018
0.79,10.269821287920482,0.9645811832712147,848.6748584869144,3988.159478615856
0.795,10.274755027884739,0.9631942451521192,847.4300706891248,3988.8408320078106
0.8,10.279690022245067,0.9618137720321545,846.1788532192616,3989.522185399765
0.805,10.284626696709596,0.9604375473036328,844.9220797387464,3990.2035387917194
0.81,10.28956450874242,0.9590685272314375,843.6585085395951,3990.884892183674
0.8150000000000001,10.294503826799751,0.9577048016161089,842.3888881438468,3991.5662455756283
0.8200000000000001,10.299444251650279,0.9563485569862303,841.1122928734843,3992.2475989675827
0.8250000000000001,10.304385420482857,0.9550017796385951,839.8278806585892,3992.928952359537
0.8300000000000001,10.309328271077323,0.9536595268968977,838.537638627214,3993.6103057514915
0.8350000000000001,10.314272003857702,0.9523261105228619,837.2397762437358,3994.291659143446
0.84,10.319217440203358,0.9509972144573148,835.9360232619745,3994.9730125354004
0.845,10.324163626414895,0.949677961171793,834.6242618865265,3995.654365927355
0.85,10.329110861902816,0.9483668075017609,833.3050928466255,3996.335719319309
0.855,10.334059103432747,0.9470640307948843,831.978375503281,3997.0170727112636
0.86,10.339008305777037,0.9457699170217192,830.6439667309494,3997.698426103218
0.865,10.343958421631813,0.944484761018542,829.3017209289131,3998.3797794951724
0.87,10.348909401529697,0.9432088667405293,827.9514900358135,3999.061132887127
0.875,10.35386119375038,0.9419425475126281,826.5931235528799,3999.7424862790813
0.88,10.358813744226175,0.9406861262928871,825.2264685702706,4000.4238396710357
0.885,10.363766996349472,0.9394399364373148,823.8513695995659,4001.10519306299
0.89,10.36872089074384,0.9382043226364956,822.4676683477899,4001.7865464549445
0.895,10.3736753661189,0.9369796361403713,821.0752058025471,4002.467899846899
0.9,10.378630357984974,0.9357662412276,819.6738197896484,4003.1492532388534
0.905,10.383585798979517,0.9345645131688378,818.2633459767387,4003.830606630808
0.91,10.388541618748956,0.9333748385141992,816.8436179484015,4004.511960022762
0.915,10.393497944874241,0.9321965662440527,815.4148865907498,4005.1933134147166
0.92,10.398454148847442,0.9310329862731377,813.9758303808331,4005.874666806671
0.925,10.40341071987819,0.9298815507699455,812.5274638062527,4006.5560201986254
0.93,10.408366943590128,0.9287459750802757,811.0683072734511,4007.23737359058
0.935,10.413323908234041,0.9276206033010159,809.6006095018913,4007.9187269825343
0.9400000000000001,10.418280120100867,0.9265131731435261,808.1213062382246,4008.6000803744887
0.9450000000000001,10.423236337521402,0.9254197343917159,806.6319733578038,4009.281433766443
0.9500000000000001,10.428192247462224,0.9243418832349046,805.1319925599894,4009.9627871583975
0.9550000000000001,10.433147747052917,0.9232801186637661,803.6211849158977,4010.644140550352
0.9600000000000001,10.4381027285324,0.9222349563330562,802.0993698890373,4011.3254939423064
0.965,10.443057079832577,0.921206924974431,800.5663670887643,4012.006847334261
0.97,10.448010684234593,0.9201965675676116,799.0219961652083,4012.688200726215
0.975,10.452963420204926,0.9192044415553625,797.4660770978564,4013.3695541181696
0.98,10.457915161238876,0.9182311189930085,795.898430526471,4014.050907510124
0.985,10.46286577570469,0.9172771866673649,794.3188781106364,4014.7322609020785
0.99,10.46781512668793,0.9163432461871899,792.7272429170672,4015.413614294033
0.995,10.472763071835391,0.9154299140489414,791.1233498330963,4016.0949676859873
