label,beta,eta,gamma,n,best_delta,best_mse,valid_count
b1_e100_n5,1.0,100,1000,5,0.005,0.31931555708490184,199
b1_e1000_n5,1.0,1000,1000,5,0.005,0.2828290904549089,199
b1_e5000_n5,1.0,5000,1000,5,0.17,0.6266602263334755,199
b2_e100_n5,2.0,100,1000,5,0.005,0.472647834230207,199
b2_e1000_n5,2.0,1000,1000,5,0.005,0.3197335553203313,199
b2_e5000_n5,2.0,5000,1000,5,0.005,2.376769455073759,199
b5_e100_n5,5.0,100,1000,5,0.030000000000000002,0.03670435278471493,87
b5_e1000_n5,5.0,1000,1000,5,0.005,0.30139078837272604,199
b5_e5000_n5,5.0,5000,1000,5,0.005,9.638456892365443,199
b2_e1000_n10,2.0,1000,1000,10,0.005,0.09456998536514838,199
b2_e1000_n20,2.0,1000,1000,20,0.42000000000000004,0.055058372270690326,103
b1_e1000_n20,1.0,1000,1000,20,0.005,0.06738155435780548,199
