beta,eta,gamma,n,fixed_delta,fixed_est_beta,fixed_est_eta,fixed_est_gamma,fixed_mse,ai_delta,ai_est_beta,ai_est_eta,ai_est_gamma,ai_mse,optimal_delta,opt_est_beta,opt_est_eta,opt_est_gamma,optimal_mse
1.0,100.0,1000.0,5,0.5,1.1993,77.34,1039.82,0.092648,0.2018,1.9047,102.65,1016.96,0.819441,0.38,1.1993,77.34,1039.82,0.092648
1.0,100.0,1000.0,7,0.5,0.5995,117.09,1015.75,0.18988,0.6883,0.5975,117.02,1015.79,0.191208,0.01,0.6047,117.28,1015.63,0.186385
1.0,100.0,1000.0,10,0.5,0.668,78.33,1004.47,0.157235,0.7195,0.6568,77.8,1004.62,0.167116,0.01,0.7078,80.29,1003.88,0.12422
1.0,100.0,1000.0,15,0.5,1.3042,120.96,993.69,0.136539,0.8221,1.2712,118.28,995.37,0.106989,0.5,1.3042,120.96,993.69,0.136539
1.0,100.0,1000.0,20,0.5,1.6829,115.21,999.65,0.489543,0.6829,1.6425,112.62,1001.55,0.428686,0.11,1.6829,115.21,999.65,0.489543
1.0,1000.0,1000.0,5,0.5,0.4474,394.71,1694.05,1.153476,0.0594,0.4555,395.82,1693.59,1.142625,0.01,0.4564,395.97,1693.53,1.141286
1.0,1000.0,1000.0,7,0.5,1.4521,1930.02,664.57,1.181797,0.9809,1.6371,1353.07,976.83,0.531026,0.5,1.4521,1930.02,664.57,1.181797
1.0,1000.0,1000.0,10,0.5,0.9377,711.78,1143.01,0.107408,0.5131,0.9368,711.55,1143.18,0.107697,0.01,0.9698,720.18,1136.68,0.097893
1.0,1000.0,1000.0,15,0.5,1.1264,1041.14,956.75,0.019531,0.9436,1.1037,1016.66,968.47,0.012033,0.5,1.1264,1041.14,956.75,0.019531
1.0,1000.0,1000.0,20,0.5,1.1258,1362.16,1134.94,0.165203,0.8786,1.105,1352.69,1142.12,0.155613,0.5,1.1258,1362.16,1134.94,0.165203
1.0,5000.0,1000.0,5,0.5,0.7721,9477.27,2934.72,4.596907,0.1916,0.9298,10155.96,2407.19,3.048476,0.07,1.1677,11373.74,1431.91,1.839663
1.0,5000.0,1000.0,7,0.5,1.4271,7165.0,1213.35,0.415422,0.5056,1.4234,7154.26,1222.65,0.414456,0.5,1.4271,7165.0,1213.35,0.415422
1.0,5000.0,1000.0,10,0.5,0.7527,3690.64,1961.83,1.054829,0.0024,0.765,3712.01,1951.11,1.026179,0.01,0.7649,3711.69,1951.28,1.026611
1.0,5000.0,1000.0,15,0.5,0.7589,3875.65,963.38,0.110057,0.1569,0.7698,3886.28,956.72,0.104489,0.01,0.7762,3892.84,952.69,0.101359
1.0,5000.0,1000.0,20,0.5,0.7665,5058.99,1038.72,0.056143,0.8841,0.7643,5051.28,1041.17,0.05734,0.01,0.7694,5068.25,1035.6,0.05462
2.0,100.0,1000.0,5,0.5,1.4165,68.32,1005.05,0.185502,0.269,1.9326,87.98,988.43,0.015707,0.23,2.0807,92.52,984.13,0.00748
2.0,100.0,1000.0,7,0.5,1.0613,54.36,1025.69,0.429294,0.1749,1.1566,56.94,1023.76,0.363782,0.01,1.25,59.52,1021.74,0.304977
