n,beta,eta,gamma,seed,route2_delta,route2_mse,est_beta,est_eta,est_gamma,steps,converged,reason
5,1.0,100.0,1000,11600,1.0,1.803166,0.9819,234.25,974.63,3,True,delta_stable
5,1.0,100.0,1000,11601,0.004747,0.333412,0.4229,98.41,1010.07,3,True,delta_stable
5,1.0,100.0,1000,11602,0.99012,0.306569,1.143,46.51,993.9,4,True,delta_stable
5,1.0,100.0,1000,11603,0.001027,0.448043,1.5436,139.02,1017.07,10,False,max_iterations
5,1.0,100.0,1000,11604,0.895303,0.166216,0.5986,92.86,999.32,4,True,delta_stable
5,1.0,100.0,1000,11605,0.980133,0.173901,1.2508,66.69,994.96,5,True,delta_stable
5,1.0,100.0,1000,11606,0.995136,0.094028,0.9132,129.4,993.0,4,True,delta_stable
5,1.0,100.0,1000,11607,0.916302,0.361585,0.4351,79.38,999.23,3,True,delta_stable
5,1.0,100.0,1000,11608,0.001,0.025163,1.0566,85.91,1045.94,3,True,delta_stable
5,1.0,100.0,1000,11609,0.001196,0.789127,0.585,21.47,1014.89,3,True,delta_stable
5,1.0,100.0,1000,11610,0.008899,0.109246,1.0467,67.29,1007.75,4,True,delta_stable
5,1.0,100.0,1000,11611,0.049563,0.913048,0.6276,12.0,1005.35,3,True,delta_stable
5,1.0,100.0,1000,11612,,,,,,1,False,mdm_failed
5,1.0,100.0,1000,11613,0.121375,0.017153,0.8851,93.73,1003.39,4,True,delta_stable
5,1.0,100.0,1000,11614,0.840394,0.23731,0.719,139.79,1000.01,6,True,delta_stable
5,1.0,100.0,1000,11615,0.991702,0.562356,0.7285,169.9,994.24,3,True,delta_stable
5,1.0,100.0,1000,11616,0.001,0.390337,0.524,59.63,1027.62,3,True,delta_stable
5,1.0,100.0,1000,11617,0.999994,10.203851,4.1943,100.26,976.98,10,False,max_iterations
5,1.0,100.0,1000,11618,0.168174,0.012037,0.9423,90.67,1002.71,4,True,delta_stable
5,1.0,100.0,1000,11619,0.001002,0.062727,0.771,90.11,1022.98,3,True,delta_stable
