n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,optimal_delta,best_relative_mse
10,2.0,100.0,1000,1008.2110268545745,1039.688602589966,1039.8008358288462,1079.3368699188757,1083.8345159524633,1097.9450180669805,1135.4873588498922,1151.2665185434457,1158.7688243626621,1175.0819015098102,1.001,0.08203781902524687
10,2.0,100.0,1000,1022.821048542108,1049.2501430315103,1086.2488427884161,1086.463997090785,1095.9994345440637,1106.1355141446716,1113.3646795466814,1125.6214608699347,1139.9604110921218,1148.5595808434598,0.391,0.010874276250555733
10,2.0,100.0,1000,1028.5037023764037,1029.4921276126906,1061.6430336147573,1061.665036250428,1069.3329489298246,1072.9821953559551,1080.878465028324,1106.85451941746,1108.3482456875774,1158.5124827967516,0.101,0.026265153792658338
10,2.0,100.0,1000,1022.7710573056588,1048.2235852011158,1062.7458306814353,1072.2986960385551,1073.0855975590805,1095.9740154072617,1107.3577812412739,1112.6248043014596,1123.164480727716,1137.4184019782747,0.321,0.005472068999634653
10,2.0,100.0,1000,1036.085260117782,1073.3569686012024,1076.361006640352,1090.6314783093549,1093.1332803796442,1093.3785685997777,1102.0543184679998,1112.0235041003486,1182.5922855446408,1220.930795754878,0.171,0.0014568894860368005
10,2.0,100.0,1000,1016.5110869466107,1052.5295038979293,1056.3087079622717,1058.360204884669,1072.183260801514,1072.2709651042742,1125.707678968306,1149.5666861725563,1187.9151013086926,1200.8687665644834,0.231,0.04432843464227212
10,2.0,100.0,1000,1015.7824393589063,1015.8811488161742,1039.1045657028699,1041.127544217389,1068.9006016614835,1082.2856279339367,1090.2640094450683,1097.5432343464927,1099.2525935965675,1106.155736063069,0.151,0.02085485005007929
10,2.0,100.0,1000,1007.7883199624567,1037.0511314065784,1070.3435975679222,1075.5937471514644,1093.5756897918757,1093.6419668324727,1128.6667197920776,1142.113874253827,1142.566920432401,1165.1846794165754,0.851,0.002756231568941207
10,2.0,100.0,1000,1032.3572847232601,1034.0152516086698,1045.1570204128202,1054.0035365186807,1077.7236359356582,1096.9091772734735,1133.668104919343,1142.7138946660252,1146.3692604286437,1154.739338118548,0.011,0.004319436130864098
10,2.0,100.0,1000,1039.6953643763013,1045.6704382684475,1079.8159895973417,1082.9832941720872,1083.3596811758553,1117.5934996041547,1120.7975628741563,1149.5430624519836,1157.3442296485825,1192.209451645439,0.181,0.008801461177493997
10,2.0,100.0,1000,1010.631222514447,1016.230281272738,1038.4115325186604,1052.9194362444548,1065.819600452698,1070.7054503980717,1090.7022211049018,1124.955015730804,1147.664489074226,1167.1620718268182,0.011,0.01756031263087094
10,2.0,100.0,1000,1004.9592887296426,1020.3350385934675,1052.0720098958407,1058.7316227347171,1072.6666700767196,1082.8965474192287,1083.1412899819722,1094.0744945310248,1118.9354727328816,1202.1085223814343,0.231,0.022005131725680634
10,2.0,100.0,1000,1033.4180411386994,1060.185499175978,1070.2285833373376,1079.8927518647345,1080.254650218177,1096.5969839655022,1130.3510730638834,1146.9803549932838,1156.7182819808363,1157.3268556714957,0.221,0.0019328511207534465
10,2.0,100.0,1000,1031.7633005605853,1034.810042752642,1043.1221661156603,1075.9962609827571,1081.1005220329096,1090.866409443334,1106.4611880906948,1118.3268072146357,1131.1283188446696,1167.9968801080875,0.091,0.0010315141337763553
10,2.0,100.0,1000,1023.1243682184804,1058.9476010614,1059.7609425847877,1062.3555198622578,1075.7361770120438,1081.2365634390726,1099.700406877352,1129.3683655842874,1149.6777251999047,1155.1104893103966,0.251,0.0019929523773060827
10,2.0,100.0,1000,1030.936746133994,1041.0818949915022,1049.547346032349,1069.8584367077483,1078.156030175376,1083.2103864860396,1100.2733944146426,1100.9916544038895,1133.4487949823867,1139.7679210556678,0.051,0.014415979984714439
10,2.0,100.0,1000,1024.9619646932545,1041.9594711030445,1053.1965731626015,1074.551879097852,1075.3399156944556,1083.9952371140141,1108.9039299079143,1109.7254231454904,1123.2516511382605,1143.1838191423924,0.231,0.0030810475481880904
10,2.0,100.0,1000,1011.0742552939364,1067.3297955288913,1068.7340615759242,1072.9693175739462,1085.797550268395,1113.094304017938,1116.6592459035749,1120.0311095982806,1149.7892127635198,1212.4360188118967,0.591,0.01045041414886976
10,2.0,100.0,1000,1009.2286613556498,1052.0459726561005,1059.2890995917242,1085.269472372105,1101.783996669682,1114.1573482775898,1122.1532174524325,1152.821395301892,1174.7260163142334,1195.1489436673662,0.941,0.004328374868591523
10,2.0,100.0,1000,1008.309793424654,1024.0146369176532,1067.1563041745997,1092.2114200730318,1098.2857017435301,1108.006723821288,1133.3855729528711,1168.2032282123655,1205.8036272725876,1236.1992551476353,0.801,0.2020873482510037
10,2.0,100.0,1000,1020.6596975423139,1051.6547356641427,1064.410668781652,1089.5024634596075,1095.8563094520105,1115.0228357531955,1118.017818161583,1120.218377902484,1153.5359075945728,1175.5975780654744,0.481,0.013721083686078139
10,2.0,100.0,1000,1026.3864057029955,1043.54609890016,1056.7536237814209,1059.5034011977589,1107.3532316980234,1116.3891130988275,1119.589068165043,1127.990457210162,1139.1466143874723,1229.3925067351347,0.091,0.04421587661089203
10,2.0,100.0,1000,1013.6497788592873,1024.786006077364,1044.804772319409,1063.0018748449013,1068.8685109567998,1092.8374113328634,1118.1757532440693,1132.5491097488743,1137.473029274586,1171.1265694972108,0.141,0.033654520455537434
10,2.0,100.0,1000,1027.940907852884,1051.4104051205716,1073.7283172029433,1086.2152796188807,1101.1284807692016,1104.907137584948,1112.0992801670066,1144.7172593561534,1166.050992512355,1173.7634226409677,0.401,0.020264790548859525
10,2.0,100.0,1000,1034.139146970326,1034.4247113161687,1050.648599625674,1066.5365840535135,1092.886156680769,1094.042980492908,1127.214090732097,1165.4465315366738,1176.1096543120998,1181.470516683717,0.021,0.023698515715562016
10,2.0,100.0,1000,1030.75396247054,1035.334601535365,1065.1830292500686,1102.698425150154,1125.6562238448093,1128.3416394766334,1136.7600753080505,1142.699653548066,1147.2740923442698,1164.4058972175671,0.811,0.026212644298645556
10,2.0,100.0,1000,1018.889042642304,1036.1199556703125,1053.630761865864,1077.8818926617923,1079.583309450973,1124.1459086319855,1130.1914736972942,1139.6743442257566,1157.6592636497148,1173.621715661751,0.281,0.06387327518645147
10,2.0,100.0,1000,1012.7728796174043,1034.371424445028,1061.1958605697441,1061.2523322759466,1091.526263254917,1129.1329521482796,1137.2905652033912,1157.4462583825693,1177.1988521873861,1181.5906985561692,0.411,0.137535478813213
10,2.0,100.0,1000,1023.0698067915204,1071.423968069723,1078.2094779473234,1102.1448882753214,1122.9348973619258,1126.7030349105682,1127.5658335248277,1167.5868162382583,1169.1936589025004,1251.3215369519248,0.841,0.019009276191480524
10,2.0,100.0,1000,1008.6912830763815,1015.76278724534,1042.0502181898119,1103.68656770223,1105.0576551640283,1107.4227595231005,1110.2845457341466,1120.0401863963002,1127.0193170636792,1127.4885749315795,0.401,0.001473277102239752
10,2.0,100.0,1000,1011.0526385804186,1031.416021028519,1035.6868710309313,1040.5835651925354,1052.1345521722842,1075.4644472550763,1107.2679674897702,1125.649236309988,1136.5739941376871,1147.3613411007461,0.021,0.005183108431930556
10,2.0,100.0,1000,1016.3109539904716,1034.4789413554927,1054.8590672342668,1069.9304635086914,1093.547927028909,1101.0905581440165,1129.503057215674,1135.8098857540347,1141.243245073862,1147.2406139083146,0.311,0.034447776742771094
10,2.0,100.0,1000,1030.7627308647955,1048.8089950289464,1053.4747650056654,1071.1636498144712,1075.3533354829005,1098.8369198629077,1125.4560405512088,1133.9767396358743,1135.6336079713933,1153.734820669062,0.091,0.0003785302644908933
10,2.0,100.0,1000,1031.2208695119223,1060.5647914196672,1067.3125144273981,1071.207031595549,1075.0623312470511,1087.2957522044885,1099.4186159649385,1105.7635704195568,1107.1568881964986,1137.1974739865727,0.261,0.07926220835611725
10,2.0,100.0,1000,1022.9445832245294,1033.1218338426331,1045.6492035948445,1058.955904975253,1084.0096240604844,1093.8136079897251,1111.0809432987644,1114.181125908579,1128.3584623478562,1139.3257998403644,0.111,9.371154729736998e-05
10,2.0,100.0,1000,1012.864039487492,1048.4646250332994,1052.722050091081,1057.66475819575,1059.6795917145125,1087.7417481037917,1093.7175870644683,1094.1903597356193,1110.1107089989175,1119.7147736258444,0.291,0.05071177984268478
10,2.0,100.0,1000,1010.385633930347,1039.1543724100018,1040.4942939105338,1047.6869165708058,1050.6014040403493,1080.2697983069852,1118.6145246411872,1125.6456981054723,1148.218860836204,1188.0695764901027,0.121,0.02420292121117028
10,2.0,100.0,1000,1034.8433311687527,1058.3122212925111,1080.184091146261,1083.6938656455236,1103.4609528436845,1113.271519037474,1123.2941525195106,1124.4284297467252,1124.8487216730368,1143.563438887551,0.321,0.00836812540746489
10,2.0,100.0,1000,1014.0913949038253,1041.5093630880833,1045.4511931695993,1081.6646587497926,1096.7018661419902,1098.811634023702,1128.9989586297052,1134.2220353588204,1167.6032225828037,1209.8313625292978,0.451,0.09102299626807588
10,2.0,100.0,1000,1009.4380731627919,1039.0931296005335,1051.2624035789781,1055.6366272630787,1068.1454453013241,1071.5492995704828,1085.2370132451265,1123.1908125717064,1124.5136742449195,1232.51233230007,0.111,0.02701031724119144
10,2.0,100.0,1000,1009.719253861999,1041.4950932588886,1046.3857407472008,1054.448325420205,1071.9960548498718,1073.085958744999,1097.259406927293,1143.6079787239323,1143.7136221926198,1248.258796933544,0.121,0.06194531663112857
10,2.0,100.0,1000,1030.5245978851262,1030.5623006580277,1048.3380462621574,1070.3183621816818,1072.7225587314722,1079.5496220131681,1089.18001409089,1104.6987090761404,1126.5812759177081,1126.7130921813537,0.121,0.03111760445657225
10,2.0,100.0,1000,1010.0689458239353,1066.4283846315996,1081.1617784657992,1082.4719879228714,1095.2251365124457,1112.7688630252592,1118.0169819897203,1121.1097770398737,1134.9902399334328,1178.6736040286662,0.401,0.1245631880395023
10,2.0,100.0,1000,1051.7381164033452,1071.9743714485448,1073.8349455194264,1098.980014213132,1120.0822559539884,1121.1807636490587,1123.8289550988343,1131.5187475291905,1140.94463619748,1144.2695827765663,0.231,0.020717220947905735
10,2.0,100.0,1000,1042.7631606734772,1058.8565658572693,1083.011002557399,1085.9343538719581,1087.3951917978509,1111.8739659212158,1119.5848131670255,1144.4134222043417,1144.6411972993606,1167.2006229095884,0.231,0.0008100195892820831
10,2.0,100.0,1000,1055.3519946155436,1074.8628876716414,1106.6924534165075,1110.9818021332228,1118.2183302397248,1122.3197715905615,1129.9809373970327,1130.801793555631,1132.4189723273498,1141.7630302493333,0.251,0.1605284631040575
10,2.0,100.0,1000,1015.2525799103599,1039.6818193054228,1058.2494417835644,1058.3929285874483,1070.17178931433,1091.805284627676,1097.6806358372326,1156.6662271054065,1168.9858694172974,1185.0238681658593,0.181,0.046360141576323885
10,2.0,100.0,1000,1022.8127422877419,1029.797788070305,1033.8636452000642,1058.9041334418005,1060.2642149951475,1072.9280873671219,1074.0755772519526,1101.898883673592,1105.2575816455517,1108.9739702266306,0.051,0.05422128830906361
10,2.0,100.0,1000,1016.737954136326,1041.9939439278623,1044.071882550975,1048.257299874483,1059.5999898910857,1076.3590391714126,1087.5348712069367,1088.123209748897,1120.647780975868,1170.024938049926,0.071,0.004354622962236379
10,2.0,100.0,1000,1016.1289890567292,1045.2929744313074,1049.1401247451404,1058.7779858596507,1067.8297406116842,1078.696580569213,1083.8744697364434,1096.9711162776512,1111.365759867262,1130.5657850427683,0.301,0.02678456329448336
10,2.0,100.0,1000,1021.5423146688016,1039.372809154748,1056.0235998404698,1062.1049447957676,1075.7721614305863,1076.8686685430725,1084.5789395320814,1092.819728750569,1100.3384849430893,1115.7126733340672,0.271,0.054182756374198976
10,2.0,100.0,1000,1046.2520847511971,1076.5804832400145,1090.0342386740606,1098.346912349401,1101.1267969869036,1121.5905557228211,1123.238339589966,1146.5917366968818,1171.9422413261723,1183.242591264248,0.341,0.0009204309604343383
10,2.0,100.0,1000,1019.594173058109,1039.2468328104894,1073.7187357803205,1076.8233591207863,1079.774385577663,1118.7872350743944,1141.7194984437726,1179.506000240133,1184.5796823313387,1196.8635672422927,0.411,0.129366657594158
10,2.0,100.0,1000,1002.8266130316218,1038.4070596570145,1044.3347944952138,1062.061879740055,1062.3126569369572,1064.8553615171174,1078.2382220012694,1146.3717857198271,1148.4927188983838,1170.02841894785,0.291,0.01905555713451727
