n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,optimal_delta,best_mse
15,1.0,100.0,1000,1006.731294255177,1010.8880907461296,1014.677442050033,1018.7679354078608,1022.9024737903316,1073.8090305898927,1078.6796656626316,1092.8198813188328,1094.6822351737394,1102.2230349345928,1105.912155665542,1117.2384595329993,1172.861929749309,1213.5396879936368,2057.7507079074435,0.5,259.7664292717018
15,1.0,100.0,1000,1000.5702014875646,1001.7844939278581,1003.424013361894,1012.9851510506651,1019.4560301781415,1039.4844932442022,1048.057512627144,1050.6263214115716,1058.8102216757673,1060.2461818696788,1114.1766681576198,1182.0993276737775,1197.5726252557924,1222.0301410321931,1274.6589643474917,0.01,349.35529955563385
15,1.0,100.0,1000,1018.3850593883666,1019.6256621094755,1033.343595592001,1050.7698242966992,1053.3094216928869,1059.7636832118128,1060.5905112109713,1076.415509168847,1093.260187826845,1130.7001854239818,1168.5682742958218,1201.0928991342998,1227.0864767814983,1231.372750468627,1269.9055758995423,0.01,187.22216460742266
15,1.0,100.0,1000,1001.119128858813,1006.8659727360224,1039.5829769230177,1045.2963413558878,1051.5308114022355,1053.6268912511496,1055.2780121517198,1071.2243401615556,1104.763176625744,1134.9824033043192,1172.6593109724802,1231.4621026627751,1262.5190472453255,1294.9691068365478,1331.8002742476503,0.5,1832.446533347042
15,1.0,100.0,1000,1010.337109952475,1025.010351044953,1040.0218004418518,1040.3236932129369,1041.8412773422374,1042.2216294420869,1059.582567777738,1061.8913026322407,1084.4632201852064,1089.8733527768832,1116.838471913931,1117.2895653225908,1151.494164073476,1164.0492330755874,1240.5252221616415,0.01,27.9097368187597
15,1.0,100.0,1000,1004.3532265319948,1008.2470168315156,1011.078708788387,1014.5875486058787,1016.621036287965,1021.2506498619415,1024.2703119597459,1024.7612938900902,1026.1990250066228,1046.7747367918375,1077.8406327764922,1129.3284984078846,1134.4132713807421,1178.647479524077,1339.0757470678755,0.01,1914.0046834754278
15,1.0,100.0,1000,1001.9349512373353,1002.7273337567648,1005.2023369573672,1021.2683360531291,1025.944922321277,1026.3334195080101,1028.7263569049346,1040.9833768114,1049.4354052956078,1050.6560536468853,1097.8759998767698,1130.8606724641377,1157.3706317391668,1218.2177540551952,1223.8701648858728,0.01,949.07320891015
15,1.0,100.0,1000,1044.9368621030628,1049.133356200629,1049.8400372069182,1051.5349861206364,1051.6596451203325,1068.8143207268495,1086.9757687207864,1087.5802205373511,1102.28371941425,1102.4577234645321,1165.5541088524535,1201.2028956569204,1321.160108913372,1367.9571040516576,1386.7786202972889,0.01,2330.8067627287537
15,1.0,100.0,1000,1003.9049012950368,1005.7197983344231,1024.2011250522125,1040.0057109932038,1043.8454243200358,1075.9905235269314,1077.285984435766,1078.223383393245,1088.5887073303393,1126.231708097593,1155.7123184482703,1165.746107743881,1172.0811282839586,1210.6035702066986,1235.6074742889252,0.17,388.24001722471434
15,1.0,100.0,1000,1001.1860016474541,1003.2438230883351,1009.3447351355692,1009.458561416048,1011.8416731092268,1023.953450219099,1041.0816823088821,1043.8831471357578,1078.3904050140818,1081.238056958622,1108.6061633552977,1116.2426190317674,1135.3465673931073,1211.9712689383864,1455.5314064131699,0.01,564.7629642746766
15,1.0,100.0,1000,1029.54541591483,1035.9747118460407,1048.8733980297625,1055.746350836667,1056.0067510303231,1066.8332771024932,1069.29910391117,1074.1923785108406,1095.3883608981112,1096.0555964452492,1106.8970347791424,1134.229486676243,1202.0489778345068,1213.630242770092,1263.756376927175,0.01,795.8715320867066
15,1.0,100.0,1000,1000.279022668295,1002.1086209983213,1009.4131027565753,1015.5273541654811,1043.9557232946613,1049.2739250847321,1063.3746450719354,1097.3148540372626,1126.6827855760014,1152.640649761731,1155.0338884959754,1161.6035416188856,1174.9030439070873,1245.555797627943,1523.697275962594,0.5,543.6083731166248
15,1.0,100.0,1000,1002.4322635432237,1003.960414593294,1012.7330784509744,1014.4139734857821,1015.3867488734309,1017.2794637006534,1029.6272646303826,1037.7345069829735,1052.1981306457003,1068.0351412040204,1082.0773574453067,1094.9134298292918,1103.605458168497,1134.7164155486792,1257.3909581082019,0.01,1679.6111575468567
