n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,optimal_delta,best_relative_mse
20,1.0,100.0,1000,1003.6837680627123,1005.2080025656124,1024.2557658862422,1045.5011302423263,1048.2874323980063,1052.2639601498508,1054.2788333508825,1064.3478240378927,1068.9256278969742,1074.3886288234094,1074.7602279291527,1092.1589143277995,1110.6182569567738,1112.647473627538,1128.5155056872175,1144.8704660758988,1149.769406830837,1157.8075143109654,1195.8891667307573,1220.6994906038449,1.001,0.26531550631746104
20,1.0,100.0,1000,1005.548096568054,1011.6762527958775,1024.2462529549875,1025.969387168145,1034.2673033592064,1037.050065348768,1039.3772816582714,1055.8085823606143,1060.573550833245,1076.2539386678359,1081.5299954001598,1110.672881102579,1124.483968823249,1125.2179077675694,1132.956220489081,1199.3671286752779,1324.5587710112422,1411.3287244124583,1429.350494226384,1438.5297195875225,1.001,0.1046852677465762
20,1.0,100.0,1000,1013.0214599776798,1024.6813868085696,1028.7130745078584,1041.7720590318866,1053.812448423578,1058.3100333512784,1082.1406486053904,1086.7380791427345,1087.195570737434,1104.1508391796795,1105.5533797285243,1107.188535387181,1110.033943405056,1117.9303958460853,1120.7605385651916,1125.4926547092082,1146.2054774962137,1333.3994274041563,1350.2212156106943,1488.104165128837,1.001,0.08761940452395477
20,1.0,100.0,1000,1002.4483621022985,1015.7572195296732,1020.7245137484077,1020.8578893163207,1033.2396044164293,1040.1218749790694,1063.7059219540295,1068.8622711165115,1069.4883644574024,1074.9469427033362,1099.1393921603226,1129.0377154591815,1138.282311491523,1145.9205119633573,1214.2832066174838,1222.6546413217018,1223.6312752751783,1247.572066037059,1256.5975950571124,1369.444733018404,1.001,0.12967719365140315
20,1.0,100.0,1000,1003.5972125515477,1010.0890726250209,1012.1173907644076,1016.0390356614553,1018.595212105066,1036.4584623705764,1054.0033575673765,1057.7543168335933,1058.2442809364695,1059.8365131410344,1064.071914980711,1065.7729467401045,1068.0338775155228,1082.5670436512362,1097.6112477121112,1106.4285173815601,1113.3398456968227,1140.0123330560953,1171.946360030293,1282.2295172605113,1.001,0.05681132279467328
20,1.0,100.0,1000,1009.5708226135919,1016.8772209609281,1024.5493949884933,1031.7382166077844,1048.8020117925048,1061.083650527743,1069.2396841915609,1083.2089857938947,1089.7407460918146,1100.5475362743448,1101.9931425923464,1108.1696226171862,1111.4302947317374,1122.1226525877667,1125.7809191035974,1155.3181330425941,1178.085808822511,1195.3507175622337,1257.1864749479423,1292.4326016176583,1.001,0.11631776965856325
20,1.0,100.0,1000,1001.9224217647557,1003.076023700503,1006.2309968134729,1010.2191218015469,1017.6059721524723,1028.2987539624403,1055.034034291954,1055.1829502594178,1055.5142855762447,1055.5798267702073,1056.7610289684767,1070.5519985783947,1110.2656673832962,1118.600659493879,1120.3966848445693,1130.3774306843366,1151.9096950830744,1205.0160606420131,1237.7480050060212,1350.1100633568185,0.191,0.002991443709930767
20,1.0,100.0,1000,1000.6905266676042,1005.7670278628672,1013.3401192647643,1023.4168531488631,1030.5755168600674,1031.5115399234064,1045.0996919039137,1047.341789863964,1055.9859633274884,1078.431743109009,1085.0294599188514,1096.6007916721817,1116.65452390608,1125.6440545544524,1144.3481542555214,1177.917110719657,1192.982697087913,1282.9232598106114,1423.5513299855418,1557.900881322977,1.001,0.07719793533632781
20,1.0,100.0,1000,1000.5083171984887,1001.5761246979737,1002.3014853084417,1004.2682310253989,1010.1457023646121,1026.6821171653244,1035.3938269470998,1041.4873425289968,1080.1069096533838,1091.884320617596,1123.2088263122287,1123.9851153886484,1132.3025274470658,1139.2820540362047,1139.6767544514698,1144.5245838550447,1157.509717208331,1235.7327492088918,1308.345094224604,1436.923629148121,0.391,0.014030814736571046
20,1.0,100.0,1000,1006.9624240592308,1018.9626272942251,1021.6398750673441,1022.3834615180973,1024.6995897086983,1031.1225640348025,1032.2097381232306,1035.4065475410146,1048.5395890438224,1096.6799173401582,1097.212395161782,1115.247163560095,1135.4642564793166,1140.4454933947716,1141.716053464421,1143.0154522458333,1163.8155713686633,1193.6178029549587,1280.874384634832,1526.209221462288,1.001,0.004299970058035452
