n,beta,eta,gamma,t1,t2,t3,t4,t5,optimal_delta,best_relative_mse
5,2.0,1000.0,1000,1669.151538016374,1845.8474175687745,2375.690065644475,2414.0772866487296,2542.298488838142,0.081,0.07918668043012787
5,2.0,1000.0,1000,1524.2279821013822,2140.300039504652,2142.5535911901343,2266.311274200763,3052.7139746741486,0.251,0.07032598287793013
5,2.0,1000.0,1000,1263.3701063222795,1670.1907696621865,2017.8803550940156,2041.7020522026228,2684.3274785332055,0.271,0.049331442477649735
5,2.0,1000.0,1000,1467.8917434988045,1876.0213797236938,2054.575992631062,2183.395941309678,2343.275631916754,0.221,0.035235861896932376
5,2.0,1000.0,1000,1227.6242284077798,1648.2249683605287,2224.687420841724,2489.3813630255795,2597.3336959514245,0.451,0.15786198051212544
5,2.0,1000.0,1000,1744.8069704793056,2144.774292240642,2158.268234122247,2747.437253645093,2844.9966976764526,0.071,0.1295120394520463
5,2.0,1000.0,1000,1628.5659919384352,1636.2506005366395,1944.0010745524287,2011.0705560038082,2028.632423427518,0.061,0.42257345605304264
5,2.0,1000.0,1000,1713.227266744566,2220.814555490326,2378.2306832869326,2400.1326758785726,2593.623693737083,0.211,0.22795741757744503
5,2.0,1000.0,1000,1133.2596868389282,1361.968476575798,1909.024699374264,2538.935115769088,2704.052567511627,0.101,0.21319259838722013
5,2.0,1000.0,1000,1296.8540801477222,1508.7578405355966,1513.1714588204266,1671.3347827893049,1832.020250692583,0.111,0.23553996564605012
5,2.0,1000.0,1000,1418.4052511905006,1975.3196517043466,1986.8800519321203,2004.0455068169722,2108.358932247629,0.091,1.3236316258881347
5,2.0,1000.0,1000,1190.9239762667744,1460.526913650229,1885.3309250636185,2156.040924680269,2269.501870032467,0.161,0.04557974625604094
5,2.0,1000.0,1000,1254.0649489513646,1552.148003834301,1684.832473709346,2208.475365676639,2334.6507606594214,0.051,0.01833522343031837
5,2.0,1000.0,1000,1302.9251756265617,1465.6659767913447,1951.909495788365,2026.5273618978767,2287.8528379728973,0.091,0.0037130847040843956
5,2.0,1000.0,1000,1237.9202790605464,1427.3372837325564,1922.3856399068186,2227.8700117878816,2699.434691716432,0.031,0.087797288650944
5,2.0,1000.0,1000,1360.2831418139854,1475.122657918002,1755.4606034515787,1822.008844590997,2023.073590701605,0.041,0.09507718784262285
5,2.0,1000.0,1000,1576.9185774648895,1593.7856054704062,2221.073421284317,2337.046937864598,2371.8433166616987,0.091,0.043167186806993475
5,2.0,1000.0,1000,1389.2551159232917,1525.767055444104,1770.4426141552412,1796.817921489395,1909.9929238773138,0.081,0.18601379577996333
5,2.0,1000.0,1000,1271.9774598411336,1633.3100895424664,1644.8292853010548,1681.8068304535632,2021.9967967753291,0.191,0.13107579809771186
5,2.0,1000.0,1000,1381.1050343543147,1929.939789025857,2186.179979199458,2222.363595909469,2432.6902305705653,0.341,0.018377452689987916
5,2.0,1000.0,1000,1238.2891951122779,1990.3449815728513,2187.0518329517618,2555.680922386743,2846.0556318580284,0.671,0.029752842685366
5,2.0,1000.0,1000,1327.6481821744183,1681.1477916505078,1812.492761141877,2070.128945787681,2191.3395433332944,0.201,0.00732268720766932
5,2.0,1000.0,1000,1258.4721630029455,1292.8182596174763,1593.00496495669,2402.4582977884565,2448.590358507531,0.101,0.810618322362019
5,2.0,1000.0,1000,1074.3712642086537,1798.6000337369405,1965.8829204254605,2110.230431568528,2693.066024105548,0.641,0.00046057690846306603
5,2.0,1000.0,1000,1564.183963694275,1574.4003799724592,1797.5359307570698,1807.6304815852247,1938.6135601753206,0.041,0.5237303250553319
5,2.0,1000.0,1000,1310.1428289370926,1935.520228985969,2091.2970035099847,2314.049014991627,2514.258077061253,0.461,0.013186901846132588
5,2.0,1000.0,1000,1397.8277532016805,1733.312226650097,2111.940414323185,2232.3173208594435,2555.4667394715575,0.201,0.021954874629729206
5,2.0,1000.0,1000,1266.4676832418645,1522.193220324407,1763.0021278802917,1925.6089997599388,2048.2207375913113,0.151,0.02111817813510335
5,2.0,1000.0,1000,1469.3349589740446,2287.973376869812,2446.988492984256,2624.6078382128735,3297.666451730274,0.641,0.15379128855573554
5,2.0,1000.0,1000,1088.456122461821,1900.7272103734836,2053.8302816486994,2233.345291261422,2312.2511467935065,0.351,0.15350314049338654
5,2.0,1000.0,1000,1251.0874989112622,1402.2830030094458,2045.38486856632,2509.2992759004464,2566.06133570358,0.101,0.11289699692458698
5,2.0,1000.0,1000,1238.411123504061,1578.914564037963,1765.3620763893036,1882.687561910652,2336.3217304508426,0.181,0.008464751931580743
5,2.0,1000.0,1000,1600.3484736789069,1655.0225268414065,1803.8609685732824,1823.2258818230066,1872.270474271998,0.061,0.6822855127894245
5,2.0,1000.0,1000,1683.8870763612204,2030.9283341479754,2071.0163509397594,2325.633456534694,2363.6119200100247,0.141,0.2189212787093111
5,2.0,1000.0,1000,1456.51483981208,1729.8947788924218,1920.633698177254,2057.8602248792436,2263.051287699026,0.151,0.04173954483844797
5,2.0,1000.0,1000,1550.7970823520318,1657.3527756080039,1995.2727195305567,2255.4380868334692,2447.259926329961,0.011,0.039506690744393
5,2.0,1000.0,1000,1068.3403759187852,1381.2293868322715,1835.1047544602984,1944.198007417257,2364.893934377018,0.291,0.10185567373920722
5,2.0,1000.0,1000,1567.099832706075,1650.2223086974489,2423.879545502473,2657.2261509160917,2663.1080048410086,0.111,0.070193866293615
5,2.0,1000.0,1000,1177.0797459956007,1507.906113488835,1588.1543985396638,2230.2632426127484,2312.4170675123046,0.071,0.04511315360363979
5,2.0,1000.0,1000,1392.2566286057088,1662.4945357397437,1844.7463492063757,1879.5898676652637,2415.240042905844,0.011,0.01152550175268247
5,2.0,1000.0,1000,1412.1642215303425,1919.7837959945055,2276.2349181099225,2297.56886255343,2528.2839180820024,0.321,0.028551023077133843
5,2.0,1000.0,1000,1269.5726101805221,1860.7376141736272,2029.2870370546211,2888.0093546845574,3511.9912549857017,1.001,0.3604776821144476
