n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,optimal_delta,best_relative_mse
7,2.0,1000.0,1000,1262.6534403523583,1278.884452643258,1638.0084639768288,1703.3035704438373,1910.528872334492,1961.7748247456839,1975.1055994210553,0.121,0.05606307916538803
7,2.0,1000.0,1000,1417.6792308840597,2011.7349291034072,2260.0327336392857,2401.4161485517725,2483.3961474152647,2633.654925192127,2641.9014618235306,0.331,0.17710051276287228
7,2.0,1000.0,1000,1164.6605627188555,1298.7789229994876,1597.0065373414166,1889.3463525402906,1946.6625142804428,2277.2773701354445,2688.2501165282765,0.081,0.052547130125325144
7,2.0,1000.0,1000,1219.5599196360977,1420.6299696077167,1830.1946263246875,2031.360120152977,2111.2056612868973,2284.617923526184,2571.2440171051203,0.311,0.0325315146876794
7,2.0,1000.0,1000,1505.7921504764893,1590.2817786292221,1827.1198413156283,2144.7860352294524,2264.956836418969,2429.1116680807613,2796.300188739505,0.011,0.02538468213122587
7,2.0,1000.0,1000,1502.5948828270084,1532.9843623004767,1599.616762538194,1846.431661313342,1891.2029164818955,1891.8200764053176,2039.2943965626057,0.041,0.3288355473535034
7,2.0,1000.0,1000,1280.2626086872224,1479.8893410331768,1753.3456725399446,1756.5366944103976,2095.9523160665176,2258.4748056123826,2436.0662103960085,0.131,0.0013350864409094514
7,2.0,1000.0,1000,1130.8038062116211,1431.775836020951,1508.9239889508685,1515.2980261040823,1675.3907548009727,1866.0105298603635,1881.973682020574,0.281,0.1087637788495146
7,2.0,1000.0,1000,1228.1346046123542,1524.2100335020261,1559.2485268605128,1698.7246516773107,1905.4078085894812,2037.267169946387,2040.9059971455547,0.221,0.04057615344168332
7,2.0,1000.0,1000,1071.2814034487938,1589.994576553627,1705.5264440925534,1712.4644312723676,1777.829454238719,2252.3722546631784,2372.4769304149377,0.451,0.01711293922756038
7,2.0,1000.0,1000,1126.1158797024375,1193.5218257482147,1841.6082900927759,1975.7578979219243,2353.2544153662175,2693.22911189994,2724.79061747531,0.471,0.15863735323000946
7,2.0,1000.0,1000,1197.0474277384858,1376.522389628754,1401.2065059988784,1535.7522309044837,1628.2738946387594,1651.993110183102,1688.7592378457134,0.191,0.25414850588728455
7,2.0,1000.0,1000,1430.1496416220125,1431.196996872272,1635.693678977544,2064.1191725925473,2238.095448205706,2302.712976723578,2400.392865942243,0.071,0.00993743851127833
7,2.0,1000.0,1000,1206.8301708960273,1219.1574638549487,1757.6631307125424,2054.0787548023227,2136.651071800666,2403.0568118820606,3055.9529216262117,0.241,0.09085152224018883
7,2.0,1000.0,1000,1112.8436434651253,1585.8377962992831,1712.6709864619459,1727.3610083020465,1884.0725997511427,1894.4726754772591,2061.8755594325144,0.291,0.22519610440887022
7,2.0,1000.0,1000,1233.1321982368904,1682.2062424874225,1727.208785856163,1785.8034083443617,1829.9742651542324,2107.4196979530348,2377.998767680857,0.321,0.045850941001291966
7,2.0,1000.0,1000,1205.2195370630936,1368.639067734971,1495.4403421780812,1513.9038935281706,1527.64406448072,1617.9844561690757,1731.3769684792233,0.241,0.30464653705115724
7,2.0,1000.0,1000,1100.7608306729412,1435.8999004680713,1484.1010849079162,1781.7648649125,2177.473281725973,2230.0731369226287,2344.0309786178486,0.301,0.04488817750407794
7,2.0,1000.0,1000,1130.34136922634,1519.9052661327257,1803.2668783024496,1906.684296293334,2242.942329795669,2367.4836897753685,2807.6766774675157,1.001,0.07267092181323728
7,2.0,1000.0,1000,1267.065311257848,1539.118301482757,1564.8803479555763,2200.5218104673686,2693.840520424815,2846.5705165453137,2957.233246777116,0.141,0.19063000724842055
