beta,eta,gamma,n,ai_delta,est_beta,est_eta,est_gamma,beta_error,eta_error,gamma_error
1.0,100.0,1000.0,5,0.2173,1.8528,100.8713,1018.6678,0.8528,0.8713,18.6678
1.0,100.0,1000.0,7,0.2695,0.6019,117.1788,1015.6917,-0.3981,17.1788,15.6917
1.0,100.0,1000.0,15,0.3269,1.3279,122.6139,992.5689,0.3279,22.6139,-7.4311
1.0,1000.0,1000.0,5,0.0254,0.4561,395.9216,1693.5473,-0.5439,-604.0784,693.5473
1.0,1000.0,1000.0,7,0.4961,1.4546,1932.831,662.4706,0.4546,932.831,-337.5294
1.0,1000.0,1000.0,15,0.4282,1.1313,1045.6203,954.4389,0.1313,45.6203,-45.5611
1.0,5000.0,1000.0,5,0.4998,0.7722,9477.5039,2934.5394,-0.2278,4477.5039,1934.5394
1.0,5000.0,1000.0,7,0.4999,1.4272,7165.2402,1213.1458,0.4272,2165.2402,213.1458
1.0,5000.0,1000.0,15,0.0164,0.7759,3892.5537,952.8682,-0.2241,-1107.4463,-47.1318
2.0,100.0,1000.0,5,0.2532,1.9945,89.886,986.6319,-0.0055,-10.114,-13.3681
2.0,100.0,1000.0,7,0.0323,1.233,59.0449,1022.1158,-0.767,-40.9551,22.1158
2.0,100.0,1000.0,15,0.1287,1.784,80.8704,1007.8334,-0.216,-19.1296,7.8334
2.0,1000.0,1000.0,5,0.4746,1.8325,1271.6749,808.3103,-0.1675,271.6749,-191.6897
2.0,1000.0,1000.0,7,0.4966,1.3993,1111.7166,907.9926,-0.6007,111.7166,-92.0074
2.0,1000.0,1000.0,15,0.0205,1.207,782.6383,1070.3877,-0.793,-217.3617,70.3877
2.0,5000.0,1000.0,5,0.1203,1.0855,4924.0549,591.7679,-0.9145,-75.9451,-408.2321
2.0,5000.0,1000.0,7,0.0241,1.3888,3231.162,3215.8944,-0.6112,-1768.838,2215.8944
2.0,5000.0,1000.0,15,0.2841,2.1534,4990.9786,855.1204,0.1534,-9.0214,-144.8796
5.0,100.0,1000.0,5,0.0148,1.4342,28.9339,1052.2438,-3.5658,-71.0661,52.2438
5.0,100.0,1000.0,7,0.013,0.8927,28.0557,1065.989,-4.1073,-71.9443,65.989
5.0,100.0,1000.0,15,0.0168,4.1914,83.7317,1020.1952,-0.8086,-16.2683,20.1952
5.0,1000.0,1000.0,5,0.0179,2.8251,604.8999,1572.925,-2.1749,-395.1001,572.925
5.0,1000.0,1000.0,7,0.0213,5.4606,823.1396,1256.3179,0.4606,-176.8604,256.3179
5.0,1000.0,1000.0,15,0.0279,3.5773,999.5899,949.1266,-1.4227,-0.4101,-50.8734
5.0,5000.0,1000.0,5,0.0102,1.3188,1208.6543,4423.9776,-3.6812,-3791.3457,3423.9776
5.0,5000.0,1000.0,7,0.0129,2.8563,3460.525,2332.9401,-2.1437,-1539.475,1332.9401
5.0,5000.0,1000.0,15,0.0146,4.9197,5494.6269,932.8894,-0.0803,494.6269,-67.1106
